battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
22650;1173;1244;48,47;1077;442;0,67;19,20;1,37;0,50;0,33;630;0,83;1;2;1
10873;668;619;46,07;610;152;0,68;35,47;0,44;1,07;0,95;399;1,05;1;1;0
12890;954;869;48,62;609;166;0,79;27,34;0,83;0,52;0,60;376;1,09;1;1;0
22785;755;689;47,18;739;254;0,55;19,54;0,80;0,68;0,27;497;0,69;1;1;0
53316;778;762;47,11;701;289;0,58;21,53;0,72;0,59;0,32;536;0,73;1;2;1
32518;922;939;49,12;631;228;0,73;34,57;0,73;2,36;0,62;446;1,12;1;1;0
143546;873;865;47,60;872;269;0,64;27,49;0,69;0,67;0,25;457;0,88;1;2;1
43247;1357;1377;51,63;1206;270;0,98;35,04;0,53;0,37;0,49;475;1,50;1;2;1
78932;1768;1750;52,75;1264;398;1,05;39,70;1,00;0,93;0,81;651;1,73;1;1;0
23938;1867;1863;56,21;1341;341;1,12;37,58;0,89;1,05;0,72;718;1,79;1;2;1
3315;616;571;45,16;623;183;0,51;28,66;0,34;0,30;0,41;363;0,71;1;2;1
10337;614;534;48,20;426;151;0,53;29,01;0,44;1,49;0,44;319;0,75;1;1;0
51827;909;925;47,23;879;343;0,62;23,13;0,83;1,14;0,25;510;0,81;1;1;0
12539;971;928;46,70;875;314;0,64;20,85;1,08;0,52;0,27;591;0,81;1;2;1
43540;1455;1579;50,96;1237;349;0,95;32,73;0,69;0,54;0,30;481;1,41;1;1;0
71314;1660;1776;52,10;1294;557;0,92;34,81;1,22;0,64;0,71;585;1,40;1;2;1
96767;446;446;47,22;372;186;0,51;25,42;0,54;0,49;0,30;301;0,68;1;2;1
24005;1726;1808;52,31;1301;411;0,92;24,43;1,18;0,49;0,36;660;1,22;1;2;1
54509;1375;1475;51,03;1017;482;0,79;28,22;1,33;1,12;0,30;665;1,09;1;2;1
5510;765;735;47,68;661;226;0,53;28,53;0,52;1,50;0,29;406;0,74;1;2;1
8077;1748;1819;52,41;1514;439;0,85;28,36;1,22;0,33;0,37;650;1,18;1;1;0
42734;631;621;44,21;574;344;0,50;21,27;1,01;0,93;0,27;383;0,64;1;1;0
27277;1602;1701;51,59;1454;459;0,87;32,09;0,97;0,58;0,48;668;1,27;1;1;0
19588;1126;1098;48,87;1091;377;0,59;13,05;1,32;0,46;0,11;612;0,68;1;2;1
14187;944;940;47,92;917;302;0,58;27,50;0,69;0,85;0,29;576;0,80;1;1;0
4559;1285;1281;48,10;1152;386;0,64;18,43;1,21;0,63;0,16;694;0,78;1;1;0
4810;773;744;46,01;786;263;0,52;21,21;0,77;0,59;0,04;557;0,67;1;1;0
8286;1012;998;47,77;896;276;0,59;20,65;0,85;0,39;0,19;487;0,74;1;1;0
20697;1192;1228;49,92;1067;354;0,69;30,49;0,84;0,57;0,42;567;0,99;1;2;1
7164;1404;1513;50,82;1325;547;0,80;27,35;1,29;0,96;0,18;735;1,10;1;2;1
