battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
10987;745;583;47,16;489;41;0,67;29,13;0,43;0,75;0,70;292;0,95;2;1;0
12600;869;682;47,97;705;113;0,67;28,25;0,78;1,04;0,53;437;0,94;2;2;1
54976;1436;1314;50,71;1180;294;0,85;28,40;1,08;0,78;0,60;627;1,19;2;2;1
28610;1553;1640;52,29;1138;462;0,82;21,42;1,41;0,51;0,30;673;1,05;2;1;0
29859;1053;1039;49,85;702;296;0,71;26,35;1,00;1,31;0,60;473;0,96;2;2;1
29552;930;920;48,41;769;335;0,60;21,31;1,11;0,44;0,42;456;0,76;2;1;0
28649;1129;1139;48,38;1138;442;0,59;17,78;1,30;0,34;0,22;639;0,72;2;1;0
39145;1133;1153;48,56;962;358;0,75;21,28;1,18;0,70;0,31;509;0,95;2;2;1
7365;823;788;45,87;869;286;0,57;22,80;0,82;0,79;0,38;512;0,73;2;2;1
63828;661;629;45,98;711;315;0,51;21,71;0,80;0,47;0,28;507;0,66;2;1;0
59257;1003;1066;48,12;972;376;0,71;29,62;0,62;0,89;0,57;545;1,01;2;1;0
30240;805;831;46,93;771;376;0,55;24,38;0,94;0,46;0,29;567;0,73;2;2;1
10864;303;274;43,46;359;239;0,27;13,59;1,01;1,47;0,05;333;0,31;2;2;1
10689;1404;1432;49,83;1061;254;0,77;23,38;0,94;0,19;0,36;558;1,01;2;1;0
