battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
71278;1220;1264;49,21;1099;362;0,75;21,95;0,89;0,32;0,40;556;0,96;3;1;0
57513;1190;1175;49,83;1332;486;0,60;10,68;1,76;0,33;0,14;631;0,67;3;2;1
11039;594;492;46,51;505;163;0,52;25,95;0,76;1,50;0,55;340;0,70;3;1;0
6829;1041;979;49,44;920;225;0,62;18,45;0,80;0,65;0,25;543;0,76;3;1;0
20723;632;584;47,86;496;161;0,51;26,77;0,72;0,92;0,53;349;0,69;3;1;0
70136;857;793;48,07;671;231;0,61;23,84;0,86;1,38;0,47;489;0,80;3;1;0
28623;1645;1533;53,48;1148;348;0,90;31,80;1,18;0,70;0,87;636;1,32;3;1;0
8824;651;647;47,37;557;241;0,49;28,69;0,64;0,77;0,31;437;0,69;3;2;1
3678;1051;1058;47,06;962;280;0,63;23,68;0,85;0,82;0,24;579;0,83;3;1;0
32319;1446;1502;50,82;1281;415;0,80;28,31;1,06;0,54;0,29;716;1,11;3;1;0
69029;2358;2304;55,16;1735;571;1,32;36,65;1,24;0,48;0,97;629;2,08;3;2;1
37032;1291;1312;50,07;1152;399;0,76;21,79;1,05;0,35;0,22;643;0,97;3;2;1
42447;1618;1707;51,68;1465;465;0,89;28,08;1,08;0,25;0,35;660;1,23;3;2;1
15357;1148;1103;48,28;1263;409;0,63;16,74;1,13;0,30;0,22;563;0,76;3;1;0
64199;1191;1335;49,91;1025;791;0,60;13,40;2,36;0,41;0,27;670;0,69;3;1;0
77414;1056;1127;47,96;1174;426;0,70;29,72;0,65;0,40;0,36;631;1,00;3;2;1
6765;1096;1150;47,14;1161;355;0,70;28,00;0,82;0,29;0,25;603;0,98;3;1;0
23710;1564;1629;50,18;1537;443;0,75;25,65;1,14;0,73;0,23;721;1,00;3;1;0
6857;1378;1396;48,49;1105;181;0,91;42,00;0,48;0,72;0,52;560;1,57;3;1;0
6310;1182;1182;49,11;1316;322;0,66;23,31;0,80;0,40;0,16;708;0,86;3;2;1
23822;1056;1115;48,51;793;312;0,66;21,38;0,92;0,43;0,20;462;0,83;3;2;1
109315;2358;2205;55,92;1737;360;1,22;36,28;1,12;0,69;0,95;674;1,91;3;2;1
75812;1573;1611;51,35;1362;450;0,84;24,74;1,19;0,39;0,46;608;1,12;3;1;0
10853;913;929;46,10;1034;435;0,57;20,70;1,15;0,43;0,13;622;0,72;3;2;1
41611;1392;1291;50,95;953;284;0,85;28,49;1,10;0,95;0,59;487;1,19;3;2;1
38576;1102;1057;48,97;969;320;0,67;23,62;1,08;1,34;0,39;505;0,88;3;2;1
6015;733;690;45,94;740;261;0,47;21,46;0,79;0,28;0,24;468;0,59;3;1;0
2050;598;565;42,49;676;218;0,45;19,95;0,60;1,12;0,11;473;0,56;3;2;1
2387;660;629;41,98;819;247;0,49;23,75;0,70;1,86;0,22;502;0,64;3;2;1
7834;691;620;44,92;822;315;0,42;15,85;1,21;1,50;0,08;587;0,50;3;2;1
