battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
43348;1890;1739;53,10;1411;278;1,06;35,36;1,09;0,99;0,82;726;1,63;4;1;1
74513;631;593;47,00;586;294;0,47;17,66;1,20;1,29;0,22;402;0,57;4;1;1
11151;614;522;46,61;540;209;0,51;20,88;0,72;0,81;0,36;372;0,65;4;1;1
46715;1182;1119;51,09;805;364;0,74;35,89;1,29;1,35;0,73;476;1,16;4;1;1
63829;2138;2319;53,51;1752;494;1,06;31,56;1,14;0,67;0,58;744;1,54;4;2;0
12557;1290;1263;50,22;922;288;0,75;22,97;1,09;0,66;0,42;463;0,97;4;1;1
54350;1592;1552;51,74;1349;376;1,01;33,56;0,97;1,03;0,61;703;1,52;4;2;0
35354;1627;1553;51,90;1060;296;0,96;23,55;1,19;1,40;0,58;518;1,26;4;2;0
25427;1668;1758;52,87;1314;356;0,96;29,96;0,96;0,78;0,56;638;1,37;4;2;0
14331;1349;1351;49,82;917;331;0,80;23,80;1,29;0,90;0,55;504;1,05;4;1;1
46151;1225;1219;48,23;1219;453;0,67;19,18;1,23;0,63;0,22;664;0,83;4;1;1
29377;1271;1281;50,30;1052;436;0,69;18,19;1,40;0,28;0,32;555;0,84;4;1;1
25748;1505;1537;50,91;1220;392;0,88;31,28;0,95;0,54;0,68;648;1,28;4;1;1
42916;1276;1332;50,10;1143;423;0,81;35,76;0,53;0,54;0,78;626;1,27;4;2;0
1797;1575;1530;54,03;960;277;0,87;34,22;0,84;2,02;0,51;629;1,32;4;2;0
26867;1188;1239;49,05;1133;415;0,68;22,00;1,05;0,35;0,30;588;0,87;4;2;0
18418;1229;1202;50,40;970;348;0,68;19,82;1,10;0,76;0,43;532;0,85;4;2;0
25454;1707;1860;50,46;1786;686;0,86;23,94;1,55;0,45;0,19;827;1,13;4;1;1
11150;2198;2387;54,21;1779;608;1,10;34,45;1,57;0,34;0,47;863;1,68;4;2;0
7254;1602;1673;51,90;1508;394;0,84;31,25;0,91;0,71;0,18;763;1,22;4;1;1
1647;899;921;46,14;848;383;0,57;15,79;1,51;0,36;0,06;586;0,68;4;1;1
6289;864;821;45,38;737;253;0,59;22,64;0,82;0,88;0,43;514;0,76;4;1;1
28583;1405;1467;51,17;1240;467;0,77;25,26;1,05;0,99;0,45;688;1,03;4;1;1
4969;1023;1067;47,49;881;299;0,66;26,93;0,80;0,23;0,37;466;0,91;4;1;1
27751;763;717;46,77;702;221;0,59;19,88;0,88;0,76;0,34;391;0,74;4;2;0
63497;1649;1585;52,47;1310;309;0,89;26,26;1,30;1,53;0,46;585;1,21;4;2;0
32494;1592;1450;55,18;1090;308;0,98;31,64;1,15;1,27;0,62;618;1,43;4;2;0
13896;1077;1148;49,96;1031;414;0,66;24,17;1,16;0,69;0,31;640;0,87;4;2;0
7202;679;627;45,97;540;201;0,54;21,81;0,79;1,14;0,35;334;0,70;4;2;0
529;623;601;42,16;941;293;0,41;19,47;1,01;0,21;0,05;613;0,51;4;2;0
