battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
34815;1168;1124;48,44;1140;274;0,74;26,09;0,94;1,09;0,36;655;1,00;6;2;1
105527;1587;1649;51,92;1448;496;0,95;28,38;1,30;0,72;0,46;707;1,33;6;2;1
36784;1143;1163;49,58;960;452;0,69;31,26;1,09;0,58;0,37;573;1,00;6;2;1
31278;1400;1352;49,80;756;243;0,83;22,02;1,48;0,70;0,42;453;1,06;6;2;1
24237;1604;1601;51,15;1153;364;0,85;22,18;1,28;0,38;0,49;588;1,09;6;1;0
34077;2239;2351;53,67;1980;468;1,15;34,31;0,96;0,22;0,49;723;1,75;6;1;0
12307;2330;2444;55,85;2053;567;1,17;29,68;1,35;0,38;0,58;851;1,66;6;1;0
8956;538;500;46,04;552;310;0,38;15,32;1,01;0,58;0,09;442;0,45;6;1;0
33413;412;360;44,45;493;241;0,35;15,32;0,62;0,63;0,15;363;0,41;6;1;0
26377;493;437;45,39;452;189;0,47;28,24;0,49;1,37;0,40;342;0,65;6;1;0
4644;582;492;45,80;622;159;0,45;25,34;0,50;0,87;0,32;395;0,61;6;1;0
1026;4550;5004;64,52;2393;616;1,59;39,57;2,03;0,34;0,45;1152;2,64;6;2;1
167;421;378;38,92;391;123;0,40;20,36;1,71;9,56;0,06;343;0,50;6;2;1
