battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
15494;731;728;46,44;692;334;0,53;21,14;1,02;0,93;0,29;516;0,67;104;1;0
63071;1397;1316;50,73;1085;279;0,87;29,13;0,92;0,70;0,62;662;1,23;104;1;0
12537;1057;1029;48,61;907;282;0,71;31,30;0,78;1,15;0,59;580;1,04;104;2;1
38937;1050;1014;48,68;941;319;0,64;27,94;0,92;0,85;0,36;573;0,88;104;2;1
59100;1550;1535;50,99;1234;371;0,83;23,23;1,39;1,18;0,42;506;1,08;104;1;0
23534;1409;1371;50,11;1062;241;0,72;27,50;0,79;0,59;0,39;537;1,00;104;2;1
70419;1411;1476;50,48;1184;311;0,89;31,35;0,67;0,89;0,55;621;1,29;104;1;0
48329;994;947;48,45;776;258;0,75;27,15;0,81;1,06;0,50;469;1,02;104;1;0
18611;1059;1062;49,18;695;274;0,68;20,69;1,10;0,59;0,34;441;0,86;104;1;0
25817;1071;1003;49,00;885;252;0,66;19,01;1,08;0,78;0,23;453;0,81;104;2;1
18686;509;464;46,02;547;215;0,43;29,78;0,36;1,16;0,39;334;0,62;104;1;0
53722;622;603;45,46;655;262;0,57;25,86;0,58;1,04;0,25;474;0,77;104;1;0
45849;1129;1143;48,82;1003;396;0,75;30,74;0,87;0,48;0,66;614;1,08;104;1;0
56599;512;472;46,19;494;226;0,47;29,06;0,52;0,67;0,41;321;0,66;104;1;0
37119;1498;1452;50,09;1155;318;0,93;36,93;0,72;0,54;0,88;665;1,47;104;1;0
17729;2102;2221;54,54;2010;497;0,96;27,68;1,27;0,80;0,38;851;1,33;104;2;1
21287;1502;1573;50,64;1419;442;0,87;24,84;1,19;0,47;0,42;639;1,15;104;2;1
25115;1980;2022;53,53;1283;432;1,07;27,62;1,43;0,63;0,68;733;1,47;104;2;1
35865;1473;1530;51,79;1305;499;0,82;26,25;1,31;1,05;0,35;707;1,11;104;1;0
23018;1846;1943;53,07;1573;511;0,88;26,84;1,17;0,63;0,49;723;1,20;104;2;1
25327;1491;1514;50,77;1180;335;0,94;26,93;0,98;1,05;0,45;547;1,28;104;1;0
11273;633;538;44,73;797;252;0,36;10,44;0,96;0,16;0,06;562;0,40;104;2;1
17456;1991;2102;51,90;1703;512;1,07;39,72;0,99;0,77;0,56;797;1,77;104;2;1
4516;226;177;42,07;469;233;0,22;24,09;0,52;0,66;0,25;486;0,29;104;2;1
6172;1078;1073;46,78;1084;316;0,66;19,18;0,99;0,60;0,14;641;0,82;104;2;1
34133;1343;1433;51,01;934;670;0,70;22,25;2,12;0,70;0,31;472;0,90;104;1;0
33901;1538;1367;51,59;1262;326;0,89;27,06;1,49;0,98;0,57;699;1,21;104;1;0
432;348;331;44,68;460;163;0,45;15,97;0,46;0,64;0,20;402;0,53;104;2;1
95;1726;1736;50,53;2061;492;0,81;21,05;1,18;0,34;0,13;881;1,03;104;2;1
2064;2673;2885;58,48;2206;702;1,09;34,06;1,76;1,61;0,63;997;1,65;104;2;1
