battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
5706;387;284;45,95;344;109;0,40;25,06;0,40;1,26;0,39;309;0,54;5;2;0
31074;1032;981;50,49;753;271;0,69;25,90;0,93;0,98;0,59;563;0,93;5;1;1
12268;1024;936;50,29;712;183;0,68;25,49;1,01;1,26;0,64;430;0,91;5;1;1
35615;262;214;42,77;398;193;0,28;18,28;0,62;0,95;0,22;337;0,34;5;2;0
24274;640;794;46,02;671;714;0,42;17,52;1,75;0,31;0,13;570;0,51;5;2;0
18482;1078;1047;48,93;781;255;0,74;25,28;0,95;1,24;0,52;402;0,99;5;2;0
18641;675;638;46,40;602;260;0,48;20,96;0,81;0,38;0,32;395;0,61;5;2;0
18581;1640;1640;52,35;920;364;0,94;31,25;1,24;0,49;0,87;472;1,37;5;1;1
18543;1482;1460;50,85;1020;307;0,94;29,41;0,79;0,31;0,38;498;1,33;5;1;1
26623;2079;2128;55,80;1503;503;1,04;29,49;1,37;1,71;0,75;752;1,47;5;1;1
35190;2558;2730;57,17;1766;659;1,25;36,29;1,52;0,80;0,66;884;1,97;5;1;1
10060;1780;1794;52,49;1315;454;0,95;24,56;1,55;0,31;0,68;705;1,26;5;2;0
14923;343;309;46,40;296;138;0,41;34,78;0,30;0,99;0,62;259;0,63;5;2;0
43561;438;389;45,06;518;260;0,38;21,74;0,58;1,43;0,35;472;0,49;5;1;1
8448;824;769;47,01;652;223;0,54;16,23;0,81;0,41;0,28;438;0,65;5;2;0
7017;1125;1054;49,02;882;279;0,69;26,09;0,71;0,28;0,28;467;0,94;5;1;1
20303;1295;1305;49,90;875;419;0,75;26,74;1,38;1,08;0,45;651;1,03;5;2;0
17013;2980;3106;58,95;2281;728;1,38;30,35;1,72;0,32;0,60;924;1,98;5;2;0
16445;1647;1706;52,64;1361;382;0,84;32,13;0,93;0,24;0,42;644;1,24;5;1;1
2205;2647;2717;59,77;1877;581;1,21;34,24;1,40;0,19;0,77;941;1,83;5;2;0
11978;1257;1306;47,95;1167;550;0,67;28,76;1,28;0,75;0,36;644;0,95;5;1;1
3437;1208;1186;50,04;792;236;0,72;29,18;0,73;0,42;0,40;563;1,01;5;1;1
96609;1255;1367;50,44;1007;328;0,87;31,44;0,62;0,82;0,36;467;1,27;5;2;0
7667;1473;1507;48,10;1583;339;0,77;26,02;0,79;0,70;0,22;715;1,04;5;2;0
4297;599;496;45,66;546;209;0,39;14,34;0,88;0,75;0,38;489;0,45;5;1;1
3358;1163;1132;49,08;1003;352;0,62;21,92;1,30;0,42;0,31;598;0,80;5;2;0
849;1032;973;47,00;632;143;0,70;26,62;0,70;1,49;0,41;461;0,95;5;2;0
429;634;599;39,39;731;252;0,53;28,44;0,44;0,30;0,24;520;0,74;5;1;1
3582;305;245;43,05;424;207;0,34;24,96;0,32;1,50;0,17;423;0,45;5;1;1
3;1627;1763;66,67;1771;884;1,33;33,33;1,67;0,00;0,00;968;2,00;5;1;1
