battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
6375;1078;1123;48,56;1196;607;0,61;19,98;1,43;0,09;0,29;653;0,76;20;2;1
34730;1009;1043;48,08;1048;468;0,63;22,15;1,28;0,58;0,25;620;0,80;20;2;1
23032;2079;2193;53,47;1552;473;1,06;31,27;1,22;0,54;0,43;734;1,54;20;1;0
51465;1835;1717;53,48;1309;432;1,03;23,35;1,89;0,56;0,55;620;1,34;20;1;0
8402;862;803;47,63;766;232;0,58;22,08;0,90;0,71;0,33;461;0,74;20;1;0
43933;954;911;48,76;760;315;0,63;21,86;1,11;0,87;0,40;485;0,80;20;1;0
29285;990;997;48,72;995;366;0,66;25,28;0,93;0,85;0,34;577;0,88;20;2;1
50941;836;877;47,06;869;377;0,63;21,91;0,87;1,18;0,16;502;0,81;20;2;1
46397;1212;1201;49,97;932;323;0,80;32,79;1,01;0,75;0,56;489;1,18;20;2;1
11933;1188;1138;48,29;967;277;0,83;30,28;0,85;0,83;0,52;474;1,19;20;1;0
37740;1176;1238;49,62;980;365;0,76;28,87;0,91;1,64;0,36;613;1,07;20;2;1
54580;534;465;43,86;773;253;0,51;33,17;0,33;1,46;0,40;537;0,77;20;2;1
33833;1764;1885;51,90;1769;536;0,97;23,87;1,25;0,35;0,20;789;1,28;20;2;1
6166;482;417;43,32;590;267;0,43;23,00;0,59;0,62;0,23;415;0,55;20;1;0
14147;1093;1042;49,85;886;326;0,62;23,49;1,16;0,42;0,47;514;0,82;20;2;1
36572;1996;2085;54,08;1764;492;1,12;31,10;1,07;0,86;0,33;817;1,62;20;1;0
119448;755;731;45,54;1017;347;0,57;24,52;0,58;0,69;0,17;594;0,75;20;1;0
16204;1665;1739;50,50;1282;304;0,91;25,88;1,02;0,31;0,28;566;1,23;20;2;1
6857;1378;1396;48,49;1105;181;0,91;42,00;0,48;0,72;0,52;560;1,57;20;1;0
45980;755;697;45,56;971;190;0,62;35,88;0,26;0,32;0,31;569;0,97;20;1;0
3712;349;279;42,86;455;182;0,32;20,26;0,51;0,39;0,16;370;0,40;20;2;1
45009;1374;1314;50,89;1218;349;0,80;24,19;1,13;1,51;0,49;593;1,06;20;1;0
36692;1791;1958;50,89;1413;568;0,87;22,75;1,51;0,29;0,36;627;1,12;20;2;1
24872;1377;1416;49,10;1260;381;0,73;20,98;1,06;0,54;0,23;586;0,93;20;2;1
59390;1875;1908;53,63;1557;487;1,05;32,17;1,18;0,57;0,60;643;1,55;20;1;0
78969;1948;1870;51,85;1665;344;1,05;28,71;1,17;0,48;0,48;744;1,47;20;2;1
72253;2861;2579;62,20;1856;481;1,47;43,53;1,46;3,12;1,14;824;2,60;20;1;0
6486;1677;1703;52,34;966;441;0,92;21,88;1,91;0,78;0,46;540;1,17;20;2;1
6015;733;690;45,94;740;261;0,47;21,46;0,79;0,28;0,24;468;0,59;20;1;0
816;1092;973;49,14;786;254;0,67;17,65;0,95;1,12;0,50;601;0,81;20;1;0
