battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
30738;1153;978;50,11;873;191;0,79;18,50;1,72;2,43;0,28;493;0,97;70;1;0
25437;868;792;47,20;768;209;0,62;27,85;0,80;1,33;0,44;435;0,86;70;2;1
36454;720;618;46,97;640;172;0,59;27,35;0,49;1,07;0,62;459;0,81;70;1;0
14422;959;976;47,82;892;372;0,63;28,64;0,86;0,94;0,44;574;0,88;70;1;0
13026;883;774;47,63;811;224;0,61;21,63;0,92;1,45;0,34;558;0,77;70;2;1
20701;1492;1449;51,86;979;276;0,89;26,59;1,03;0,60;0,78;597;1,21;70;1;0
1077;607;475;46,98;576;151;0,49;27,48;0,39;1,08;0,43;452;0,67;70;1;0
58430;2121;2181;53,96;1541;469;1,13;28,55;1,27;0,89;0,57;625;1,58;70;1;0
28404;1706;1790;51,53;1455;363;1,00;35,49;0,80;0,56;0,44;699;1,55;70;2;1
3401;483;424;43,43;445;174;0,38;19,17;0,66;0,47;0,30;332;0,47;70;2;1
8816;1061;1053;46,99;808;245;0,66;22,29;0,89;0,67;0,40;448;0,85;70;2;1
26933;1325;1374;48,71;1162;325;0,83;24,53;0,97;0,29;0,39;554;1,11;70;1;0
13436;605;532;47,08;459;187;0,48;22,17;0,81;0,77;0,29;337;0,61;70;2;1
5095;694;609;45,46;890;240;0,45;15,39;0,79;0,71;0,07;602;0,53;70;1;0
11041;1315;1330;51,15;991;286;0,76;30,36;0,79;1,09;0,37;596;1,10;70;2;1
13268;1103;1111;49,44;883;313;0,63;20,75;1,04;0,32;0,19;455;0,79;70;2;1
86873;1574;1649;50,24;1498;460;0,86;25,87;1,08;0,61;0,42;727;1,16;70;1;0
10243;1466;1430;51,68;886;259;0,82;20,19;1,10;0,52;0,56;461;1,03;70;2;1
4282;1094;1079;47,69;996;369;0,60;23,75;1,23;0,51;0,24;535;0,79;70;2;1
25186;2009;2144;53,36;1464;587;1,09;34,44;1,32;0,48;0,67;759;1,66;70;1;0
6671;1112;1029;50,52;798;270;0,62;14,66;1,24;0,23;0,15;552;0,73;70;1;0
3326;767;798;46,96;711;232;0,62;31,75;0,41;0,67;0,45;418;0,91;70;2;1
5646;673;650;45,38;711;262;0,53;31,95;0,58;0,40;0,52;432;0,78;70;2;1
13763;1626;1685;50,36;1379;331;0,86;27,46;0,92;0,35;0,28;667;1,18;70;2;1
7973;2039;2162;52,72;1844;550;0,93;27,09;1,53;0,83;0,25;877;1,27;70;1;0
4582;1103;1101;47,38;1073;395;0,62;27,98;0,87;0,75;0,30;629;0,86;70;2;1
73001;3083;3365;58,70;2601;484;1,34;39,99;1,06;0,50;0,52;1036;2,24;70;2;1
31680;1978;2066;53,63;1488;435;1,03;30,97;1,14;1,35;0,68;725;1,49;70;1;0
2723;895;854;47,59;949;257;0,58;28,17;0,52;0,83;0,27;617;0,81;70;1;0
23288;1402;1399;50,19;1274;332;0,78;25,75;0,97;0,22;0,32;686;1,04;70;1;0
