battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target;tankId;tankWN8;tankWNX;tankRole;tankWinrate;tankVehicleClass;tankNation;tankDpg;tankAssist;tankKpg;tankDmgRatio;tankSurvival;tankXp;tankHitratio;tankSpots;tankArmoreff;tankMoe;tankMastery;tankKd
110922;1083;1028;49,35;1068;313;0,72;24,41;0,90;1,32;0,35;620;0,95;70;2;0;273;1308;1817;null;50,37;SPG;germany;829;238;0,95;4,27;43,22;544;29;0,05;0;2;4;1,67
1467;253;234;44,99;232;129;0,36;20,93;0,64;1,34;0,30;273;0,46;70;1;1;62497;3;104;null;37,04;TD;usa;209;170;0,26;0,28;7,41;342;63;0,89;0;0;1;0,28
64201;987;910;48,75;755;192;0,80;35,95;0,67;1,93;0,81;531;1,25;70;2;0;1569;1235;958;null;53,16;MT;usa;821;251;0,91;1,02;44,94;662;68;0,59;0;0;2;1,66
28885;2067;1925;53,88;1505;298;1,19;43,99;0,72;1,04;1,54;732;2,12;70;1;1;4257;1487;1657;null;55,56;TD;italy;900;233;1,00;2,04;55,56;611;71;0,44;0;0;2;2,25
19426;1107;1069;49,49;800;292;0,73;18,31;1,35;0,87;0,46;480;0,89;70;1;1;1409;1730;1479;null;66,67;MT;sweden;834;246;0,83;0,99;16,67;661;72;0,92;0;0;2;1,00
39040;1164;1176;49,49;899;343;0,78;26,16;1,01;0,63;0,39;529;1,06;70;2;0;1393;1556;1508;null;51,89;MT;czech;755;305;0,90;1,05;26,67;504;64;1,21;0;2;4;1,23
17429;536;475;45,63;447;194;0,49;17,05;0,94;0,77;0,27;359;0,60;70;2;0;5169;1037;855;null;40,85;MT;china;628;202;0,63;0,73;16,90;462;62;0,62;0;0;2;0,76
7829;271;193;43,79;272;103;0,34;23,86;0,41;1,80;0,50;235;0,45;70;1;1;7185;394;250;null;40,15;HT;germany;397;122;0,23;0,36;7,30;363;74;0,72;0;0;1;0,24
71216;1688;1626;53,27;774;371;1,02;37,03;1,67;1,89;1,15;515;1,62;70;2;0;11553;1738;1960;null;54,48;TD;usa;859;405;1,01;2,01;46,56;531;69;1,52;0;2;4;1,89
158852;1094;997;50,38;654;168;0,91;45,56;0,68;4,84;0,76;505;1,68;70;2;0;57105;1219;1134;null;49,18;TD;germany;730;141;0,89;2,69;46,07;544;62;0,41;0;1;4;1,65
16184;1545;1641;51,92;1249;365;0,83;24,70;1,02;0,24;0,28;626;1,11;70;1;1;5185;2569;2712;null;53,10;LT;france;1052;819;0,97;1,21;19,47;887;74;2,44;0;2;4;1,21
24305;1607;1612;51,18;1157;364;0,85;22,18;1,28;0,38;0,49;590;1,09;70;2;0;58113;3655;3214;null;72,22;MT;ussr;1496;289;1,78;1,94;22,22;1094;78;1,83;0;0;3;2,29
40177;639;553;47,14;471;224;0,47;20,13;0,85;1,56;0,31;364;0,59;70;1;1;3665;843;712;null;46,45;MT;uk;532;213;0,51;0,71;19,76;373;52;0,79;0;1;4;0,63
10521;797;799;47,89;551;237;0,62;30,27;0,57;1,26;0,66;395;0,89;70;2;0;9249;719;695;null;52,94;TD;usa;627;179;0,62;0,89;26,47;498;55;0,40;0;0;2;0,84
18398;1029;988;48,48;747;160;0,74;29,85;0,44;1,29;0,36;529;1,06;70;1;1;11553;1272;1287;null;50,65;TD;usa;778;163;0,86;1,54;29,71;542;54;0,45;0;1;3;1,22
1211;110;101;39,14;170;110;0,19;19,08;0,65;2,21;0,23;214;0,24;70;1;1;4977;248;112;null;23,53;LT;czech;281;179;0,06;0,30;5,88;340;66;0,71;0;0;1;0,06
15850;789;766;47,12;769;313;0,54;20,14;0,90;0,76;0,20;470;0,68;70;2;0;5185;807;727;null;32,14;LT;france;489;340;0,54;0,53;3,57;463;74;2,50;0;0;2;0,56
68833;1714;1773;52,66;1281;423;0,97;32,88;1,07;1,44;0,74;537;1,44;70;1;1;55569;2039;2353;null;55,23;TD;germany;1157;541;1,48;1,76;37,46;660;70;1,96;0;2;4;2,36
60810;1221;1264;49,78;1050;413;0,73;21,92;1,12;0,37;0,44;616;0,93;70;2;0;5633;1191;1952;null;56,97;SPG;ussr;834;369;0,85;4,94;48,23;633;25;0,03;0;1;4;1,64
33877;764;774;46,73;697;206;0,60;25,54;0,51;0,72;0,34;335;0,80;70;1;1;3873;680;725;null;45,84;HT;usa;688;277;0,58;0,62;20,24;389;71;0,87;0;1;4;0,73
20082;1058;1071;50,06;668;284;0,70;26,48;1,00;1,72;0,63;429;0,95;70;1;1;4673;862;1358;null;51,75;SPG;france;632;382;0,62;3,83;47,37;417;25;0,05;0;1;4;1,18
3027;245;190;43,84;289;131;0,32;26,92;0,31;1,22;0,32;280;0,43;70;2;0;7569;256;311;null;35,71;TD;poland;423;98;0,52;0,59;28,57;395;69;0,17;0;0;1;0,73
7740;653;601;46,33;482;153;0,53;17,17;0,64;0,93;0,14;315;0,63;70;2;0;4977;961;781;null;83,33;LT;czech;504;502;0,17;0,50;0,00;743;74;2,50;0;0;1;0,17
1417;1565;1547;53,28;928;324;0,82;25,97;1,39;0,52;0,44;624;1,11;70;1;1;4113;1811;1939;null;43,33;MT;germany;1121;371;0,97;0,91;26,67;779;64;1,60;0;0;3;1,32
