battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
29994;1722;1843;52,44;1455;442;0,96;29,45;1,00;0,86;0,40;703;1,36;89;2;1
51917;1832;1780;52,77;1466;301;1,14;34,14;0,92;0,93;0,69;735;1,73;89;1;0
48472;961;922;47,60;807;237;0,67;28,38;0,77;0,63;0,47;514;0,93;89;1;0
28898;980;986;48,09;811;339;0,64;22,63;0,97;0,65;0,29;519;0,83;89;1;0
55760;900;857;48,19;789;316;0,58;21,27;1,00;0,53;0,46;464;0,74;89;2;1
40871;1671;1662;53,21;1152;380;0,98;33,76;1,13;1,10;0,74;608;1,47;89;1;0
25988;1586;1597;50,92;1062;369;0,83;20,94;1,35;0,50;0,37;554;1,04;89;1;0
14109;1293;1292;49,72;950;268;0,87;30,40;0,77;1,16;0,72;541;1,25;89;1;0
27593;1304;1311;51,54;816;301;0,81;22,12;1,33;0,41;0,46;498;1,04;89;1;0
2726;648;574;45,78;596;162;0,55;24,76;0,55;0,99;0,45;387;0,73;89;1;0
13796;743;701;47,93;523;224;0,60;17,30;1,31;0,64;0,24;401;0,73;89;1;0
19259;1029;1049;47,34;1051;320;0,65;25,47;0,82;0,71;0,24;600;0,88;89;2;1
59257;1003;1066;48,12;972;376;0,71;29,62;0,62;0,89;0,57;545;1,01;89;1;0
26765;1110;1143;48,22;1053;318;0,77;32,49;0,56;0,84;0,42;600;1,14;89;2;1
1617;804;700;48,30;398;123;0,57;27,27;0,68;1,18;0,27;335;0,78;89;1;0
45683;1238;1312;50,09;930;377;0,78;28,45;0,92;0,34;0,41;496;1,09;89;1;0
8802;1644;1766;51,92;1493;550;0,79;26,15;1,32;0,76;0,26;739;1,08;89;2;1
2815;820;719;46,07;944;223;0,49;18,72;0,70;0,95;0,21;594;0,60;89;2;1
9189;1935;1908;53,90;1233;314;1,08;35,23;0,87;0,42;0,73;747;1,67;89;1;0
15892;487;447;43,90;575;261;0,40;15,05;0,75;0,45;0,11;476;0,47;89;2;1
12320;1224;1253;48,73;1286;334;0,73;26,51;0,81;1,74;0,28;667;1,00;89;2;1
1530;693;618;43,33;488;162;0,54;19,48;0,69;0,78;0,45;444;0,67;89;1;0
19960;1186;1186;48,46;1108;390;0,68;16,40;1,36;0,53;0,12;607;0,82;89;2;1
15146;1337;1316;49,89;1224;373;0,67;17,01;1,34;0,40;0,30;561;0,81;89;2;1
5121;1637;1730;52,26;1292;365;0,90;32,61;0,95;0,89;0,37;699;1,33;89;2;1
59499;1201;1101;49,41;968;245;0,75;22,75;1,19;1,02;0,44;474;0,97;89;2;1
2818;1190;1212;48,97;1040;417;0,64;21,82;1,14;1,06;0,25;674;0,82;89;2;1
3327;527;503;44,48;662;214;0,47;22,06;0,40;1,19;0,21;515;0,60;89;1;0
7513;436;386;42,34;682;243;0,43;23,52;0,52;0,61;0,39;530;0,56;89;2;1
1184;710;704;43,50;631;174;0,54;26,01;0,36;0,87;0,37;429;0,73;89;2;1
