battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
33659;860;847;48,93;652;186;0,81;30,39;0,55;0,54;0,62;429;1,16;9;2;0
34849;1212;1212;50,91;686;278;0,76;24,28;1,06;0,93;0,62;411;1,00;9;1;1
33407;1036;1363;51,38;667;323;0,78;43,13;0,23;0,87;0,67;402;1,37;9;1;1
8499;439;372;46,30;334;171;0,42;19,46;0,96;0,83;0,30;276;0,52;9;2;0
32683;1531;1524;51,79;1099;320;0,94;31,84;0,87;1,69;0,68;540;1,38;9;1;1
4974;564;501;46,88;455;221;0,50;23,20;0,74;0,84;0,31;347;0,65;9;1;1
82382;846;859;47,42;737;326;0,68;26,60;0,87;1,32;0,59;540;0,92;9;1;1
1656;820;726;47,28;577;187;0,53;22,16;0,77;0,77;0,21;504;0,68;9;2;0
8503;993;936;47,55;770;241;0,60;23,18;0,77;0,91;0,32;449;0,78;9;2;0
55692;1068;1099;50,36;643;247;0,78;28,10;1,02;0,85;0,52;425;1,08;9;2;0
26988;1166;1223;49,86;836;249;0,85;28,68;0,75;1,17;0,45;571;1,19;9;1;1
51008;971;994;49,46;505;179;0,85;35,13;0,54;0,76;0,61;333;1,32;9;1;1
1444;905;1120;49,52;653;305;0,65;34,70;0,44;0,45;0,39;437;1,00;9;1;1
10398;1765;1776;52,95;1230;347;1,01;36,37;0,98;1,15;0,69;641;1,59;9;2;0
12374;762;746;48,89;545;271;0,54;21,75;0,94;1,14;0,33;485;0,68;9;1;1
1196;642;549;47,41;311;147;0,51;16,72;1,00;0,94;0,42;311;0,61;9;1;1
43902;639;655;47,44;487;200;0,51;26,52;0,57;0,22;0,21;329;0,70;9;2;0
987;416;341;45,59;347;123;0,43;20,97;0,47;0,68;0,11;372;0,54;9;2;0
1479;462;393;45,44;442;222;0,37;17,11;0,93;1,85;0,14;421;0,44;9;2;0
5458;855;811;47,87;563;211;0,55;16,36;0,93;0,66;0,27;454;0,66;9;1;1
1527;552;487;44,79;504;218;0,41;17,49;1,08;0,87;0,13;388;0,49;9;1;1
2708;880;901;50,74;751;313;0,60;28,55;0,98;2,40;0,30;543;0,84;9;2;0
1323;536;478;43,84;707;220;0,43;21,09;0,67;1,36;0,22;543;0,54;9;2;0
188;1997;2019;56,38;1023;194;1,02;28,19;0,83;1,04;0,72;676;1,41;9;1;1
1365;1782;1814;52,75;1620;361;1,00;35,90;0,87;1,10;0,10;798;1,56;9;2;0
553;1912;1878;57,14;1017;268;0,96;33,82;0,93;0,70;0,77;748;1,45;9;2;0
341;1027;973;37,24;845;154;0,63;12,90;0,91;0,26;0,16;496;0,73;9;2;0
1155;1572;1599;54,20;1011;262;0,99;41,30;0,59;1,43;0,69;675;1,69;9;1;1
770;839;722;48,18;499;116;0,66;26,10;0,52;0,41;0,61;378;0,89;9;1;1
277;1578;1490;45,85;498;81;1,01;28,16;0,81;0,98;1,00;392;1,41;9;2;0
