battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
39753;619;587;46,30;583;289;0,51;25,45;0,69;1,34;0,30;394;0,69;75;2;0
40308;1877;1870;53,70;1283;398;1,02;29,68;1,20;0,78;0,69;572;1,44;75;2;0
70657;1007;990;47,12;1073;408;0,64;18,72;1,20;0,55;0,33;575;0,79;75;1;1
36595;766;734;47,34;626;223;0,61;23,53;0,88;1,12;0,37;402;0,80;75;2;0
23254;574;486;45,83;540;179;0,48;18,08;0,70;0,93;0,46;350;0,59;75;2;0
73520;1293;1325;49,63;1180;350;0,83;25,32;0,87;0,92;0,39;572;1,11;75;2;0
17122;1577;1516;52,58;1061;374;0,90;28,55;1,48;1,21;0,52;537;1,25;75;1;1
49675;973;938;48,60;825;282;0,64;18,28;1,12;0,56;0,25;555;0,78;75;1;1
55430;1647;1765;51,89;1490;455;0,91;30,83;1,03;0,32;0,43;566;1,31;75;1;1
104783;578;518;45,36;579;247;0,43;19,45;0,70;0,44;0,25;387;0,53;75;2;0
13338;1985;2089;53,09;1758;483;0,92;24,19;1,32;0,30;0,33;779;1,22;75;1;1
30606;2732;2736;57,90;1929;585;1,32;36,94;1,38;0,19;0,95;835;2,10;75;2;0
37671;3520;3509;60,50;2217;596;1,57;42,10;1,66;0,73;1,05;911;2,71;75;2;0
28084;2302;2396;54,19;2080;699;1,19;37,66;1,31;0,40;0,66;860;1,90;75;1;1
37531;2421;2584;57,43;1916;760;1,23;35,52;1,50;0,57;0,50;895;1,90;75;1;1
16594;991;1003;48,84;864;439;0,58;29,32;1,05;0,92;0,52;507;0,83;75;2;0
20027;645;612;44,07;713;274;0,50;20,21;0,85;0,48;0,17;523;0,62;75;2;0
7002;828;730;47,64;843;258;0,49;16,20;0,79;0,41;0,27;583;0,58;75;1;1
1985;971;899;48,21;935;228;0,61;22,57;0,61;1,13;0,24;547;0,79;75;1;1
12518;1163;1152;47,92;1205;263;0,75;32,01;0,45;0,81;0,36;552;1,10;75;2;0
38370;1472;1568;51,05;1331;447;0,86;27,48;1,13;1,26;0,27;575;1,18;75;2;0
44543;710;694;45,92;775;334;0,46;19,01;0,72;1,14;0,15;490;0,57;75;1;1
7482;810;717;44,97;856;259;0,45;8,62;1,12;0,34;0,12;568;0,49;75;1;1
16964;1036;1047;47,64;1188;374;0,73;35,06;0,66;0,61;0,44;617;1,12;75;2;0
1255;824;808;44,38;862;198;0,57;24,54;0,56;1,81;0,14;526;0,75;75;2;0
918;465;406;48,80;318;135;0,45;22,44;0,67;0,90;0,36;278;0,58;75;1;1
17548;1182;1206;49,14;1002;397;0,62;21,99;1,15;0,91;0,22;663;0,79;75;1;1
308;388;351;47,08;710;279;0,37;21,43;0,41;1,50;0,00;580;0,47;75;1;1
8017;3038;3132;58,90;2798;662;1,40;34,76;1,57;0,64;0,53;1050;2,15;75;1;1
2707;2807;2998;59,62;2731;786;1,21;30,00;1,83;0,11;0,45;1040;1,73;75;2;0
