battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
66389;1789;1701;52,36;1614;449;1,05;26,09;1,37;0,80;0,55;762;1,42;74;1;1
16899;1281;1094;51,23;891;156;0,85;34,87;0,78;0,92;0,70;468;1,31;74;2;0
58933;1344;1327;52,28;781;323;0,93;31,63;1,41;1,43;0,81;439;1,36;74;1;1
757;1228;1278;46,37;1081;311;0,79;26,29;0,90;0,37;0,38;588;1,07;74;2;0
18463;1532;1625;49,92;1534;466;0,79;22,56;1,19;0,71;0,22;702;1,02;74;1;1
28357;1890;1937;54,43;1218;316;1,05;32,94;0,99;1,25;0,72;589;1,56;74;2;0
51684;757;730;47,47;705;273;0,53;25,15;0,70;0,98;0,33;405;0,71;74;1;1
49816;1387;1448;51,03;1336;526;0,75;23,72;1,31;1,16;0,31;588;0,99;74;1;1
113437;1026;1012;48,65;957;329;0,70;18,13;1,08;0,68;0,37;575;0,85;74;1;1
31338;1400;1494;51,05;1132;436;0,80;29,71;1,22;0,95;0,56;494;1,14;74;1;1
64176;956;909;48,40;824;306;0,64;22,26;1,05;0,53;0,41;447;0,82;74;1;1
76681;1088;1180;49,36;905;394;0,69;23,67;0,97;0,61;0,24;498;0,90;74;2;0
11006;107;102;43,33;205;155;0,23;11,39;0,65;0,56;0,04;260;0,26;74;1;1
7245;968;898;48,23;895;288;0,54;24,53;0,92;0,51;0,41;545;0,72;74;1;1
8696;649;532;46,50;432;146;0,47;16,17;0,86;0,61;0,21;322;0,56;74;2;0
21759;708;682;45,45;779;274;0,48;19,75;0,79;0,53;0,16;451;0,60;74;2;0
35341;1751;1726;53,14;1264;411;0,94;29,77;1,47;1,09;0,76;656;1,34;74;2;0
50136;925;823;48,57;744;170;0,68;19,25;1,08;1,00;0,43;461;0,84;74;2;0
56954;1426;1511;50,23;1069;435;0,87;34,24;1,10;2,29;0,53;587;1,32;74;1;1
33413;412;360;44,45;493;241;0,35;15,32;0,62;0,63;0,15;363;0,41;74;2;0
62347;1097;1162;48,69;1135;481;0,69;22,18;1,15;0,90;0,22;582;0,88;74;2;0
10866;1253;1109;51,47;834;149;0,82;28,51;0,81;1,01;0,65;451;1,15;74;1;1
24139;742;717;47,48;702;328;0,56;16,47;1,20;0,46;0,33;484;0,67;74;1;1
47272;2304;2343;54,43;1949;509;1,20;31,96;1,21;0,75;0,69;712;1,77;74;2;0
35135;1272;1160;49,88;915;280;0,84;23,09;1,24;1,09;0,60;457;1,10;74;2;0
22337;1465;1453;51,29;1048;290;0,93;26,92;0,87;0,77;0,73;448;1,27;74;1;1
24715;777;759;47,23;756;229;0,57;28,63;0,48;0,89;0,25;457;0,79;74;2;0
18560;561;513;45,30;553;231;0,46;28,95;0,43;0,67;0,30;488;0,64;74;1;1
1379;3797;4116;62,00;3358;446;1,51;44,23;1,19;0,58;0,37;1253;2,71;74;2;0
528;3169;3783;62,88;2258;1176;1,33;39,77;2,57;1,26;0,29;1131;2,21;74;2;0
