battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
19371;1059;875;48,32;921;132;0,78;30,11;0,72;2,66;0,49;467;1,11;76;2;1
13316;1007;903;47,30;777;183;0,63;21,76;0,83;1,22;0,49;452;0,80;76;2;1
56391;1894;1906;52,20;1481;409;1,04;29,50;1,17;1,07;0,65;720;1,48;76;2;1
8617;221;154;43,69;290;98;0,32;23,52;0,39;1,17;0,36;339;0,42;76;2;1
49411;872;875;46,74;1023;312;0,63;25,00;0,53;0,56;0,22;572;0,84;76;2;1
9801;1072;1096;48,95;925;354;0,65;26,31;0,93;0,83;0,25;627;0,89;76;1;0
20698;1473;1438;50,50;1109;285;0,91;31,90;0,92;1,34;0,62;590;1,33;76;1;0
24680;1977;2119;52,59;1843;555;0,83;17,90;1,67;0,43;0,23;746;1,01;76;1;0
45995;1287;1313;49,34;1066;405;0,78;22,47;1,27;0,57;0,47;659;1,01;76;1;0
122859;916;937;48,07;815;404;0,59;19,71;1,13;0,79;0,24;510;0,74;76;1;0
6879;254;209;44,06;319;154;0,30;22,72;0,54;0,42;0,32;296;0,39;76;2;1
57806;1364;1419;49,86;1177;453;0,81;32,42;1,06;0,65;0,59;646;1,19;76;1;0
46694;611;607;45,46;581;259;0,54;27,28;0,52;0,53;0,45;443;0,74;76;2;1
106364;1246;1295;49,21;1126;348;0,80;30,03;0,72;0,48;0,37;606;1,14;76;1;0
19218;652;604;45,53;671;269;0,44;22,56;0,73;0,58;0,28;444;0,57;76;2;1
57695;1526;1531;51,62;1140;427;0,92;30,23;1,16;0,52;0,64;581;1,32;76;1;0
40256;1045;1024;48,98;840;300;0,68;20,02;1,09;0,51;0,46;511;0,85;76;2;1
16537;942;901;48,17;763;278;0,66;31,64;0,96;1,64;0,58;387;0,96;76;1;0
18949;1326;1320;51,37;970;305;0,77;23,67;1,13;0,93;0,47;492;1,01;76;2;1
24020;1629;1732;50,86;1329;437;0,84;21,48;1,19;0,49;0,34;602;1,06;76;1;0
27832;894;918;47,19;991;397;0,57;27,04;0,69;1,15;0,26;613;0,77;76;1;0
8807;1533;1551;51,53;1130;329;0,95;26,25;1,22;0,31;0,55;536;1,29;76;1;0
281;891;825;48,75;815;355;0,59;18,15;1,80;0,70;0,30;631;0,73;76;1;0
30037;1897;2112;53,60;1616;568;1,04;35,90;1,16;0,49;0,39;770;1,62;76;1;0
38590;949;893;47,20;789;295;0,62;15,11;1,21;0,40;0,23;449;0,73;76;2;1
9710;1111;1096;47,42;943;301;0,64;21,86;1,09;0,36;0,17;533;0,82;76;2;1
525;243;206;44,19;418;255;0,25;23,43;0,54;2,23;0,04;443;0,33;76;1;0
12616;1023;981;46,87;1123;365;0,68;28,64;0,88;0,57;0,46;644;0,95;76;2;1
11402;1168;1124;49,42;1038;263;0,64;23,44;0,82;1,62;0,19;669;0,84;76;2;1
30;2271;2223;53,33;2679;395;1,23;30,00;1,07;0,00;0,00;970;1,76;76;2;1
