battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
54284;685;609;46,87;607;217;0,53;18,50;0,91;1,07;0,28;422;0,65;7;1;1
67616;1180;1076;48,04;1071;212;0,88;34,86;0,58;1,14;0,72;450;1,35;7;2;0
59237;908;905;47,10;950;326;0,66;18,14;0,90;0,79;0,25;576;0,81;7;1;1
28046;579;545;45,52;689;326;0,48;16,33;1,04;0,89;0,17;492;0,58;7;1;1
70814;1001;1036;47,88;997;380;0,72;26,97;0,81;0,69;0,40;571;0,98;7;1;1
105527;1587;1649;51,92;1448;496;0,95;28,38;1,30;0,72;0,46;707;1,33;7;2;0
82888;1111;1114;47,73;1064;322;0,72;22,72;0,91;1,20;0,19;582;0,94;7;1;1
36784;1143;1163;49,58;960;452;0,69;31,26;1,09;0,58;0,37;573;1,00;7;2;0
31278;1400;1352;49,80;756;243;0,83;22,02;1,48;0,70;0,42;453;1,06;7;2;0
19896;727;677;46,38;715;273;0,54;20,92;0,86;0,15;0,37;531;0,68;7;2;0
31113;2630;2814;57,11;2018;761;1,28;36,24;1,81;0,40;0,52;898;2,01;7;1;1
14116;2522;2737;58,05;1736;567;1,12;29,18;1,54;0,72;0,33;900;1,59;7;2;0
25198;1532;1561;50,50;1434;419;0,76;19,17;1,20;0,17;0,25;723;0,94;7;1;1
167;421;378;38,92;391;123;0,40;20,36;1,71;9,56;0,06;343;0,50;7;2;0
