battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
51880;1278;1197;49,66;1091;285;0,76;28,04;0,97;0,83;0,65;657;1,05;810;2;0
35914;1082;995;48,62;977;291;0,69;21,07;1,26;1,31;0,46;538;0,87;810;2;0
29384;2182;1883;55,58;1450;302;1,10;26,89;1,82;1,82;0,80;647;1,50;810;2;0
4983;670;606;47,28;632;309;0,43;19,23;1,00;1,17;0,28;464;0,54;810;2;0
31145;917;991;48,52;811;380;0,66;30,66;0,93;0,88;0,62;466;0,95;810;1;1
15199;1078;1144;49,57;713;306;0,69;28,14;0,86;0,76;0,63;432;0,97;810;2;0
38113;1298;1321;50,27;969;401;0,78;25,11;1,27;0,64;0,51;535;1,04;810;2;0
28583;1793;1796;51,56;1479;418;0,97;26,41;1,11;0,40;0,70;674;1,32;810;1;1
46078;1121;1119;49,03;914;327;0,74;26,60;0,94;0,48;0,52;478;1,00;810;1;1
56893;1302;1355;49,18;1277;447;0,81;23,64;1,09;0,57;0,36;623;1,07;810;2;0
7818;717;663;46,16;666;253;0,52;16,35;0,99;0,48;0,27;458;0,62;810;2;0
26806;1442;1469;49,83;1226;364;0,77;23,00;0,93;0,38;0,37;560;1,00;810;2;0
35269;2205;2269;55,16;1538;569;1,10;29,21;1,49;0,43;0,81;776;1,56;810;1;1
65950;1450;1465;50,59;1215;400;0,83;24,26;1,19;0,31;0,40;687;1,10;810;1;1
29950;1399;1441;50,21;1418;474;0,97;33,89;0,78;0,96;0,34;731;1,47;810;1;1
7457;834;844;46,23;723;274;0,57;26,62;0,68;0,63;0,52;465;0,78;810;1;1
45165;1861;1909;53,11;1440;427;1,06;33,24;1,01;0,95;0,50;610;1,59;810;2;0
13780;2046;2188;54,88;1725;429;1,04;30,40;1,02;0,34;0,48;833;1,49;810;2;0
21475;2472;2650;56,01;1908;487;1,12;28,95;1,32;0,31;0,64;883;1,58;810;2;0
12220;1064;1111;48,49;770;217;0,73;29,51;0,56;0,69;0,30;432;1,03;810;2;0
27552;1287;1304;50,05;1077;412;0,76;26,71;1,13;0,82;0,52;530;1,04;810;1;1
41902;1272;1337;49,64;1084;481;0,76;19,74;1,23;0,62;0,46;546;0,94;810;1;1
8101;1345;1394;49,61;1040;336;0,75;29,59;0,89;0,59;0,52;551;1,06;810;1;1
1304;3159;3298;56,21;2051;883;1,10;18,40;2,63;0,16;0,42;1046;1,34;810;1;1
543;749;781;46,78;767;266;0,66;21,36;0,83;0,42;0,31;556;0,84;810;2;0
1097;957;859;49,59;1056;272;0,60;21,33;0,90;0,28;0,20;636;0,77;810;2;0
566;878;809;45,23;1344;195;0,74;37,10;0,26;1,27;0,43;610;1,17;810;1;1
1533;875;886;45,79;1254;265;0,56;24,98;0,55;0,46;0,13;636;0,75;810;1;1
295;551;592;40,00;1003;279;0,48;23,05;0,45;0,02;0,04;578;0,62;810;1;1
183;1756;1835;43,72;1920;760;0,88;23,50;1,69;0,23;0,04;820;1,15;810;1;1
