battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
27127;1027;902;49,25;735;171;0,74;26,92;0,82;1,22;0,70;408;1,01;202;1;0
52454;2121;2044;53,52;1562;373;1,10;33,12;1,10;0,92;0,82;593;1,64;202;1;0
35897;1576;1454;50,80;1292;264;0,99;31,80;0,92;1,05;0,68;540;1,46;202;2;1
4630;640;581;46,89;508;149;0,58;29,78;0,52;1,59;0,53;336;0,82;202;1;0
13216;750;622;46,72;587;197;0,52;21,06;0,85;0,93;0,39;419;0,66;202;1;0
10675;1026;960;48,55;787;280;0,62;29,19;0,73;1,04;0,47;460;0,88;202;1;0
8193;467;413;46,37;418;160;0,49;26,25;0,51;0,79;0,49;314;0,66;202;1;0
62453;1020;1045;48,68;954;390;0,62;18,31;1,36;0,80;0,23;495;0,76;202;2;1
31436;1309;1304;49,63;1183;385;0,75;21,77;1,25;0,75;0,24;645;0,96;202;2;1
46664;816;809;47,25;745;276;0,62;24,62;0,69;0,68;0,38;550;0,82;202;2;1
19132;2387;2373;56,79;1662;494;1,20;40,05;1,21;0,83;1,02;803;2,00;202;1;0
18402;590;634;44,07;778;317;0,48;28,37;0,33;0,55;0,39;389;0,67;202;1;0
43675;1367;1409;49,43;1283;461;0,82;20,81;1,22;0,46;0,29;637;1,04;202;2;1
6548;952;907;49,18;821;361;0,49;21,26;1,10;0,61;0,32;528;0,63;202;2;1
31803;509;470;46,36;399;164;0,46;16,77;0,59;0,46;0,28;302;0,55;202;2;1
16214;1726;1762;54,27;1461;373;1,00;35,62;0,68;0,61;0,40;792;1,56;202;2;1
26187;2803;3008;57,87;1614;558;1,26;30,46;1,66;0,26;0,72;789;1,82;202;2;1
25857;1176;1166;49,44;932;286;0,78;30,89;0,93;0,86;0,47;622;1,13;202;1;0
6728;821;746;46,80;709;220;0,52;19,90;1,00;1,68;0,14;463;0,65;202;2;1
3150;674;578;46,00;649;216;0,43;22,60;0,63;0,84;0,18;477;0,56;202;2;1
11228;1431;1490;50,07;1111;509;0,69;22,11;1,56;0,52;0,27;728;0,89;202;2;1
20500;1212;1159;48,11;1272;313;0,72;32,24;0,67;1,28;0,32;603;1,07;202;2;1
199187;205;172;43,69;266;189;0,26;12,05;2,90;1,37;0,20;309;0,30;202;1;0
7608;1014;1082;48,88;708;467;0,63;26,60;1,31;0,53;0,36;580;0,86;202;1;0
2220;711;587;44,91;574;255;0,51;19,19;0,86;1,09;0,57;402;0,63;202;1;0
3557;909;838;48,58;572;275;0,57;26,43;1,08;0,69;0,43;461;0,77;202;2;1
1597;925;833;46,96;610;180;0,57;22,92;0,72;1,96;0,45;498;0,74;202;1;0
683;646;581;45,83;790;248;0,43;17,42;0,75;0,30;0,10;553;0,52;202;1;0
615;8;19;38,86;188;125;0,16;24,07;0,45;0,96;0,13;325;0,22;202;1;0
448;720;811;47,99;624;539;0,53;23,66;2,07;0,26;0,39;609;0,70;202;2;1
