battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
3222;753;742;48,94;398;125;0,72;24,39;0,62;2,31;0,38;345;0,95;101;2;0
29417;2014;1984;55,06;1395;305;1,17;36,34;0,94;0,85;0,80;606;1,83;101;1;1
86095;1553;1605;51,18;1282;434;0,86;21,54;1,51;0,61;0,24;689;1,10;101;1;1
15609;1863;2021;51,83;1683;480;0,97;30,93;1,17;0,63;0,31;789;1,40;101;1;1
43736;1789;1810;53,47;1258;432;0,92;24,57;1,40;1,07;0,59;610;1,22;101;2;0
11367;1109;943;49,34;867;192;0,66;22,20;1,30;1,00;0,58;582;0,85;101;1;1
73201;1459;1324;51,63;1025;236;0,88;33,03;1,02;0,85;0,93;433;1,32;101;1;1
8311;1363;1401;50,64;1249;350;0,74;22,62;0,96;0,76;0,13;651;0,95;101;2;0
17666;1061;1042;49,63;851;325;0,71;23,32;0,96;1,00;0,55;574;0,92;101;2;0
38482;1720;1769;53,06;1250;371;0,93;28,54;1,12;1,53;0,53;586;1,30;101;1;1
38477;1338;1333;50,87;1007;398;0,81;29,11;1,23;1,53;0,69;497;1,14;101;2;0
4951;744;663;47,49;536;200;0,54;16,46;0,81;0,42;0,23;377;0,64;101;2;0
13708;604;540;45,59;729;245;0,46;23,21;0,59;0,97;0,23;464;0,60;101;2;0
56074;1589;1540;52,29;1253;280;0,98;33,47;0,82;1,27;0,76;609;1,48;101;1;1
21182;1052;1213;49,74;902;734;0,59;14,86;2,16;0,24;0,28;618;0,69;101;2;0
24696;901;842;47,02;982;304;0,50;17,04;1,06;0,67;0,22;635;0,60;101;2;0
37463;742;656;48,35;517;190;0,60;21,70;1,13;1,36;0,41;331;0,76;101;2;0
23583;437;359;45,73;435;173;0,37;18,02;0,68;0,64;0,30;332;0,46;101;2;0
14991;576;539;46,15;544;226;0,49;24,98;0,61;1,03;0,40;395;0,65;101;2;0
27694;303;262;45,19;362;191;0,38;31,74;0,39;2,02;0,60;301;0,55;101;1;1
33413;412;360;44,45;493;241;0,35;15,32;0,62;0,63;0,15;363;0,41;101;2;0
63340;1384;1370;50,36;1146;402;0,79;23,56;1,16;0,58;0,48;611;1,04;101;1;1
7902;902;909;47,00;687;273;0,68;24,93;0,94;1,55;0,27;464;0,91;101;1;1
30684;2186;2206;55,80;1597;494;1,09;30,44;1,32;1,29;0,55;713;1,57;101;1;1
20530;1767;1860;52,83;1437;478;0,95;29,08;1,10;0,62;0,44;682;1,34;101;1;1
54669;972;953;48,58;793;304;0,64;20,81;1,08;0,81;0,49;411;0,80;101;2;0
5357;585;482;48,78;402;141;0,52;17,83;1,04;1,96;0,14;370;0,63;101;1;1
61771;900;905;47,70;810;312;0,66;26,99;0,84;0,70;0,47;435;0,91;101;1;1
13020;1160;1166;48,69;1290;417;0,67;23,65;0,97;0,66;0,25;694;0,87;101;1;1
2531;1521;1587;50,93;1715;437;0,81;22,48;1,04;0,26;0,21;809;1,05;101;2;0
