battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
63768;1346;1331;50,32;1194;326;0,91;33,43;0,71;1,16;0,52;683;1,36;206;1;0
20983;1651;1473;51,35;1257;185;1,02;32,70;0,88;1,73;0,62;527;1,51;206;2;1
6426;924;854;49,24;651;181;0,65;27,33;0,89;1,22;0,53;433;0,90;206;2;1
23690;2033;2204;54,91;1587;541;0,94;28,28;1,43;0,45;0,42;802;1,31;206;1;0
103967;1215;1174;48,72;1208;338;0,82;23,51;1,00;0,60;0,40;601;1,07;206;1;0
31957;1130;1123;48,62;1061;374;0,67;28,11;1,00;0,94;0,41;457;0,93;206;1;0
25026;798;773;46,94;797;329;0,53;17,62;1,17;0,27;0,19;493;0,65;206;1;0
56115;1907;2004;53,06;1745;531;1,03;24,74;1,41;1,05;0,20;810;1,37;206;2;1
49558;659;640;46,61;631;234;0,54;22,93;0,91;0,88;0,49;458;0,70;206;2;1
103910;897;866;46,78;880;299;0,60;26,31;0,71;0,78;0,34;491;0,82;206;2;1
65253;1198;1216;49,57;1276;458;0,76;23,08;1,42;0,94;0,38;537;0,98;206;2;1
66393;1193;1187;49,29;922;297;0,79;28,72;0,84;0,56;0,53;577;1,11;206;1;0
36598;1230;1227;48,96;1274;407;0,67;22,24;0,96;0,43;0,30;572;0,86;206;1;0
4933;876;833;47,62;987;269;0,58;28,14;0,60;0,67;0,20;619;0,81;206;2;1
2481;3249;3066;64,05;1187;299;1,77;48,49;1,34;1,13;1,65;651;3,44;206;1;0
6676;1104;1099;48,80;947;295;0,68;24,01;0,90;0,67;0,32;485;0,90;206;2;1
967;529;468;47,47;675;180;0,46;25,34;0,44;0,19;0,15;473;0,62;206;2;1
10879;1454;1516;50,15;1297;410;0,81;30,29;1,08;0,82;0,35;692;1,16;206;2;1
12638;1340;1340;50,35;1108;428;0,73;20,91;1,30;0,67;0,48;637;0,93;206;2;1
1671;1451;1420;51,94;1005;303;0,83;29,26;1,05;0,55;0,33;578;1,17;206;2;1
9775;4517;5070;67,31;3872;822;1,76;40,32;1,92;0,11;0,35;1279;2,95;206;2;1
17833;1673;1780;52,31;1284;523;0,90;33,16;1,31;0,41;0,70;577;1,35;206;1;0
528;687;660;47,16;688;184;0,57;19,51;0,66;0,27;0,04;451;0,71;206;1;0
21009;1055;1005;47,20;1070;341;0,56;21,96;1,09;0,35;0,19;642;0,72;206;1;0
8513;1416;1442;49,82;1316;424;0,76;30,34;0,99;0,58;0,50;735;1,09;206;2;1
4090;1166;1191;48,58;1130;434;0,62;28,36;1,04;0,69;0,33;633;0,87;206;1;0
12952;1053;990;48,41;960;274;0,55;17,88;0,93;0,62;0,12;493;0,67;206;1;0
75417;1463;1334;50,45;1335;267;0,90;24,99;0,93;1,28;0,52;645;1,20;206;1;0
12616;1023;981;46,87;1123;365;0,68;28,64;0,88;0,57;0,46;644;0,95;206;1;0
505;637;591;40,79;668;159;0,46;14,06;0,81;0,46;0,26;493;0,53;206;2;1
