battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
28536;850;814;48,04;678;202;0,62;29,33;0,61;0,83;0,60;381;0,87;8;2;0
42670;1102;1139;48,70;1022;492;0,66;24,56;1,22;0,81;0,49;571;0,88;8;1;1
85966;2103;2081;55,50;1510;419;1,07;27,60;1,47;1,32;0,67;811;1,48;8;1;1
15409;594;492;46,36;548;222;0,40;16,47;1,04;1,27;0,13;412;0,48;8;2;0
8378;382;329;44,69;371;135;0,43;19,26;0,68;0,94;0,37;305;0,53;8;2;0
24001;1317;1267;50,77;906;210;0,94;41,82;0,55;1,35;0,92;426;1,62;8;2;0
16448;1601;1529;52,21;1216;234;0,93;33,90;0,90;1,31;0,63;667;1,41;8;1;1
56626;1632;1650;51,78;1328;375;0,93;30,15;0,98;0,41;0,65;550;1,33;8;2;0
22867;1517;1577;51,13;1058;370;0,78;21,45;1,35;0,23;0,31;537;0,99;8;1;1
11366;972;954;47,83;798;247;0,65;22,08;0,80;0,83;0,32;453;0,83;8;2;0
58542;698;705;44,61;807;384;0,50;15,06;1,10;1,01;0,13;517;0,59;8;2;0
53127;1838;1929;53,53;1523;464;0,90;19,06;1,63;0,27;0,29;657;1,12;8;2;0
7436;1012;921;47,78;935;237;0,60;27,61;0,69;0,61;0,28;489;0,82;8;2;0
31544;684;662;47,21;538;240;0,59;30,16;0,76;0,63;0,48;335;0,85;8;1;1
34131;2336;2588;55,61;2066;608;1,05;24,90;1,53;0,22;0,28;858;1,40;8;1;1
6477;585;530;43,11;719;225;0,45;22,29;0,49;0,70;0,10;481;0,58;8;2;0
19930;1443;1523;49,49;1572;387;0,80;25,38;0,89;0,24;0,19;673;1,07;8;1;1
66402;647;610;46,28;624;253;0,53;31,00;0,54;0,35;0,42;396;0,77;8;1;1
21908;1265;1303;49,24;1123;418;0,71;24,94;1,10;0,70;0,27;634;0,94;8;2;0
8738;1312;1356;50,19;1442;268;0,88;41,18;0,43;0,36;0,29;712;1,50;8;2;0
15216;2965;3125;58,32;1940;628;1,35;33,45;1,77;0,45;0,51;1005;2,02;8;1;1
18981;1491;1548;49,54;1361;409;0,79;28,06;0,89;0,84;0,51;734;1,10;8;1;1
25174;1374;1477;50,07;1282;540;0,77;28,66;1,24;0,57;0,47;650;1,08;8;2;0
65840;860;789;47,45;846;341;0,53;14,02;1,14;0,27;0,22;554;0,62;8;2;0
30300;1331;1341;49,32;1123;281;0,84;26,39;0,86;0,73;0,53;526;1,14;8;1;1
25306;1316;1293;49,96;1072;344;0,74;22,64;1,12;0,92;0,50;545;0,96;8;1;1
65740;1270;1151;49,33;1037;308;0,85;27,04;1,22;0,91;0,47;542;1,17;8;1;1
3647;705;617;46,53;759;259;0,40;13,38;0,95;0,36;0,11;529;0,47;8;1;1
986;348;283;43,00;359;119;0,40;18,97;0,48;2,18;0,50;366;0,49;8;2;0
350;2384;2584;53,43;1878;709;0,95;25,14;2,26;1,49;0,05;921;1,27;8;1;1
