battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
33071;1078;1108;49,25;964;289;0,82;29,75;0,59;0,66;0,52;564;1,17;21;2;0
40469;1211;1068;52,03;641;150;0,96;27,25;1,30;3,04;0,66;387;1,32;21;2;0
48373;1058;1030;49,02;886;342;0,66;20,58;1,10;0,94;0,29;498;0,83;21;2;0
89223;939;932;47,23;997;343;0,68;23,79;0,76;0,64;0,47;486;0,90;21;1;1
3396;659;449;45,64;401;16;0,75;25,74;0,57;1,26;0,63;277;1,01;21;2;0
48696;1487;1471;50,14;1443;372;0,98;35,01;0,68;0,91;0,85;556;1,51;21;1;1
31416;1041;1093;48,76;891;486;0,60;20,28;1,37;0,70;0,32;502;0,75;21;1;1
42407;1017;1031;48,57;859;360;0,72;24,75;0,93;1,05;0,42;558;0,96;21;2;0
16311;507;461;46,20;499;265;0,40;14,68;0,95;0,52;0,21;415;0,47;21;2;0
28534;1352;1364;50,49;925;312;0,78;19,06;1,26;0,40;0,28;492;0,96;21;2;0
22320;1136;1136;49,04;927;293;0,78;26,34;0,85;0,51;0,40;551;1,06;21;1;1
116310;1352;1424;49,88;1092;445;0,82;32,23;1,01;0,94;0,68;512;1,22;21;2;0
59220;1260;1258;49,55;1138;410;0,74;18,82;1,34;1,20;0,33;537;0,92;21;1;1
5281;907;824;46,56;911;219;0,49;26,83;0,55;0,98;0,35;451;0,67;21;2;0
66869;934;881;48,25;849;329;0,55;22,62;0,98;0,18;0,37;552;0,71;21;2;0
3191;461;409;44,22;503;206;0,38;22,34;0,65;0,70;0,16;438;0,49;21;1;1
25194;1360;1395;49,20;1056;262;0,85;29,13;0,67;0,53;0,42;549;1,19;21;1;1
33488;1641;1747;50,26;1361;404;0,92;29,53;0,94;1,00;0,47;719;1,30;21;2;0
27281;1657;1612;52,44;1146;340;0,74;19,06;1,45;0,62;0,27;653;0,92;21;1;1
8766;766;727;44,86;841;295;0,52;23,20;0,83;0,33;0,25;568;0,67;21;1;1
2630;435;400;43,61;467;216;0,39;20,19;0,62;0,51;0,24;443;0,49;21;1;1
38617;1161;1200;47,54;1253;463;0,71;21,86;1,09;0,53;0,28;523;0,91;21;1;1
15545;814;767;45,09;830;248;0,53;19,18;0,72;0,54;0,26;485;0,65;21;1;1
1378;321;214;45,21;325;104;0,33;23,08;0,21;1,78;0,13;292;0,43;21;2;0
19194;479;351;45,15;371;103;0,47;26,69;0,41;1,36;0,58;254;0,65;21;2;0
6793;955;933;46,19;898;362;0,55;18,43;1,22;0,51;0,21;542;0,68;21;1;1
918;559;540;46,73;616;260;0,51;21,68;0,51;0,83;0,14;541;0,65;21;1;1
36412;1169;1265;49,62;962;515;0,67;17,68;1,43;0,46;0,23;499;0,82;21;1;1
30810;1016;1042;48,72;909;314;0,67;24,61;0,66;1,06;0,38;492;0,89;21;2;0
954;865;751;47,27;509;165;0,63;20,34;0,70;2,59;0,38;337;0,80;21;2;0
