battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
29256;1064;1076;49,75;780;263;0,79;27,33;0,70;0,66;0,57;506;1,08;11;1;0
85779;2087;2081;54,15;1837;513;1,15;35,50;1,07;0,96;0,73;768;1,78;11;1;0
4831;118;76;44,94;159;75;0,25;21,30;0,53;0,54;0,50;220;0,31;11;1;0
98930;720;720;48,85;459;292;0,53;21,90;1,43;0,89;0,47;351;0,68;11;1;0
81489;1690;1695;54,25;719;233;1,15;27,65;1,43;0,73;0,78;436;1,59;11;1;0
116097;1579;1606;50,31;1404;406;0,89;28,01;1,05;0,34;0,58;642;1,23;11;2;1
7800;799;764;48,09;603;192;0,64;31,37;0,52;1,36;0,73;440;0,93;11;2;1
5444;780;733;46,82;721;284;0,51;21,69;0,66;0,90;0,21;444;0,65;11;2;1
3937;1142;1169;47,47;1164;432;0,66;25,68;0,95;0,24;0,24;673;0,89;11;2;1
65027;1370;1424;48,74;1325;483;0,80;25,94;1,03;0,73;0,30;672;1,08;11;2;1
15095;1761;1772;51,36;1311;406;0,95;26,76;1,26;0,61;0,77;692;1,30;11;2;1
28496;1456;1408;51,40;1117;334;0,80;17,62;1,32;0,49;0,30;572;0,97;11;2;1
26718;1488;1574;49,54;1530;479;0,81;26,74;1,10;0,40;0,19;761;1,10;11;2;1
57962;781;762;47,11;836;327;0,54;20,84;0,72;1,08;0,28;562;0,68;11;1;0
15545;814;767;45,09;830;248;0,53;19,18;0,72;0,54;0,26;485;0,65;11;1;0
7687;796;741;46,00;642;275;0,51;21,92;0,81;0,60;0,18;423;0,65;11;1;0
39171;1250;1242;50,34;777;268;0,78;32,37;0,96;0,95;0,54;509;1,16;11;2;1
12116;1629;1572;50,75;1664;355;0,62;9,77;1,51;0,60;0,08;723;0,68;11;1;0
13572;38;44;41,83;204;175;0,13;10,61;0,73;0,19;0,09;338;0,14;11;2;1
1493;730;752;48,02;576;212;0,51;30,88;0,47;0,43;0,19;430;0,73;11;1;0
58942;1211;1288;49,38;1126;491;0,68;21,60;1,32;0,36;0,16;623;0,87;11;1;0
66672;1354;1363;51,08;958;265;0,96;29,83;0,94;1,26;0,38;484;1,37;11;2;1
90953;937;948;48,22;757;318;0,69;25,06;0,95;0,91;0,41;471;0,92;11;1;0
26170;762;712;48,44;603;228;0,62;25,74;0,57;1,15;0,32;377;0,84;11;1;0
20475;961;935;49,00;734;239;0,67;23,35;1,06;2,00;0,31;485;0,87;11;2;1
27843;1342;1358;49,56;1399;490;0,67;17,39;1,28;0,75;0,18;728;0,81;11;1;0
4743;689;691;46,64;586;405;0,43;12,38;1,71;0,84;0,17;549;0,49;11;1;0
2515;3067;3182;60,04;2099;455;1,29;30,22;1,50;0,44;0,73;1084;1,85;11;2;1
3842;357;298;42,32;462;165;0,31;20,12;0,52;0,84;0,37;365;0,39;11;2;1
37;33;2;40,54;165;195;0,08;2,70;1,08;0,43;0,00;414;0,08;11;2;1
