battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
20286;430;340;44,61;440;166;0,40;25,06;0,61;1,85;0,47;389;0,53;12;1;1
6576;3333;3312;60,26;2103;507;1,54;44,57;1,26;0,39;0,96;1063;2,78;12;2;0
43002;1126;1016;49,34;908;241;0,72;21,18;1,16;1,19;0,48;573;0,91;12;2;0
72493;2536;2408;60,67;1722;338;1,25;38,27;1,20;1,81;0,74;869;2,03;12;1;1
36627;918;928;48,68;772;199;0,65;25,14;0,44;1,19;0,31;385;0,87;12;2;0
94692;2650;2515;61,96;1931;429;1,34;48,93;1,14;1,55;1,00;920;2,62;12;1;1
82890;948;931;48,00;984;334;0,59;22,36;0,84;0,79;0,24;582;0,76;12;1;1
95812;1505;1335;52,52;1131;208;1,00;29,43;0,86;1,34;0,58;528;1,42;12;1;1
63874;1088;1036;49,28;841;236;0,74;32,03;0,69;1,10;0,73;447;1,08;12;1;1
31051;2127;2142;53,40;1555;526;1,19;34,60;1,35;1,27;0,57;818;1,83;12;1;1
62375;1187;1230;49,04;1052;480;0,74;23,83;1,26;1,08;0,22;589;0,98;12;2;0
41214;1460;1378;49,90;1296;261;0,87;30,40;0,84;0,76;0,54;642;1,24;12;2;0
91035;2302;2170;60,07;1663;353;1,35;40,53;1,02;2,68;0,95;843;2,27;12;1;1
15860;1114;1136;47,98;1112;363;0,65;22,77;0,89;0,71;0,15;635;0,84;12;2;0
1136;799;739;46,48;930;252;0,53;19,28;0,78;0,83;0,13;563;0,66;12;2;0
7745;1237;1289;49,00;948;279;0,83;24,04;0,88;1,04;0,39;464;1,10;12;1;1
12703;381;301;43,53;468;161;0,33;22,46;0,35;0,42;0,26;397;0,42;12;2;0
65928;1004;1042;49,45;731;335;0,71;23,65;1,19;0,72;0,50;428;0,93;12;1;1
58365;1038;999;48,77;842;353;0,63;20,44;1,18;1,04;0,42;459;0,79;12;2;0
23322;1371;1395;49,76;1279;471;0,70;17,05;1,64;0,14;0,36;639;0,84;12;2;0
11183;686;626;46,05;571;197;0,45;21,42;0,81;0,52;0,34;359;0,57;12;1;1
62923;1540;1577;51,90;1147;391;0,94;31,72;1,06;0,82;0,74;517;1,38;12;2;0
967;799;689;46,64;616;143;0,69;33,40;0,36;2,16;0,45;495;1,04;12;2;0
33413;412;360;44,45;493;241;0,35;15,32;0,62;0,63;0,15;363;0,41;12;1;1
47418;1052;952;49,67;761;220;0,72;22,76;1,00;1,12;0,49;457;0,93;12;1;1
24309;924;789;47,88;732;191;0,66;22,63;1,00;1,88;0,45;450;0,86;12;2;0
26805;1210;1257;49,87;1056;373;0,74;27,96;0,85;1,00;0,35;617;1,03;12;2;0
15963;1113;1027;48,74;953;228;0,74;20,89;1,18;0,96;0,48;430;0,94;12;1;1
34372;1340;1232;49,81;1058;253;0,85;30,39;1,02;0,75;0,60;439;1,22;12;1;1
16458;825;766;46,83;634;190;0,55;23,41;0,76;0,61;0,40;410;0,72;12;2;0
