battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
7461;1097;1038;48,32;858;127;0,74;27,53;0,60;0,71;0,53;501;1,03;23;2;1
18012;1536;1627;50,97;1334;570;0,94;34,15;1,23;0,67;0,37;739;1,43;23;2;1
69725;1789;1720;52,07;1394;435;1,06;29,28;1,31;0,73;0,62;653;1,50;23;2;1
57889;1218;1212;48,52;1189;393;0,72;26,59;1,18;0,48;0,50;510;0,99;23;1;0
12730;1779;1854;52,51;1271;335;0,99;28,22;1,16;0,47;0,70;583;1,38;23;1;0
31706;1829;1644;54,90;852;225;1,29;46,15;0,89;1,35;1,49;455;2,40;23;2;1
65556;1633;1664;51,29;1365;574;1,01;38,66;1,13;1,03;0,72;738;1,64;23;1;0
54052;1390;1484;49,49;1271;637;0,84;25,53;1,67;1,54;0,44;600;1,13;23;2;1
39346;1033;1010;49,42;790;316;0,73;18,90;1,31;0,80;0,32;490;0,90;23;1;0
14662;951;889;48,55;764;277;0,57;18,91;0,99;0,26;0,30;471;0,70;23;1;0
17229;2290;2482;53,68;1611;448;1,07;29,02;1,29;0,24;0,54;792;1,51;23;2;1
27;259;127;51,85;367;94;0,30;18,52;0,30;2,19;0,00;508;0,36;23;1;0
49370;1539;1548;50,66;1287;477;0,80;29,25;1,31;0,44;0,65;691;1,13;23;2;1
9476;332;310;45,64;367;232;0,35;20,97;0,59;0,36;0,23;294;0,44;23;2;1
6881;2797;2952;54,82;2059;654;1,26;32,35;1,77;0,22;0,75;883;1,86;23;1;0
23596;732;664;46,05;854;249;0,52;21,16;0,58;0,45;0,14;595;0,66;23;2;1
32073;1022;994;48,94;776;299;0,67;23,71;1,01;0,63;0,65;510;0,87;23;2;1
8942;1775;1762;52,76;1191;350;0,92;29,48;1,02;0,63;0,75;550;1,30;23;1;0
16251;2025;2162;53,10;1918;644;1,04;25,64;1,52;0,28;0,27;798;1,40;23;2;1
5583;858;819;45,55;819;219;0,61;20,22;0,84;0,24;0,21;480;0,76;23;1;0
25236;2364;2409;56,17;1662;438;1,20;34,77;1,06;0,77;0,90;706;1,84;23;1;0
5018;272;204;43,28;271;145;0,26;14,07;0,80;1,18;0,15;277;0,30;23;2;1
45378;1425;1384;51,58;1099;322;0,86;28,63;1,21;1,20;0,51;564;1,20;23;2;1
1190;525;402;43,95;326;159;0,32;12,02;1,01;0,60;0,15;270;0,36;23;1;0
1294;1023;937;49,46;713;233;0,66;23,88;0,95;0,25;0,60;558;0,87;23;1;0
141;223;207;39,01;672;264;0,26;12,06;0,54;1,40;0,05;571;0,30;23;2;1
11693;2154;2363;54,61;1284;523;1,06;34,74;1,34;1,98;0,81;755;1,62;23;2;1
2970;2855;3030;58,75;2401;508;1,37;41,01;1,06;0,95;0,50;1001;2,32;23;1;0
1548;531;444;42,89;433;147;0,48;18,22;0,89;1,23;0,34;412;0,59;23;1;0
51;61;6;43,14;301;134;0,12;15,69;0,29;0,84;0,00;494;0,14;23;1;0
