battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
82706;1948;2012;54,12;1637;532;0,97;24,06;1,73;0,72;0,43;683;1,27;13;2;1
62684;1140;1060;48,53;995;232;0,77;25,12;0,92;0,75;0,49;593;1,03;13;2;1
14777;1157;1012;51,15;651;174;0,86;37,95;0,85;2,10;1,00;416;1,38;13;1;0
2429;273;237;40,88;305;146;0,28;15,31;0,63;1,13;0,17;265;0,33;13;2;1
72778;702;646;46,22;726;213;0,59;36,34;0,50;1,57;0,45;484;0,93;13;2;1
44237;841;853;48,93;682;204;0,72;30,67;0,56;0,85;0,60;373;1,04;13;1;0
23178;943;877;44,85;844;238;0,70;24,54;0,97;0,85;0,53;499;0,92;13;2;1
40994;1193;1184;49,60;1026;323;0,68;28,68;0,88;0,79;0,43;639;0,95;13;1;0
21865;1863;1982;53,94;1367;403;0,94;27,67;1,18;0,49;0,43;653;1,30;13;2;1
65084;909;920;48,32;794;251;0,71;27,94;0,50;0,96;0,48;423;0,98;13;2;1
34231;1446;1514;51,58;1043;371;0,85;27,20;1,02;0,54;0,45;520;1,17;13;1;0
3595;293;285;39,64;417;187;0,30;17,97;0,64;1,28;0,22;365;0,36;13;1;0
13795;775;771;46,33;781;259;0,56;27,05;0,56;0,92;0,17;540;0,76;13;2;1
2010;220;182;44,18;290;158;0,26;21,69;0,30;1,69;0,25;339;0,33;13;2;1
29816;1288;1325;49,47;1095;332;0,81;29,47;0,78;0,41;0,46;591;1,15;13;1;0
6248;1286;1507;51,78;1132;611;0,73;36,56;0,98;1,19;0,40;711;1,15;13;2;1
1128;673;490;55,94;479;185;0,45;19,15;0,71;1,60;0,18;398;0,56;13;1;0
14962;1090;1144;48,32;1077;410;0,74;31,24;0,92;1,44;0,37;653;1,08;13;1;0
21740;1129;1196;49,47;1014;471;0,67;31,53;1,03;0,66;0,30;663;0,98;13;1;0
20335;635;598;47,18;603;235;0,47;30,82;0,63;1,73;0,40;465;0,68;13;1;0
17255;1247;1256;50,15;1095;304;0,78;26,34;0,85;1,15;0,43;618;1,06;13;1;0
13158;1153;1138;47,73;920;304;0,64;22,53;1,05;0,94;0,30;582;0,83;13;1;0
10472;428;382;43,69;524;215;0,40;18,45;0,68;0,86;0,16;414;0,49;13;1;0
2608;2020;2156;56,86;1351;278;1,12;42,71;0,60;1,20;0,35;790;1,96;13;2;1
24639;1307;1268;51,35;922;339;0,84;26,86;1,16;1,18;0,41;481;1,14;13;2;1
5283;337;290;42,57;487;179;0,35;23,66;0,39;0,47;0,12;438;0,46;13;2;1
4783;3798;3976;61,40;3114;597;1,54;39,26;1,38;0,28;0,78;1131;2,53;13;2;1
26377;493;437;45,39;452;189;0,47;28,24;0,49;1,37;0,40;342;0,65;13;1;0
2768;612;565;44,04;552;187;0,45;22,80;0,71;1,58;0,44;462;0,59;13;2;1
1172;881;758;49,91;510;211;0,53;16,55;0,99;1,61;0,33;407;0,64;13;1;0
