battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
75931;781;745;46,24;754;298;0,56;25,91;0,79;1,23;0,28;460;0,75;24;1;0
73703;970;1028;48,59;905;460;0,76;21,03;1,58;0,39;0,34;638;0,96;24;2;1
78221;1178;1172;49,73;995;355;0,81;27,19;1,18;1,90;0,48;546;1,11;24;1;0
39012;1995;1970;53,57;1296;368;1,07;27,03;1,35;0,91;0,63;622;1,47;24;1;0
12563;853;858;47,35;762;312;0,58;25,70;0,85;0,68;0,42;386;0,78;24;2;1
51684;2356;2460;55,16;1602;457;1,11;29,04;1,42;0,51;0,75;736;1,56;24;1;0
72631;884;873;48,14;794;356;0,59;26,49;1,02;0,55;0,49;439;0,80;24;2;1
76714;1581;1613;51,38;1411;398;0,91;34,01;1,00;0,99;0,44;586;1,37;24;2;1
14361;861;773;46,90;839;322;0,53;19,45;0,98;0,61;0,36;486;0,66;24;2;1
13107;1278;1305;50,19;1091;380;0,69;23,91;1,01;0,43;0,39;635;0,90;24;2;1
5920;636;571;46,11;485;179;0,53;17,20;0,78;0,71;0,32;328;0,64;24;1;0
34532;1308;1372;52,05;1206;356;0,79;30,49;0,67;1,38;0,31;679;1,14;24;1;0
55707;808;781;47,28;974;407;0,53;23,17;0,84;0,53;0,25;494;0,69;24;2;1
88534;1182;1251;50,43;920;325;0,78;33,64;0,57;0,38;0,56;421;1,17;24;1;0
27681;908;910;47,77;867;304;0,62;28,47;0,60;0,78;0,46;427;0,87;24;1;0
1901;396;350;45,08;375;140;0,40;19,57;0,65;0,58;0,26;342;0,50;24;1;0
22427;462;399;43,23;584;213;0,38;17,48;0,65;0,83;0,12;447;0,46;24;1;0
26531;1603;1625;50,57;1512;413;0,74;18,82;1,18;0,25;0,30;674;0,91;24;1;0
9922;864;826;45,88;704;313;0,55;18,45;1,10;0,63;0,23;412;0,67;24;2;1
1038;351;258;45,57;443;174;0,34;22,74;0,44;0,34;0,12;367;0,44;24;2;1
7471;1769;1837;50,44;1592;476;0,83;24,33;1,31;0,27;0,43;758;1,09;24;1;0
10976;1297;1377;49,69;1221;498;0,77;22,95;1,26;0,99;0,43;648;0,99;24;2;1
12776;886;811;47,02;701;218;0,57;21,40;0,88;0,80;0,25;413;0,73;24;2;1
65663;1118;1140;49,25;920;402;0,66;19,10;1,36;0,44;0,40;505;0,81;24;2;1
40037;838;807;47,31;741;288;0,60;25,81;0,90;0,85;0,45;397;0,80;24;2;1
21666;950;914;47,82;961;350;0,57;20,18;1,09;0,87;0,30;648;0,71;24;2;1
5541;1541;1641;51,52;1426;491;0,85;26,29;1,30;1,45;0,41;772;1,15;24;1;0
5120;784;710;46,82;889;286;0,47;13,42;1,01;0,20;0,06;554;0,54;24;2;1
121;741;659;47,11;674;232;0,50;20,66;1,08;1,36;0,82;544;0,63;24;1;0
1763;3084;3205;58,99;2636;552;1,21;31,14;1,53;0,21;0,52;1047;1,75;24;1;0
