battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
29651;1468;1460;51,98;1248;295;0,81;30,48;0,90;0,80;0,39;695;1,17;26;2;1
100916;2127;2064;53,81;1861;449;1,09;34,43;1,23;0,88;0,77;836;1,66;26;1;0
39324;917;939;47,60;933;327;0,63;29,82;0,67;0,92;0,29;414;0,90;26;1;0
105467;1497;1501;52,57;1212;496;0,94;29,77;1,19;1,02;0,40;733;1,33;26;2;1
5504;702;636;45,75;740;252;0,46;16,10;1,01;0,60;0,24;434;0,55;26;2;1
14845;1342;1220;51,34;939;220;0,92;27,13;0,89;1,03;0,69;459;1,26;26;1;0
49672;1634;1650;51,95;1398;425;0,95;32,66;0,93;0,62;0,60;660;1,41;26;2;1
6063;493;455;44,65;505;204;0,46;20,77;0,61;0,73;0,21;328;0,59;26;1;0
5635;977;957;50,63;758;202;0,71;26,02;0,74;0,80;0,51;428;0,96;26;1;0
14629;1326;1292;48,69;1111;309;0,66;18,78;1,13;0,70;0,31;580;0,81;26;2;1
22696;1654;1728;52,31;1175;485;0,96;30,84;1,13;0,41;0,81;514;1,39;26;2;1
19080;2334;2388;54,50;1762;357;1,21;33,06;0,92;0,57;0,72;821;1,81;26;1;0
12422;895;885;47,67;645;216;0,63;20,85;0,73;0,61;0,27;398;0,80;26;1;0
80172;2033;2120;53,87;1624;545;1,06;29,44;1,40;0,39;0,49;849;1,50;26;1;0
87102;1426;1525;51,77;1065;536;0,84;26,88;1,43;0,36;0,37;643;1,14;26;2;1
24877;1460;1507;50,06;1322;417;0,79;26,35;0,96;0,56;0,41;635;1,07;26;1;0
22636;1606;1658;51,56;1506;481;0,86;25,39;1,32;0,57;0,25;703;1,16;26;1;0
5015;552;496;46,46;399;183;0,47;18,64;0,77;0,44;0,26;313;0,58;26;1;0
769;856;806;46,42;1014;248;0,61;18,60;0,83;0,28;0,13;613;0,75;26;1;0
11394;915;884;46,51;1046;432;0,53;18,71;1,19;0,63;0,27;609;0,65;26;1;0
4606;468;377;44,68;541;176;0,41;24,25;0,42;0,53;0,11;375;0,54;26;1;0
29066;1562;1669;51,08;1673;523;0,88;29,89;1,08;0,84;0,25;741;1,25;26;2;1
41459;723;684;45,61;768;227;0,55;23,24;0,60;1,05;0,22;450;0,72;26;2;1
3287;770;712;47,19;733;240;0,52;14,72;0,86;0,55;0,14;470;0,61;26;1;0
21082;1326;1279;50,03;1052;244;0,86;28,04;0,78;0,52;0,61;557;1,19;26;2;1
13520;1566;1629;50,95;1516;411;0,82;27,43;1,02;0,57;0,38;741;1,13;26;2;1
885;471;431;39,10;779;171;0,41;25,54;0,25;0,77;0,09;438;0,55;26;2;1
15130;1663;1762;51,56;1705;531;0,90;30,02;1,25;0,97;0,30;814;1,29;26;2;1
175;466;404;45,71;846;292;0,39;21,14;0,42;0,82;0,21;604;0,50;26;2;1
32;150;43;50,00;426;150;0,19;34,38;0,06;0,00;0,00;582;0,29;26;2;1
