battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target;tankId;tankWN8;tankWNX;tankRole;tankWinrate;tankVehicleClass;tankNation;tankDpg;tankAssist;tankKpg;tankDmgRatio;tankSurvival;tankXp;tankHitratio;tankSpots;tankArmoreff;tankMoe;tankMastery;tankKd
27369;1562;1434;51,78;1149;306;0,89;26,25;1,29;1,84;0,53;599;1,20;26;1;0;8545;1702;1645;null;61,11;HT;japan;2340;560;0,67;1,21;38,89;900;86;0,94;0;0;1;1,09
47418;881;792;47,76;795;200;0,69;23,10;0,93;1,38;0,38;542;0,89;26;1;0;3649;721;697;null;40,38;MT;france;1123;459;0,69;0,66;13,14;590;73;1,56;0;0;3;0,79
28245;1709;1474;52,21;1137;234;1,09;32,71;0,98;1,41;0,97;514;1,61;26;2;1;8545;1614;1465;null;65,38;HT;japan;2030;569;0,74;1,06;34,62;729;68;1,09;0;0;2;1,14
41859;1494;1444;50,39;1251;277;0,83;28,09;1,12;1,17;0,56;652;1,16;26;2;1;7169;1723;1400;null;53,76;HT;ussr;1911;385;0,92;0,97;27,55;795;80;1,70;0;1;4;1,27
21658;1612;1603;52,46;1333;412;0,87;25,95;1,19;0,60;0,55;622;1,18;26;2;1;60481;2268;2526;null;56,40;MT;france;2262;564;1,25;1,56;39,56;798;79;1,10;0;2;4;2,07
65758;1397;1386;50,31;1210;396;0,87;36,75;0,94;2,59;0,77;566;1,38;26;1;0;9009;1418;1481;null;48,76;HT;china;1951;438;0,84;0,83;32,84;711;83;0,93;0;1;3;1,25
30165;1049;1069;48,72;873;252;0,75;31,12;0,58;1,26;0,76;488;1,09;26;2;1;14401;976;1395;null;50,94;SPG;france;1030;845;0,55;4,03;43,40;712;31;0,04;0;0;4;0,97
28293;1368;1322;50,25;1227;263;0,87;29,42;0,75;1,50;0,47;637;1,24;26;1;0;49953;1499;1491;null;50,00;HT;usa;1781;265;0,81;1,06;28,43;849;77;0,59;0;0;2;1,14
36244;1132;1054;48,00;976;244;0,77;34,70;0,51;0,97;0,94;535;1,17;26;1;0;2161;673;555;null;50,38;MT;czech;933;304;0,53;0,65;26,54;628;68;0,52;0;0;2;0,72
45826;526;522;46,21;503;248;0,54;24,67;0,70;1,37;0,34;412;0,72;26;1;0;8081;354;372;null;40,69;MT;poland;649;356;0,42;0,41;21,57;531;68;0,77;0;0;1;0,54
19296;215;199;42,77;343;213;0,28;16,16;0,60;1,51;0,13;279;0,33;26;2;1;2161;314;220;null;47,50;MT;czech;578;320;0,28;0,34;7,50;579;70;0,55;0;0;1;0,30
51577;416;365;44,78;480;246;0,35;13,07;0,98;0,61;0,16;386;0,40;26;1;0;21761;13;30;null;20,00;MT;ussr;417;250;0,00;0,27;20,00;395;74;1,20;0;0;0;0,00
45502;1135;1128;49,38;958;356;0,72;23,56;1,14;0,94;0,48;584;0,94;26;1;0;60481;1379;1407;null;56,55;MT;france;1479;535;0,92;0,98;31,09;770;74;1,24;0;0;4;1,33
1555;243;183;44,50;189;84;0,29;21,09;0,40;0,66;0,35;200;0,37;26;2;1;8705;737;836;null;66,67;SPG;ussr;915;1000;0,33;5,66;66,67;774;41;0,00;0;0;2;1,00
37923;917;895;49,94;623;193;0,71;32,91;0,55;0,44;0,65;367;1,05;26;1;0;60481;786;787;null;34,38;MT;france;1246;283;0,59;0,89;28,13;480;71;0,56;0;0;1;0,83
30425;194;147;42,40;324;186;0,24;27,71;0,40;1,93;0,31;287;0,34;26;2;1;60465;312;253;null;43,33;HT;china;617;252;0,37;0,34;36,67;452;66;0,37;0;0;1;0,58
24305;1607;1612;51,18;1157;364;0,85;22,18;1,28;0,38;0,49;590;1,09;26;2;1;3937;2351;2171;null;58,33;HT;japan;2960;388;1,08;1,00;25,00;935;81;0,75;1;0;1;1,44
15234;889;989;49,39;623;460;0,60;30,70;1,18;2,04;0,64;449;0,87;26;1;0;16161;1189;1506;null;52,79;SPG;usa;1214;614;0,71;6,26;47,37;621;24;0,01;0;1;4;1,34
16904;1733;1866;52,75;1279;418;1,01;37,99;0,89;0,95;0,54;721;1,63;26;1;0;8481;1545;1915;null;45,31;SPG;usa;1721;637;0,72;5,70;40,63;701;32;0,02;0;1;4;1,21
1377;485;428;43,65;481;114;0,49;25,85;0,35;0,40;0,29;323;0,67;26;1;0;16401;660;546;null;45,16;TD;germany;1062;172;0,46;0,86;30,32;588;60;0,14;0;0;2;0,67
