battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
36147;1009;937;48,68;854;285;0,64;21,08;1,01;0,66;0,39;532;0,82;16;2;1
46715;1844;1693;53,51;1400;367;0,97;27,58;1,64;1,26;0,68;718;1,34;16;2;1
23525;2556;2559;56,73;1790;575;1,26;36,51;1,55;0,28;0,73;881;1,98;16;1;0
69313;1679;1760;51,98;1301;394;1,05;32,32;0,83;0,71;0,44;711;1,55;16;2;1
35005;2478;2635;54,87;1998;594;1,06;27,06;1,57;0,39;0,39;750;1,46;16;2;1
25519;1461;1506;50,91;1073;384;0,81;25,00;1,13;0,70;0,49;623;1,08;16;1;0
7884;1587;1465;52,50;1077;251;0,94;34,89;0,92;0,91;1,14;574;1,44;16;2;1
24325;1375;1384;49,80;1178;286;0,75;27,12;0,93;0,51;0,35;603;1,03;16;2;1
64684;2015;2001;54,19;1523;428;1,09;23,21;1,49;0,83;0,59;778;1,42;16;2;1
16901;1596;1624;51,07;1540;431;0,71;23,96;1,14;0,31;0,20;701;0,93;16;2;1
80001;888;839;48,16;856;300;0,56;17,05;0,96;0,68;0,30;485;0,68;16;2;1
35134;2536;2847;57,68;2218;743;1,21;33,04;1,50;0,73;0,45;884;1,80;16;1;0
85560;1914;1930;53,26;1662;497;1,14;38,42;0,93;0,58;0,63;696;1,85;16;1;0
86275;1291;1396;49,70;1180;350;0,87;33,16;0,57;0,90;0,33;624;1,30;16;2;1
67349;1654;1713;51,70;1395;518;0,91;24,84;1,24;0,86;0,56;651;1,21;16;1;0
38205;1896;1942;52,56;1347;399;0,96;22,40;1,43;0,42;0,45;644;1,24;16;2;1
81279;212;177;43,51;314;198;0,26;19,09;0,63;0,59;0,14;270;0,32;16;1;0
12528;1854;1982;52,55;1554;453;0,98;30,83;1,16;0,55;0,48;673;1,41;16;2;1
77909;1421;1415;50,22;1200;327;0,96;38,73;0,67;1,36;0,66;662;1,56;16;1;0
5454;515;442;44,61;570;240;0,38;21,54;0,68;0,89;0,28;359;0,49;16;1;0
15215;3151;3326;60,49;2705;637;1,34;35,22;1,63;0,41;0,62;1058;2,08;16;2;1
771;668;624;43,45;692;181;0,54;16,86;0,65;2,07;0,13;481;0,65;16;1;0
53294;1026;1038;47,01;1091;426;0,60;19,00;1,04;0,73;0,19;604;0,74;16;1;0
13557;4142;4071;62,08;3220;636;1,71;40,24;1,47;0,73;1,27;1145;2,86;16;1;0
30824;1098;1034;49,47;808;257;0,73;17,04;1,36;1,06;0,29;523;0,88;16;1;0
78513;1626;1595;50,82;1453;368;0,98;29,33;0,93;0,88;0,60;627;1,38;16;2;1
5320;1066;1061;48,29;958;286;0,65;24,08;0,79;1,00;0,34;518;0,85;16;1;0
791;797;779;48,93;650;216;0,54;16,94;0,83;0,80;0,06;518;0,65;16;1;0
2232;1660;1757;50,40;1209;621;0,82;21,77;1,69;0,46;0,40;702;1,04;16;2;1
1016;1034;983;45,37;1474;424;0,64;18,11;1,10;0,61;0,03;691;0,79;16;1;0
