battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
105527;1587;1649;51,92;1448;496;0,95;28,38;1,30;0,72;0,46;707;1,33;17;1;1
36784;1143;1163;49,58;960;452;0,69;31,26;1,09;0,58;0,37;573;1,00;17;1;1
31278;1400;1352;49,80;756;243;0,83;22,02;1,48;0,70;0,42;453;1,06;17;1;1
22563;1990;2232;54,66;1420;629;0,98;26,27;1,68;0,62;0,32;714;1,33;17;1;1
19896;727;677;46,38;715;273;0,54;20,92;0,86;0,15;0,37;531;0,68;17;1;1
14116;2522;2737;58,05;1736;567;1,12;29,18;1,54;0,72;0,33;900;1,59;17;1;1
74816;885;892;46,77;858;371;0,61;23,60;0,95;1,55;0,35;470;0,80;17;2;0
39135;1190;1207;48,16;1161;473;0,72;19,66;1,26;0,64;0,33;528;0,90;17;2;0
56493;1413;1270;50,02;1169;316;0,99;38,94;0,68;0,78;0,83;570;1,63;17;2;0
30172;1439;1494;48,42;1430;334;0,79;19,99;0,92;0,97;0,20;672;0,98;17;2;0
58657;1385;1397;50,38;1122;360;0,85;25,65;1,16;0,87;0,33;534;1,14;17;2;0
7994;964;938;46,95;1216;416;0,61;19,83;1,11;0,97;0,29;675;0,76;17;2;0
167;421;378;38,92;391;123;0,40;20,36;1,71;9,56;0,06;343;0,50;17;1;1
15;4006;4035;66,67;2536;99;1,73;26,67;1,20;0,00;0,00;1291;2,36;17;2;0
