battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
21482;1451;1409;49,93;1431;405;0,87;30,74;1,03;0,82;0,67;686;1,26;14;1;0
54607;1582;1464;50,06;1301;254;0,91;32,14;0,67;0,53;0,69;485;1,33;14;1;0
105673;1019;1002;48,66;899;395;0,64;15,88;1,79;0,51;0,36;458;0,76;14;1;0
65288;1350;1300;49,17;1364;367;0,79;22,90;1,30;1,23;0,40;686;1,02;14;2;1
96084;1870;1870;51,85;1742;477;1,11;36,41;1,01;0,26;0,64;740;1,74;14;2;1
38937;1050;1014;48,68;941;319;0,64;27,94;0,92;0,85;0,36;573;0,88;14;1;0
46260;397;377;45,15;440;226;0,38;19,35;0,54;1,15;0,25;393;0,47;14;1;0
32845;1094;1109;49,81;730;294;0,75;24,86;1,31;0,90;0,46;450;0,99;14;1;0
10931;895;877;47,65;811;262;0,63;23,70;0,87;0,83;0,51;492;0,83;14;2;1
31176;877;901;47,49;871;418;0,62;21,49;1,23;1,26;0,24;586;0,79;14;2;1
37044;1784;1844;52,19;1453;525;0,96;31,85;1,37;0,40;0,77;749;1,42;14;1;0
43297;1540;1639;50,97;1395;487;0,90;27,77;1,18;1,07;0,50;588;1,24;14;1;0
9350;763;719;44,48;732;216;0,53;21,17;0,68;1,31;0,18;460;0,67;14;2;1
18161;646;602;45,70;651;327;0,50;20,40;0,95;0,31;0,38;439;0,63;14;2;1
56438;1487;1614;49,26;1507;375;0,90;31,67;0,64;0,86;0,37;685;1,32;14;2;1
11806;1266;1283;48,48;1203;324;0,72;27,73;0,87;0,76;0,40;624;0,99;14;1;0
18356;2061;2253;53,65;1877;626;1,01;29,24;1,45;0,71;0,52;812;1,43;14;1;0
63251;1499;1692;51,22;1346;641;0,86;31,55;1,35;0,33;0,37;710;1,25;14;2;1
8200;1579;1578;51,93;1179;466;0,96;29,20;1,26;0,36;0,36;590;1,36;14;1;0
2084;596;592;43,33;595;239;0,50;27,40;0,46;0,49;0,37;449;0,68;14;2;1
150;17;44;40,00;126;67;0,27;18,67;0,81;0,35;0,00;244;0,34;14;1;0
6519;621;592;45,11;763;363;0,44;16,61;0,91;0,20;0,29;487;0,53;14;2;1
70917;1128;1135;48,35;1146;382;0,66;20,90;0,99;0,40;0,17;604;0,83;14;2;1
39816;1248;1263;50,50;1118;455;0,74;29,24;1,07;1,05;0,47;641;1,04;14;2;1
50253;1561;1630;50,95;1446;412;0,89;29,75;1,00;0,80;0,48;601;1,27;14;2;1
4371;588;496;47,13;538;211;0,40;24,55;0,61;1,69;0,17;372;0,53;14;2;1
12481;2325;2623;56,47;2046;783;1,11;30,03;1,67;0,73;0,27;867;1,59;14;1;0
1386;568;479;44,73;636;181;0,47;26,55;0,39;1,70;0,82;419;0,65;14;2;1
1778;419;380;42,18;602;177;0,43;31,66;0,33;0,73;0,40;450;0,63;14;1;0
303;420;427;43,56;568;244;0,51;22,77;0,58;1,50;0,27;483;0,66;14;1;0
