battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
62691;1342;1263;51,13;1114;349;0,86;19,61;1,40;1,10;0,48;667;1,07;18;1;0
53635;1312;1261;50,00;1008;194;0,94;33,71;0,69;1,19;0,54;604;1,41;18;1;0
22400;1260;1187;49,04;1055;221;0,84;33,97;0,70;1,68;0,39;527;1,28;18;1;0
22873;1190;1083;49,18;887;181;0,79;24,49;0,89;1,14;0,55;444;1,05;18;2;1
62270;1481;1470;51,15;1278;275;0,94;29,16;0,76;0,93;0,51;650;1,33;18;1;0
74651;968;923;48,36;927;309;0,56;20,67;0,88;0,49;0,29;560;0,71;18;2;1
34528;1742;1769;53,22;1350;418;1,00;37,11;0,95;1,17;0,82;618;1,58;18;2;1
8199;190;192;45,29;187;114;0,35;28,19;0,47;0,88;0,55;190;0,48;18;1;0
14272;1440;1451;50,50;1165;295;0,87;26,46;0,89;1,10;0,52;516;1,19;18;2;1
68218;942;905;47,38;915;250;0,68;25,74;0,60;1,00;0,36;464;0,92;18;2;1
9195;828;799;47,17;802;371;0,57;19,63;1,34;1,14;0,28;519;0,71;18;2;1
32713;2430;2610;56,32;2273;520;1,18;32,52;1,13;0,60;0,31;941;1,74;18;1;0
16827;1316;1315;50,60;1125;390;0,74;20,31;1,31;0,42;0,23;618;0,93;18;1;0
34603;1642;1667;51,39;1620;456;0,85;21,27;1,15;0,66;0,39;742;1,08;18;2;1
7213;616;556;45,28;856;206;0,51;31,46;0,34;0,85;0,18;505;0,74;18;2;1
37186;1770;1903;52,86;1418;624;0,92;28,27;1,62;0,39;0,51;807;1,28;18;1;0
40406;903;924;47,58;907;364;0,62;33,83;0,74;0,77;0,47;535;0,93;18;2;1
45855;1140;1123;48,39;1163;370;0,62;20,45;1,06;0,68;0,20;653;0,78;18;1;0
14026;2089;1875;56,76;1171;416;1,24;34,12;1,51;1,69;1,08;782;1,88;18;1;0
22254;1109;1000;49,57;857;238;0,72;22,64;1,24;1,47;0,33;489;0,93;18;1;0
15896;858;825;46,62;867;277;0,61;23,77;0,75;0,69;0,46;479;0,80;18;2;1
37138;1268;1301;50,22;1066;381;0,92;32,13;1,04;0,98;0,52;486;1,35;18;2;1
24039;1089;1112;48,40;1057;480;0,61;25,09;1,22;0,75;0,30;512;0,81;18;1;0
4576;608;499;46,28;368;202;0,54;21,20;0,79;0,82;0,39;315;0,68;18;2;1
9506;1698;1777;52,67;1030;386;0,95;37,46;1,62;0,42;0,54;553;1,51;18;2;1
2561;732;694;44,01;677;313;0,50;10,86;1,25;1,00;0,21;458;0,56;18;2;1
38;1019;1002;52,63;1240;292;0,95;42,11;0,47;0,47;0,08;835;1,64;18;1;0
2540;687;644;46,65;683;244;0,49;22,87;0,72;1,61;0,37;525;0,64;18;1;0
2662;1086;1143;47,56;1004;285;0,71;24,91;0,67;0,50;0,23;606;0,94;18;2;1
15;365;155;53,33;635;167;0,20;13,33;0,60;0,00;0,00;625;0,23;18;1;0
