battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
72211;1788;1640;52,91;1454;279;1,08;29,96;1,01;1,53;0,65;738;1,55;15;2;0
107170;1435;1472;49,64;1218;348;0,91;30,94;0,84;0,83;0,61;605;1,32;15;1;1
63224;628;509;46,05;565;125;0,55;22,54;1,12;2,08;0,34;380;0,71;15;2;0
31734;1644;1633;51,72;1347;372;1,01;37,11;0,78;0,90;0,67;708;1,60;15;1;1
52595;689;692;46,71;650;253;0,53;24,75;0,54;1,06;0,25;426;0,70;15;2;0
30463;2683;2678;56,33;1946;406;1,27;39,38;1,27;0,99;0,93;740;2,09;15;2;0
21487;1211;1119;50,07;894;268;0,78;27,79;1,06;0,96;0,70;605;1,08;15;2;0
15083;1180;1202;50,45;893;365;0,71;27,93;0,96;0,27;0,42;561;0,99;15;1;1
25177;523;507;46,37;407;181;0,60;17,19;0,81;0,61;0,34;393;0,72;15;2;0
62190;1438;1561;51,08;1203;436;0,90;36,24;0,76;1,51;0,43;664;1,42;15;1;1
23227;1666;1730;51,07;1281;369;0,84;26,96;1,09;0,53;0,41;648;1,15;15;2;0
39754;1445;1499;50,28;1406;484;0,83;36,66;1,00;2,09;0,59;734;1,32;15;2;0
9254;1059;1005;48,90;816;286;0,66;21,14;0,94;1,00;0,35;510;0,84;15;2;0
1435;2118;2278;52,26;1346;464;1,04;32,13;1,24;1,13;0,52;806;1,53;15;1;1
2833;718;690;45,01;709;307;0,55;21,25;0,81;0,56;0,25;499;0,69;15;2;0
70591;1021;1023;48,82;900;329;0,67;24,51;0,90;0,48;0,36;464;0,89;15;1;1
74054;1875;1992;52,49;1436;502;1,04;29,87;1,02;0,50;0,52;736;1,48;15;1;1
69866;944;881;47,72;802;231;0,66;20,95;0,75;1,51;0,36;561;0,84;15;1;1
6841;810;747;47,22;720;282;0,52;17,64;1,04;0,97;0,27;543;0,64;15;1;1
61801;1273;1284;49,12;1206;396;0,73;28,57;0,94;0,46;0,37;706;1,02;15;1;1
26065;880;839;47,04;942;391;0,56;27,33;1,02;0,80;0,37;487;0,77;15;2;0
20618;1271;1237;48,81;1054;246;0,76;24,71;0,96;0,66;0,41;481;1,01;15;1;1
107976;769;778;46,43;846;285;0,64;18,61;0,70;1,59;0,13;451;0,78;15;1;1
37817;807;832;46,52;903;421;0,61;22,24;0,77;0,55;0,33;500;0,79;15;1;1
120658;1457;1508;50,95;1304;478;0,87;23,11;1,15;0,64;0,41;595;1,13;15;2;0
53573;1237;1286;49,53;987;415;0,74;25,32;1,09;1,10;0,40;609;0,99;15;1;1
17424;1977;2116;53,13;1565;330;1,06;40,68;0,76;0,73;0,50;811;1,78;15;2;0
8851;992;1003;47,95;1127;313;0,65;28,60;0,67;0,32;0,15;635;0,91;15;1;1
986;348;283;43,00;359;119;0,40;18,97;0,48;2,18;0,50;366;0,49;15;2;0
1584;550;489;44,82;551;244;0,40;20,96;0,71;1,39;0,40;438;0,50;15;2;0
