battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
24782;1660;1570;53,36;1063;296;0,90;27,62;1,34;1,33;0,90;533;1,25;19;2;1
62767;1395;1373;50,25;1193;268;0,85;33,31;0,77;1,04;0,69;506;1,28;19;1;0
99897;1900;1799;52,25;1494;395;1,03;30,17;1,22;0,67;0,84;725;1,48;19;1;0
39059;944;876;49,44;723;292;0,60;16,99;1,58;0,90;0,39;443;0,72;19;1;0
40864;1834;1705;53,24;1245;309;1,02;35,97;1,08;0,92;0,94;656;1,60;19;2;1
3692;747;671;45,07;847;197;0,50;32,10;0,41;0,55;0,34;506;0,74;19;1;0
38154;1049;1035;48,79;933;351;0,61;18,18;1,15;0,35;0,31;438;0,75;19;1;0
7978;1200;1186;48,78;1092;286;0,76;24,86;0,95;0,40;0,42;546;1,01;19;2;1
8719;1013;916;49,72;743;149;0,71;29,61;0,61;0,90;0,55;433;1,01;19;2;1
59263;1000;1033;48,04;955;399;0,67;28,69;1,04;0,63;0,28;625;0,93;19;2;1
36358;2540;2703;56,41;2045;652;1,07;22,88;1,70;0,83;0,53;733;1,38;19;2;1
50376;1480;1534;51,22;1177;347;0,87;29,24;0,91;0,73;0,70;679;1,23;19;2;1
13008;1566;1551;52,02;995;374;0,87;28,61;1,27;0,50;0,63;485;1,22;19;1;0
14659;970;962;47,81;885;352;0,64;25,48;0,85;1,10;0,51;569;0,86;19;2;1
10472;1089;1065;48,14;1049;344;0,64;21,13;1,08;0,33;0,27;575;0,81;19;1;0
15320;1959;2037;53,67;1569;630;0,95;23,98;1,81;0,19;0,69;831;1,26;19;1;0
12636;1065;1058;45,46;1203;357;0,62;24,67;0,86;0,41;0,26;603;0,82;19;2;1
39837;1322;1357;49,71;1050;239;0,88;39,72;0,55;0,51;0,64;453;1,45;19;2;1
20779;1587;1597;50,04;1399;367;0,75;14,73;1,34;0,23;0,18;649;0,88;19;1;0
9871;736;703;46,77;670;257;0,53;19,81;0,85;0,41;0,36;377;0,66;19;1;0
747;331;250;45,78;389;181;0,32;19,41;0,36;0,66;0,28;323;0,39;19;2;1
2935;1142;1107;49,23;929;353;0,61;21,87;1,03;0,63;0,24;645;0,78;19;2;1
22011;1748;1796;52,11;1310;405;0,96;30,64;1,07;1,04;0,72;613;1,39;19;2;1
32918;1181;1180;48,96;988;396;0,73;23,94;1,46;0,94;0,50;507;0,96;19;1;0
16258;1038;1019;49,15;749;273;0,67;28,97;0,78;1,54;0,53;554;0,95;19;1;0
105154;1422;1468;51,39;1163;476;0,88;31,45;1,28;0,46;0,54;539;1,29;19;2;1
532;1106;1069;48,31;1274;334;0,73;30,45;0,48;1,26;0,53;660;1,05;19;1;0
5119;986;924;49,66;960;331;0,53;21,76;1,01;0,28;0,19;641;0,67;19;1;0
4440;1170;1222;47,91;764;345;0,69;26,87;0,99;0,83;0,25;570;0,95;19;2;1
6;150;58;16,67;645;76;0,00;0,00;0,50;0,00;0,00;445;0,00;19;1;0
