battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
6480;986;899;47,36;517;148;0,72;21,16;0,97;0,66;0,47;347;0,91;31;1;1
15085;1164;1118;49,39;793;291;0,66;13,85;1,57;0,47;0,31;453;0,76;31;2;0
42882;1125;1237;48,79;1041;644;0,66;25,82;1,51;1,02;0,38;634;0,89;31;1;1
32227;988;1012;47,75;973;303;0,69;27,46;0,70;1,03;0,33;435;0,95;31;2;0
30837;2370;2544;55,15;1835;526;1,09;27,01;1,38;0,51;0,46;762;1,50;31;1;1
38789;1873;1999;53,61;1562;477;0,94;27,64;1,21;0,65;0,37;636;1,29;31;2;0
60661;1177;1207;49,73;970;358;0,70;26,43;0,99;0,33;0,38;458;0,95;31;1;1
17282;2407;2629;54,81;1620;482;1,13;28,93;1,44;0,36;0,37;732;1,59;31;1;1
64834;2183;2174;54,03;1699;591;1,15;38,39;1,38;0,22;0,97;810;1,87;31;1;1
23418;1175;1189;50,29;867;352;0,79;35,17;0,73;0,43;0,93;585;1,22;31;1;1
18858;549;546;44,52;696;345;0,41;22,57;0,70;1,16;0,28;415;0,53;31;2;0
19677;1857;1950;52,68;1232;465;0,94;23,91;1,57;0,57;0,47;585;1,24;31;1;1
28074;1468;1471;50,93;1197;364;0,83;31,49;1,01;0,67;0,68;685;1,22;31;2;0
10585;1617;1679;52,46;1400;331;0,92;29,18;0,87;0,57;0,46;708;1,30;31;2;0
27537;2231;2377;54,28;1816;516;0,98;24,49;1,62;0,30;0,33;772;1,29;31;1;1
1211;919;929;47,98;799;283;0,66;23,12;0,78;0,53;0,32;591;0,86;31;1;1
48805;1366;1458;49,20;1282;497;0,82;31,47;0,99;1,05;0,58;692;1,20;31;2;0
44928;1099;1097;46,67;1225;393;0,69;29,53;0,84;0,89;0,39;544;0,98;31;2;0
18972;1250;1332;49,55;1123;416;0,73;30,01;0,96;0,45;0,49;550;1,05;31;1;1
19166;1514;1400;51,59;890;273;1,08;28,18;1,12;1,61;0,72;449;1,50;31;2;0
10344;1126;1128;50,79;730;284;0,74;25,77;0,93;0,86;0,58;422;0,99;31;1;1
110;974;818;46,36;1466;347;0,41;20,00;1,36;0,34;0,26;619;0,51;31;1;1
9316;1017;960;48,93;819;258;0,69;26,37;0,96;0,82;0,59;506;0,94;31;1;1
2445;2559;2695;57,10;2603;473;1,05;22,74;1,44;0,16;0,25;1006;1,36;31;2;0
1160;724;726;47,76;768;208;0,48;26,81;0,41;0,61;0,40;471;0,66;31;2;0
1630;4480;4437;64,60;3768;828;1,71;36,99;2,11;0,04;0,93;1255;2,71;31;1;1
974;6;2;36,34;3;182;0,00;12,53;0,57;0,00;0,01;380;0,00;31;2;0
249;1303;1419;46,59;1660;451;0,89;20,48;0,76;0,17;0,00;760;1,12;31;2;0
394;675;626;42,89;1167;305;0,49;23,86;0,55;0,92;0,03;626;0,65;31;2;0
90;987;993;44,44;1479;274;0,70;18,89;0,37;0,00;0,77;659;0,86;31;2;0
