battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
8403;866;694;49,66;516;121;0,72;21,21;1,31;1,55;0,53;391;0,91;49;2;0
22204;818;813;47,46;843;357;0,53;23,77;0,81;0,87;0,23;442;0,69;49;2;0
16537;369;319;44,77;471;198;0,36;25,28;0,48;0,82;0,27;339;0,48;49;1;1
40757;2088;2177;53,97;1518;388;1,12;27,08;1,25;1,18;0,36;682;1,53;49;1;1
45860;2500;1964;60,07;1432;202;1,40;37,32;1,40;2,62;1,03;831;2,23;49;1;1
24140;1258;1223;49,70;862;388;0,68;18,37;1,60;0,11;0,22;546;0,83;49;1;1
33869;2196;2282;54,67;1339;388;1,15;35,15;1,24;1,90;0,71;668;1,78;49;1;1
56240;1056;1072;48,24;891;380;0,68;25,11;1,03;1,34;0,43;465;0,90;49;2;0
56002;1543;1564;51,86;1130;300;0,94;28,77;0,90;0,60;0,44;596;1,31;49;1;1
4495;930;866;48,28;635;226;0,61;22,91;0,76;1,01;0,47;445;0,79;49;2;0
29545;978;917;48,09;849;287;0,76;29,19;0,72;0,44;0,55;452;1,07;49;1;1
69606;1140;1157;47,73;1031;358;0,74;34,46;0,79;0,53;0,59;604;1,13;49;1;1
30843;768;736;47,93;555;272;0,50;15,36;1,06;0,55;0,14;475;0,59;49;1;1
13393;327;273;43,56;377;179;0,31;16,99;0,47;1,22;0,22;393;0,38;49;1;1
1749;473;347;45,34;432;136;0,40;24,19;0,37;1,22;0,35;325;0,53;49;1;1
3961;475;375;46,10;349;136;0,36;14,11;0,63;0,37;0,12;275;0,42;49;2;0
16185;815;782;47,63;721;325;0,51;26,88;0,92;0,59;0,38;548;0,70;49;1;1
7990;1151;1183;49,69;1172;515;0,63;22,19;1,42;0,61;0,19;703;0,80;49;2;0
125662;675;677;45,86;715;311;0,53;17,12;0,96;1,97;0,14;468;0,64;49;2;0
41695;769;726;45,89;774;283;0,54;23,83;0,71;0,68;0,23;466;0,71;49;2;0
10165;1465;1497;49,87;1333;392;0,80;31,43;0,98;0,91;0,38;673;1,17;49;1;1
35392;1498;1286;53,83;1148;153;0,96;34,86;0,79;1,28;0,80;654;1,47;49;2;0
360;1268;1297;48,61;971;285;0,79;27,78;0,92;0,45;0,57;675;1,10;49;2;0
3622;843;742;47,43;610;171;0,50;17,61;0,69;0,79;0,10;508;0,61;49;1;1
8269;675;625;43,12;619;247;0,45;16,48;0,94;0,57;0,31;492;0,54;49;2;0
124;346;296;38,71;682;206;0,36;28,23;0,29;0,00;0,16;542;0,51;49;2;0
36358;758;717;46,29;812;321;0,48;22,57;0,79;0,52;0,28;573;0,61;49;2;0
2718;581;555;45,11;624;234;0,46;27,96;0,58;0,55;0,20;462;0,64;49;2;0
2707;2807;2998;59,62;2731;786;1,21;30,00;1,83;0,11;0,45;1040;1,73;49;2;0
10;894;759;60,00;1520;412;0,50;40,00;1,20;0,00;0,00;874;0,83;49;1;1
