battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
112648;887;787;48,20;694;219;0,59;23,06;1,05;1,52;0,39;406;0,77;54;2;1
40661;1475;1443;52,17;970;323;0,85;32,62;1,16;1,38;0,91;505;1,26;54;1;0
18839;975;859;48,88;649;175;0,75;34,72;0,83;2,64;1,11;415;1,15;54;2;1
45381;955;985;48,47;793;308;0,69;30,77;0,78;1,13;0,60;489;1,00;54;1;0
10257;867;685;47,85;679;102;0,64;28,70;0,86;0,61;0,66;502;0,89;54;2;1
23136;1976;1961;52,71;1624;362;1,04;31,79;1,14;0,96;0,44;750;1,52;54;2;1
37076;1862;2043;54,08;1766;490;1,01;26,31;1,24;0,68;0,23;678;1,38;54;1;0
32151;1284;1268;50,33;892;318;0,69;22,74;1,13;0,64;0,50;481;0,89;54;2;1
17604;1445;1428;52,51;852;300;0,82;23,11;1,23;0,49;0,35;562;1,06;54;2;1
142722;1287;1295;50,40;966;343;0,79;25,45;1,03;0,63;0,48;506;1,06;54;2;1
48842;1188;1185;49,69;905;310;0,77;25,01;1,17;0,90;0,45;459;1,02;54;1;0
11321;753;693;45,08;726;223;0,57;25,01;0,80;0,89;0,49;480;0,76;54;2;1
88384;2057;2047;52,76;1593;503;1,11;34,02;1,27;1,01;0,97;741;1,68;54;1;0
50293;1110;1175;52,48;468;180;1,15;44,52;0,68;1,30;1,24;341;2,07;54;1;0
15127;529;495;43,60;534;205;0,45;21,62;0,64;0,79;0,25;456;0,58;54;2;1
18582;1200;1194;49,26;1026;311;0,73;23,96;1,00;0,74;0,21;593;0,96;54;2;1
36181;549;528;44,99;644;350;0,40;19,09;0,96;0,63;0,27;455;0,50;54;1;0
9615;902;867;47,41;887;302;0,57;23,43;0,70;0,48;0,34;564;0,74;54;2;1
10565;921;871;47,11;849;272;0,57;21,96;0,82;0,97;0,33;423;0,73;54;1;0
8252;1528;1582;49,99;1242;305;0,86;25,10;0,92;0,28;0,25;637;1,14;54;2;1
7582;860;812;46,80;950;238;0,58;23,20;0,46;0,48;0,21;475;0,76;54;2;1
45345;634;539;44,06;812;229;0,41;19,41;0,67;1,17;0,21;579;0,51;54;1;0
529;852;882;44,61;771;253;0,60;25,33;0,64;1,33;0,54;530;0,81;54;2;1
3609;366;278;43,72;320;129;0,35;17,43;0,64;0,53;0,27;301;0,43;54;1;0
49715;2400;2332;56,85;1749;361;1,16;35,56;1,04;1,17;0,75;702;1,79;54;1;0
17419;931;933;47,99;817;299;0,61;27,82;0,84;0,67;0,45;517;0,85;54;1;0
8664;1288;1277;49,77;699;272;0,75;29,57;1,13;1,24;0,45;488;1,07;54;1;0
9878;1007;953;47,41;1018;357;0,56;15,38;1,21;0,55;0,18;582;0,66;54;1;0
1270;1502;1403;52,20;804;306;0,73;19,92;1,64;0,90;0,44;613;0,92;54;2;1
1077;376;357;42,25;455;196;0,35;18,29;0,73;1,57;0,27;444;0,43;54;1;0
