battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
17183;961;838;48,84;719;197;0,67;27,84;0,92;1,11;0,62;414;0,92;60;1;0
97230;1257;1229;49,00;1207;333;0,82;28,63;0,81;1,16;0,44;635;1,14;60;2;1
7461;1097;1038;48,32;858;127;0,74;27,53;0,60;0,71;0,53;501;1,03;60;1;0
107348;1227;1153;48,95;1046;275;0,79;27,30;0,92;0,79;0,54;611;1,09;60;2;1
13872;860;835;48,83;684;238;0,67;18,71;1,48;0,93;0,42;453;0,82;60;1;0
73532;2306;2200;55,47;1763;435;1,20;38,20;1,26;0,59;0,79;810;1,95;60;1;0
15549;2201;2354;59,70;1821;515;1,07;31,83;1,14;0,30;0,37;865;1,57;60;1;0
29772;651;566;47,49;487;256;0,43;13,81;1,38;0,80;0,25;357;0,50;60;2;1
27062;1729;1791;53,01;1515;441;0,91;27,49;1,07;0,61;0,42;752;1,25;60;2;1
46592;1033;1200;50,15;855;457;0,64;33,66;0,58;0,68;0,70;438;0,96;60;2;1
22528;1805;1895;52,14;1475;396;1,01;39,83;0,75;0,66;0,63;665;1,67;60;2;1
10855;901;904;47,74;1017;244;0,75;33,77;0,35;0,43;0,27;490;1,14;60;2;1
30186;1349;1406;50,93;927;357;0,75;25,12;1,04;0,84;0,25;587;1,00;60;2;1
16204;1665;1739;50,50;1282;304;0,91;25,88;1,02;0,31;0,28;566;1,23;60;1;0
19263;1856;2008;52,91;1636;462;0,98;30,38;1,14;0,30;0,30;782;1,41;60;2;1
19555;1123;1093;47,57;1320;332;0,66;25,52;0,80;0,40;0,29;626;0,89;60;2;1
20412;1810;1978;52,01;1593;499;0,97;35,29;1,18;0,47;0,56;747;1,51;60;1;0
321;1315;1155;51,71;724;214;0,66;17,76;1,58;1,12;0,41;485;0,80;60;1;0
37383;1430;1547;50,45;1324;633;0,77;25,34;1,44;0,75;0,28;744;1,03;60;2;1
50268;1181;1196;49,67;1010;344;0,76;25,32;0,92;1,11;0,47;521;1,01;60;1;0
24526;1376;1463;48,65;1221;451;0,82;20,54;1,35;0,45;0,36;592;1,03;60;1;0
62920;1995;2086;54,08;1518;507;0,99;28,74;1,36;0,71;0,66;623;1,39;60;1;0
9744;2147;2246;53,02;1758;555;1,07;31,02;1,41;0,91;0,57;832;1,56;60;2;1
6927;652;588;45,19;540;237;0,42;18,75;0,99;0,86;0,24;360;0,52;60;2;1
66204;1597;1557;49,17;1613;414;1,00;31,99;0,93;0,65;0,46;531;1,47;60;1;0
3972;951;1019;44,31;1329;416;0,60;26,59;0,63;0,63;0,17;649;0,82;60;2;1
553;668;683;44,30;670;257;0,55;18,26;0,81;0,33;0,21;501;0,68;60;2;1
5827;1300;1275;48,77;1221;363;0,66;18,55;1,09;0,38;0,23;701;0,81;60;1;0
596;875;750;45,13;1599;354;0,53;24,83;1,19;0,23;0,12;770;0,71;60;1;0
958;1695;1760;46,45;2708;404;0,89;25,99;0,85;0,40;0,06;945;1,20;60;1;0
