battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
18977;1658;1647;52,25;1287;349;0,82;24,87;1,24;0,46;0,50;582;1,09;55;2;0
130518;730;672;47,51;662;277;0,53;17,92;1,20;0,82;0,30;399;0,64;55;2;0
41130;2443;2687;57,98;2120;514;1,20;37,75;1,08;0,27;0,41;872;1,93;55;2;0
37342;1022;940;46,62;1169;302;0,68;20,45;1,12;0,70;0,40;571;0,85;55;2;0
32717;1992;1908;54,41;1630;432;1,00;32,48;1,45;1,31;0,74;734;1,48;55;1;1
54025;1642;1635;51,18;1316;356;0,92;28,32;1,07;1,35;0,62;700;1,29;55;1;1
22652;1716;1827;52,09;1348;485;0,93;30,91;1,28;0,77;0,65;721;1,35;55;2;0
31538;1669;1601;52,47;1285;333;1,06;32,20;0,94;1,39;0,64;646;1,56;55;2;0
24374;1734;1644;52,20;1386;397;0,95;30,77;1,34;0,96;0,66;752;1,37;55;2;0
35913;1698;1793;52,53;1528;559;0,88;27,02;1,37;0,81;0,30;730;1,20;55;1;1
59201;738;739;46,87;697;292;0,66;19,61;0,96;0,60;0,30;426;0,82;55;2;0
48109;2344;2352;55,63;1752;496;1,09;26,74;1,53;0,86;0,77;824;1,49;55;1;1
50760;1011;1006;48,99;943;318;0,72;31,44;0,85;1,12;0,45;454;1,04;55;2;0
25779;1082;1045;49,98;808;247;0,75;28,42;0,79;1,44;0,47;431;1,05;55;2;0
25654;370;378;43,84;499;315;0,35;22,23;0,59;0,68;0,37;473;0,46;55;2;0
39651;1751;1788;51,59;1402;522;0,97;30,76;1,40;0,71;0,55;595;1,40;55;1;1
5095;694;609;45,46;890;240;0,45;15,39;0,79;0,71;0,07;602;0,53;55;2;0
8961;528;480;45,74;494;271;0,40;14,91;0,95;0,60;0,21;358;0,47;55;2;0
36686;989;968;49,32;801;304;0,70;25,14;1,02;0,74;0,32;423;0,94;55;2;0
2791;230;185;44,21;229;136;0,29;13,01;0,89;0,44;0,10;241;0,33;55;1;1
3312;638;598;48,01;452;192;0,53;20,23;0,85;0,36;0,30;342;0,66;55;1;1
35405;770;736;47,15;738;344;0,53;20,37;0,91;0,42;0,27;546;0,67;55;1;1
11473;1286;1282;49,52;1303;402;0,73;25,09;1,06;0,58;0,23;685;0,97;55;1;1
3403;509;412;45,25;473;189;0,36;15,52;0,70;0,23;0,15;440;0,43;55;1;1
20351;3017;3310;61,18;2539;860;1,14;23,47;2,15;0,53;0,58;972;1,49;55;1;1
80620;1260;1279;49,83;1087;333;0,83;29,04;1,03;1,49;0,40;494;1,17;55;1;1
41;1094;1153;41,46;1286;314;0,66;21,95;0,98;1,07;0,00;618;0,84;55;1;1
136;738;666;46,32;1011;282;0,69;22,79;0,57;0,99;0,57;700;0,90;55;1;1
9746;631;600;44,53;781;297;0,46;28,68;0,49;0,72;0,31;511;0,65;55;1;1
1657;1864;2012;53,59;1501;388;0,91;30,78;0,95;0,45;0,33;799;1,32;55;2;0
