battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
83082;2317;2143;56,52;1682;381;1,21;32,92;1,37;2,28;0,88;781;1,81;87;1;0
80507;1057;1044;48,52;901;355;0,66;14,14;1,59;0,59;0,32;579;0,77;87;1;0
12820;1656;1509;52,82;995;234;0,97;30,20;1,16;1,41;0,69;497;1,40;87;2;1
73827;1140;1179;49,59;987;417;0,73;28,33;1,05;0,40;0,34;553;1,01;87;2;1
38341;1308;1302;50,44;1026;294;0,81;20,70;1,12;1,13;0,32;645;1,02;87;1;0
20287;674;623;45,35;760;307;0,42;21,60;0,90;0,60;0,19;552;0,54;87;2;1
3805;467;404;46,57;359;191;0,42;23,99;0,67;1,62;0,40;380;0,56;87;2;1
13709;1065;1011;48,24;947;225;0,64;23,75;0,74;0,67;0,40;516;0,84;87;1;0
26532;1010;957;47,67;788;215;0,66;15,60;1,01;0,48;0,17;471;0,78;87;2;1
31892;1642;1706;51,29;1326;360;0,94;31,70;0,85;0,56;0,56;710;1,38;87;2;1
15962;1702;1740;51,31;1387;334;0,88;30,43;0,99;1,00;0,47;642;1,27;87;1;0
15944;660;636;46,81;679;253;0,51;21,38;0,60;0,75;0,22;405;0,65;87;2;1
2062;940;949;46,85;971;406;0,58;20,76;1,05;0,45;0,20;661;0,73;87;1;0
23381;914;893;47,81;947;292;0,64;20,02;0,78;0,80;0,25;584;0,81;87;2;1
23795;613;548;46,62;604;283;0,41;11,53;1,09;0,21;0,17;484;0,46;87;1;0
7423;1551;1486;51,57;1022;258;0,78;17,84;1,19;0,89;0,29;672;0,95;87;1;0
2102;1246;1290;50,95;818;324;0,77;31,02;1,00;1,68;0,41;540;1,12;87;2;1
21675;1187;1331;50,71;992;582;0,66;20,20;1,82;1,53;0,34;566;0,83;87;2;1
93243;1323;1352;50,36;1050;457;0,79;24,86;1,31;0,41;0,53;543;1,06;87;2;1
80105;1331;1339;50,76;1042;478;0,82;28,20;1,20;0,52;0,59;479;1,14;87;1;0
38814;1614;1696;52,20;1291;515;0,94;28,13;1,34;1,31;0,50;673;1,31;87;2;1
19696;1622;1513;51,77;1152;377;0,89;18,70;1,44;0,38;0,56;548;1,10;87;2;1
20692;1147;1184;49,44;1122;454;0,68;20,94;1,04;0,41;0,21;598;0,87;87;1;0
35555;2060;2129;53,73;1454;362;1,08;29,35;1,13;0,76;0,73;658;1,52;87;1;0
37733;825;736;47,54;871;309;0,56;22,11;1,05;0,55;0,25;537;0,72;87;2;1
4927;1051;1070;49,22;1027;326;0,62;26,08;0,85;1,20;0,21;632;0,84;87;1;0
15988;1067;1013;48,61;678;205;0,78;27,76;0,90;1,24;0,58;438;1,09;87;1;0
1567;825;745;49,46;700;314;0,50;20,10;1,14;0,08;0,11;471;0,63;87;2;1
12732;1147;1080;49,14;890;223;0,67;25,17;0,61;0,39;0,36;585;0,89;87;1;0
2074;490;413;45,03;546;227;0,37;13,45;0,71;0,63;0,09;490;0,43;87;1;0
