battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
92059;977;959;49,44;760;290;0,71;27,06;0,87;1,35;0,47;436;0,98;83;1;1
9186;1153;1103;49,77;647;291;0,68;19,88;1,58;1,06;0,26;457;0,85;83;1;1
33228;988;920;47,89;802;240;0,66;20,03;1,02;0,64;0,29;460;0,83;83;1;1
50457;2029;2135;53,50;1646;467;0,90;23,56;1,37;0,32;0,30;723;1,18;83;1;1
8996;1261;1280;49,62;953;298;0,74;21,53;0,89;0,85;0,35;585;0,95;83;2;0
31020;1392;1457;50,99;1203;414;0,85;30,49;1,05;1,35;0,35;613;1,22;83;2;0
48122;1902;2014;52,88;1688;402;1,06;33,13;0,84;1,06;0,46;737;1,58;83;2;0
46274;1730;1769;53,82;1109;507;1,00;26,28;1,99;1,29;0,62;665;1,35;83;1;1
11309;596;518;45,81;448;163;0,47;27,99;0,64;0,81;0,29;301;0,66;83;2;0
600;401;325;44,83;408;167;0,36;17,33;0,71;0,69;0,20;352;0,44;83;1;1
11120;891;894;45,81;874;305;0,63;22,61;0,84;0,98;0,15;592;0,81;83;1;1
13141;1737;1853;51,96;1335;498;0,86;25,59;1,30;0,49;0,39;742;1,15;83;1;1
17255;478;417;45,35;474;200;0,38;18,34;0,63;1,19;0,11;412;0,47;83;1;1
1284;333;295;44,31;363;146;0,41;25,86;0,35;0,63;0,17;286;0,55;83;2;0
1116;1402;1452;48,21;1317;284;0,71;27,06;0,82;0,70;0,37;625;0,98;83;2;0
4194;966;1027;48,59;865;449;0,57;28,83;1,02;0,42;0,20;587;0,80;83;1;1
8926;984;951;48,51;901;319;0,67;28,80;1,07;0,36;0,42;593;0,94;83;2;0
41115;909;1034;47,12;949;672;0,50;21,59;1,70;1,16;0,20;633;0,63;83;1;1
109712;1995;1680;54,61;1187;197;1,20;30,10;1,21;0,95;0,90;630;1,71;83;1;1
28511;548;509;44,15;669;204;0,59;35,04;0,41;1,07;0,64;443;0,91;83;2;0
30654;1804;1568;53,27;1375;244;1,02;31,13;1,13;1,12;0,77;694;1,48;83;2;0
62457;866;847;48,58;837;346;0,59;13,72;1,34;0,46;0,19;501;0,69;83;2;0
3110;1080;1047;51,22;673;162;0,72;22,89;0,67;0,62;0,66;389;0,94;83;2;0
3179;1428;1512;51,78;1358;317;0,97;34,98;0,45;1,74;0,40;673;1,50;83;2;0
7798;846;760;48,01;602;148;0,51;32,33;0,51;1,64;0,37;389;0,75;83;1;1
4285;1223;1233;49,52;1184;509;0,71;20,47;1,47;0,27;0,21;670;0,89;83;1;1
5631;1602;1638;51,22;1410;484;0,99;42,73;0,91;0,94;0,80;745;1,73;83;2;0
3114;1429;1411;49,87;1390;317;0,81;23,89;0,99;0,33;0,36;732;1,07;83;2;0
5375;861;815;48,09;624;310;0,53;19,63;1,23;0,71;0,27;519;0,65;83;1;1
1883;868;809;47,74;1173;290;0,57;17,31;0,77;0,17;0,12;632;0,69;83;2;0
