battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
43231;1069;1138;47,66;884;520;0,63;26,21;1,38;0,88;0,27;629;0,85;1;2;0
18894;1516;1542;50,17;1433;368;0,85;25,28;1,13;0,72;0,27;662;1,14;1;1;1
60565;1789;1869;53,48;1398;627;0,94;27,17;1,76;1,51;0,42;634;1,29;1;1;1
26510;2105;2148;52,70;1690;507;1,13;34,81;1,25;0,65;0,67;787;1,73;1;1;1
63774;1751;1482;51,87;1055;238;1,31;39,92;0,78;0,77;1,67;510;2,17;1;2;0
36694;1605;1378;50,75;1385;277;0,95;28,32;1,09;1,35;0,89;665;1,32;1;1;1
32610;1526;1567;51,23;1213;448;0,82;23,04;1,41;0,61;0,60;538;1,06;1;2;0
19084;874;858;47,30;748;335;0,58;14,53;1,15;0,48;0,33;499;0,68;1;1;1
5137;564;510;46,97;444;145;0,51;21,51;0,55;1,21;0,31;323;0,65;1;2;0
50719;598;547;46,37;522;184;0,56;22,40;0,61;1,17;0,29;508;0,73;1;2;0
23202;1638;1747;50,73;1433;416;0,88;29,01;1,02;0,68;0,39;605;1,24;1;1;1
48405;1304;1340;48,54;1444;371;0,83;33,47;0,65;0,33;0,35;619;1,25;1;2;0
327;912;867;48,01;1246;399;0,64;26,91;0,96;0,20;0,19;679;0,87;1;1;1
78870;830;779;47,14;803;311;0,55;17,05;0,93;1,05;0,32;576;0,66;1;2;0
17303;2005;2085;53,16;1601;541;1,06;26,93;1,42;0,25;0,55;672;1,45;1;2;0
46055;1387;1443;49,41;1436;531;0,89;34,27;0,88;0,66;0,35;717;1,36;1;1;1
6788;1191;1082;51,50;640;216;0,90;31,31;0,91;1,05;0,41;391;1,31;1;2;0
10165;717;633;45,96;648;246;0,50;13,44;1,05;0,41;0,26;406;0,57;1;2;0
27865;1345;1366;48,90;1264;399;0,69;24,90;1,05;0,29;0,26;614;0,91;1;2;0
30946;1411;1386;50,48;1442;567;0,67;16,25;1,89;0,28;0,24;758;0,80;1;1;1
11703;345;244;43,89;323;114;0,39;25,52;0,28;0,75;0,31;255;0,52;1;2;0
15487;1081;1071;48,54;967;436;0,59;16,83;1,36;0,39;0,22;542;0,71;1;1;1
5265;630;488;46,00;514;147;0,43;20,99;0,62;0,92;0,31;365;0,54;1;2;0
10182;534;469;42,93;594;247;0,39;16,02;0,75;0,30;0,20;429;0,47;1;2;0
2722;1464;1562;52,61;1231;532;0,77;28,51;1,49;1,24;0,14;783;1,08;1;1;1
2959;1167;1155;49,48;909;301;0,68;24,30;0,94;1,31;0,25;640;0,89;1;1;1
21448;1105;1050;48,05;971;333;0,72;16,26;1,24;0,75;0,65;427;0,86;1;1;1
648;2916;2757;58,64;1959;439;1,34;42,75;1,16;1,03;0,88;974;2,35;1;1;1
1362;597;602;42,73;721;290;0,43;25,40;0,59;1,41;0,24;514;0,58;1;2;0
817;43;2;40,15;5;191;0,00;9,91;0,54;0,00;0,00;396;0,00;1;1;1
