battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target;tankId;tankWN8;tankWNX;tankRole;tankWinrate;tankVehicleClass;tankNation;tankDpg;tankAssist;tankKpg;tankDmgRatio;tankSurvival;tankXp;tankHitratio;tankSpots;tankArmoreff;tankMoe;tankMastery;tankKd
35984;1857;1849;52,36;1368;398;0,97;28,90;1,07;0,37;0,55;636;1,37;1;1;1;61729;2122;2313;null;53,63;HT;usa;2143;450;0,98;1,35;30,07;848;76;0,98;0;2;4;1,40
34707;783;717;43,16;815;149;0,57;27,96;0,65;1,00;0,41;487;0,79;1;2;0;49665;638;681;null;35,92;HT;ussr;894;233;0,51;0,66;24,13;583;74;0,43;0;0;2;0,67
28344;1008;917;46,03;915;187;0,72;27,92;0,82;1,69;0,51;566;1,00;1;2;0;42017;1080;1224;null;44,44;TD;usa;1393;232;0,90;1,33;34,92;735;78;0,32;0;0;3;1,39
39145;1945;1911;54,53;1367;357;1,09;34,75;1,00;1,29;0,74;696;1,67;1;1;1;42017;2129;2267;null;58,33;TD;usa;2040;227;1,37;2,08;50,00;965;70;0,48;0;0;3;2,73
41267;811;850;47,64;741;401;0,54;25,02;1,09;0,59;0,45;552;0,71;1;1;1;18449;388;535;null;43,22;LT;germany;428;825;0,24;0,34;7,77;556;62;3,12;0;1;3;0,26
109410;1468;1421;49,38;1211;310;0,96;29,02;0,98;1,20;0,63;619;1,36;1;2;0;61505;1215;1168;null;48,05;LT;france;669;730;0,54;0,80;13,96;587;77;2,70;0;0;3;0,63
95797;1713;1784;52,02;1356;347;1,02;34,06;0,88;0,77;0,68;669;1,55;1;2;0;62545;1921;2019;null;50,96;TD;uk;1735;391;1,09;2,07;40,22;829;66;0,54;0;1;3;1,82
8908;481;434;44,84;503;177;0,48;24,85;0,48;0,26;0,19;339;0,64;1;1;1;45057;498;436;null;37,69;TD;ussr;828;99;0,45;0,93;26,13;423;53;0,13;0;0;2;0,61
36071;2002;2172;54,21;1458;529;1,03;33,62;1,21;0,54;0,51;791;1,55;1;1;1;17953;1297;1290;null;56,67;LT;usa;709;714;0,50;0,79;16,67;709;73;2,60;0;0;3;0,60
88774;1783;1893;53,43;1345;471;1,03;30,56;1,45;0,80;0,37;750;1,49;1;2;0;37649;2437;2832;null;45,93;HT;germany;2406;556;1,04;1,51;33,33;932;79;1,47;0;2;4;1,56
37439;1795;1720;51,60;1599;402;1,02;27,80;1,20;0,85;0,62;719;1,41;1;2;0;59201;1627;1996;null;49,14;LT;france;1256;859;0,71;0,93;15,43;826;64;2,17;0;1;3;0,84
36428;1561;1590;51,23;1224;272;0,99;40,47;0,66;0,89;0,80;637;1,66;1;1;1;63825;1763;1895;null;55,41;HT;uk;1720;281;0,96;1,40;43,92;909;72;0,96;0;0;3;1,71
4200;252;215;45,12;251;139;0,29;26,74;0,34;1,41;0,43;269;0,39;1;1;1;48385;116;83;null;44,44;TD;ussr;327;163;0,20;0,34;31,82;410;42;0,21;0;0;2;0,30
82042;891;859;47,77;773;286;0,60;21,30;0,79;0,90;0,41;533;0,76;1;2;0;3185;924;870;null;49,11;HT;czech;1218;318;0,47;0,65;18,93;693;75;1,18;0;0;2;0,58
37923;917;895;49,94;623;193;0,71;32,91;0,55;0,44;0,65;367;1,05;1;2;0;5137;732;714;null;46,98;HT;germany;785;324;0,52;0,61;30,19;412;67;0,51;0;1;4;0,74
8887;1091;1027;49,33;823;218;0,66;22,56;0,81;0,48;0,34;485;0,85;1;2;0;5713;1441;1305;null;50,00;MT;uk;1832;461;0,20;1,23;30,00;801;79;0,80;0;0;2;0,29
51203;1364;1471;49,87;1139;506;0,82;31,84;1,14;0,61;0,46;542;1,20;1;1;1;14865;1546;1691;null;46,12;MT;germany;1649;531;0,93;1,17;31,51;637;65;0,97;0;1;4;1,36
39888;1234;1378;49,61;945;475;0,76;31,63;0,98;0,42;0,56;486;1,12;1;1;1;8241;553;619;null;40,00;TD;china;997;227;0,80;0,79;40,00;595;47;0,27;0;0;1;1,33
32946;468;397;45,15;500;236;0,36;16,13;0,70;0,34;0,25;464;0,43;1;2;0;8241;510;395;null;45,88;TD;china;920;179;0,42;0,59;25,88;588;69;0,15;0;0;2;0,57
28045;1126;1140;48,55;998;404;0,63;23,07;1,12;0,43;0,33;507;0,82;1;1;1;8993;996;1002;null;46,67;MT;usa;1240;581;0,47;0,77;20,00;650;62;1,13;0;0;1;0,58
15285;1976;2146;53,12;1459;530;0,97;28,41;1,31;0,58;0,63;626;1,36;1;1;1;61505;2373;2791;null;61,11;LT;france;970;1520;0,87;1,36;37,04;936;75;3,37;0;0;3;1,38
6920;1250;1260;48,77;1251;395;0,73;23,96;0,99;0,34;0,21;613;0,97;1;1;1;19713;1256;1352;null;45,45;HT;ussr;1487;468;0,55;0,71;0,00;747;76;1,64;0;0;2;0,55
6053;795;739;47,55;692;290;0,53;22,45;0,89;0,73;0,29;414;0,68;1;2;0;21281;338;266;null;20,00;HT;usa;719;179;0,20;0,43;20,00;449;53;1,20;0;0;0;0,25
1487;605;562;44,79;598;224;0,40;20,24;0,58;0,72;0,08;451;0,50;1;2;0;50961;558;305;null;50,00;LT;germany;440;322;0,13;0,40;0,00;487;52;1,94;0;0;2;0,13
9826;837;714;48,09;630;202;0,56;19,26;0,97;0,93;0,30;376;0,70;1;2;0;14865;1169;1096;null;48,26;MT;germany;1471;294;0,70;0,94;20,37;616;75;0,46;0;1;3;0,87
1591;343;301;41,36;580;232;0,29;14,14;0,92;0,74;0,09;498;0,34;1;1;1;30481;528;374;null;50,59;HT;germany;813;197;0,28;0,51;8,24;640;74;1,34;0;0;1;0,31
3157;668;601;46,75;600;189;0,49;25,15;0,51;0,83;0,29;452;0,66;1;2;0;45057;810;765;null;48,51;TD;ussr;959;167;0,67;1,06;24,75;626;60;0,30;0;0;2;0,89
3208;1521;1554;51,09;1533;369;0,82;30,61;0,93;0,40;0,21;756;1,18;1;1;1;62481;1591;1591;null;55,56;TD;germany;1586;208;0,93;1,78;37,04;788;52;0,19;0;0;2;1,47
17638;304;280;40,90;486;230;0,28;17,22;0,67;0,67;0,07;451;0,34;1;2;0;16657;333;280;null;44,52;TD;germany;570;168;0,36;0,61;24,66;487;53;0,19;0;0;2;0,47
114;1421;1373;48,25;688;109;0,89;30,70;0,48;0,73;0,72;507;1,29;1;1;1;37649;131;0;null;50,00;HT;germany;253;76;0,00;0,14;0,00;409;33;0,00;0;0;0;0,00
