battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
25769;1246;1094;51,05;788;182;0,82;24,47;1,07;1,47;0,67;413;1,09;2;2;0
46612;1294;1243;49,54;1103;412;0,80;24,64;1,16;1,26;0,59;612;1,06;2;1;1
60279;1071;1044;47,99;945;259;0,73;28,18;0,79;1,03;0,62;505;1,01;2;2;0
7457;785;707;46,90;764;267;0,53;22,44;0,80;1,07;0,34;382;0,68;2;2;0
21689;474;418;44,09;605;272;0,31;9,39;1,15;0,44;0,09;503;0,34;2;1;1
40083;2018;2146;52,21;1696;399;1,10;29,78;0,90;0,66;0,62;629;1,56;2;2;0
17150;2168;2253;54,82;1384;446;1,02;27,30;1,38;0,63;0,70;692;1,41;2;1;1
20409;771;752;48,97;863;272;0,58;31,10;0,47;0,71;0,50;419;0,84;2;2;0
16266;915;882;48,43;766;287;0,65;22,86;0,88;0,95;0,44;550;0,84;2;1;1
21950;941;868;49,45;702;252;0,62;23,91;0,73;0,85;0,45;396;0,82;2;2;0
58649;913;1014;49,02;831;396;0,72;40,34;0,38;0,48;0,88;467;1,21;2;2;0
6040;885;943;47,53;982;388;0,57;25,75;0,82;0,47;0,22;610;0,76;2;2;0
38725;2584;2672;56,20;2039;563;1,20;27,94;1,67;0,64;0,47;768;1,67;2;1;1
20774;594;554;46,62;563;263;0,46;26,61;0,62;0,72;0,36;391;0,63;2;1;1
16692;830;783;47,90;650;276;0,56;15,67;1,15;0,56;0,17;393;0,67;2;2;0
3969;591;543;43,54;581;235;0,46;24,97;0,56;0,78;0,29;430;0,62;2;1;1
21625;2279;2484;57,32;2035;821;1,11;26,25;1,83;0,23;0,33;892;1,50;2;1;1
18776;2772;2959;57,63;2408;571;1,16;27,19;1,51;0,23;0,49;958;1,60;2;1;1
12164;703;645;44,03;836;279;0,48;19,29;0,72;0,71;0,21;553;0,60;2;2;0
7788;370;305;41,45;516;214;0,31;13,60;0,72;0,62;0,17;413;0,35;2;2;0
16150;711;657;45,57;742;269;0,50;25,10;0,66;0,33;0,25;550;0,67;2;2;0
45306;1729;1860;51,89;1643;570;0,97;34,08;1,16;0,96;0,40;792;1,47;2;1;1
17914;573;570;46,11;644;273;0,51;38,62;0,21;1,12;0,48;512;0,82;2;2;0
72321;1419;1367;51,92;1053;336;0,76;19,37;1,35;0,51;0,42;526;0,95;2;2;0
13638;1311;1343;47,84;1177;344;0,78;24,04;0,79;0,92;0,29;643;1,02;2;1;1
4048;573;527;43,06;671;242;0,40;19,17;0,54;1,50;0,13;527;0,50;2;1;1
5696;738;693;46,14;819;236;0,55;28,46;0,24;0,38;0,27;505;0,77;2;1;1
413;816;850;48,18;639;222;0,73;24,94;0,85;0,52;0,01;500;0,98;2;1;1
311;882;847;46,95;628;231;0,67;22,51;0,83;0,71;0,17;494;0,86;2;2;0
178;16;34;38,20;331;180;0,17;10,67;0,56;0,52;0,00;482;0,19;2;1;1
