battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
47691;1858;1622;54,58;1387;222;1,02;31,83;1,16;2,05;0,71;728;1,49;3;1;1
17716;1015;870;46,92;956;180;0,76;33,81;0,81;1,95;0,73;513;1,15;3;1;1
26763;735;658;46,39;667;216;0,60;27,43;0,84;1,02;0,46;504;0,83;3;2;0
45866;952;994;45,94;969;292;0,73;32,11;0,56;0,80;0,32;575;1,08;3;2;0
12417;474;379;47,25;499;189;0,35;13,66;0,95;0,96;0,14;450;0,40;3;1;1
54787;1159;1141;48,94;1028;321;0,72;20,61;0,96;0,46;0,37;521;0,91;3;2;0
12505;1139;1171;49,12;946;464;0,64;17,28;1,32;0,63;0,31;614;0,77;3;2;0
49781;1803;1788;53,12;1304;428;1,05;36,26;1,12;1,26;1,14;714;1,65;3;2;0
85982;1490;1491;51,52;1180;453;0,92;33,83;1,02;0,65;0,73;608;1,39;3;2;0
33973;2255;2326;55,01;1689;404;1,14;32,32;1,11;0,65;0,72;730;1,69;3;1;1
26242;1268;1274;50,07;956;423;0,70;19,48;1,60;0,44;0,40;537;0,87;3;2;0
15322;881;812;47,04;987;260;0,64;22,08;0,87;0,63;0,45;498;0,82;3;1;1
79290;1296;1356;49,42;1096;366;0,82;29,12;0,79;0,48;0,43;588;1,16;3;2;0
23911;1264;1241;49,39;1173;389;0,73;26,50;1,08;0,55;0,42;580;0,99;3;1;1
87341;2091;2218;53,48;1759;580;1,04;28,71;1,43;0,35;0,54;658;1,46;3;1;1
109811;873;833;47,81;734;335;0,53;17,04;1,31;0,90;0,26;410;0,64;3;1;1
20899;1526;1564;50,77;1238;421;0,84;23,61;1,34;0,52;0,55;614;1,10;3;1;1
8988;1163;1129;50,27;698;215;0,76;18,42;1,22;0,40;0,32;371;0,93;3;2;0
17365;1650;1728;53,39;1511;515;0,81;22,84;1,37;0,26;0,32;778;1,05;3;1;1
25296;1322;1341;48,42;1687;385;0,81;32,26;0,64;0,40;0,36;702;1,20;3;2;0
12543;1334;1293;50,53;1021;303;0,71;22,50;1,11;0,53;0,34;654;0,92;3;2;0
60855;1177;1094;48,82;995;187;0,84;30,09;0,74;2,05;0,45;501;1,20;3;1;1
26426;1098;975;48,19;966;223;0,68;21,92;1,13;0,81;0,35;513;0,87;3;1;1
32168;731;642;47,51;526;197;0,63;26,22;0,84;0,78;0,50;341;0,86;3;2;0
35356;1018;1016;48,18;748;359;0,66;24,30;1,19;1,24;0,52;425;0,87;3;1;1
10906;2236;2320;56,35;2049;487;1,26;38,89;1,05;0,81;0,51;941;2,07;3;2;0
2707;2807;2998;59,62;2731;786;1,21;30,00;1,83;0,11;0,45;1040;1,73;3;1;1
5000;1038;1107;47,88;1201;383;0,71;29,86;0,69;0,74;0,27;665;1,01;3;1;1
939;1182;1236;48,14;1578;385;0,70;28,75;0,55;0,46;0,24;725;0,99;3;2;0
291;775;685;47,08;999;295;0,63;23,71;0,68;0,33;0,39;627;0,82;3;2;0
