battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
50563;834;726;46,30;822;201;0,66;22,63;0,73;0,70;0,45;427;0,86;4;2;0
31775;1448;1423;49,68;1049;290;0,99;32,93;0,77;0,66;0,77;597;1,48;4;2;0
15851;780;709;46,91;776;263;0,52;20,04;0,89;0,33;0,35;516;0,65;4;2;0
45777;1034;1081;47,31;960;339;0,76;32,00;0,72;0,42;0,49;499;1,12;4;2;0
18128;1810;1906;52,36;1467;414;0,94;25,09;1,15;0,53;0,43;694;1,26;4;2;0
35951;740;725;46,85;721;268;0,61;23,53;0,60;0,62;0,37;489;0,80;4;2;0
13616;963;980;47,26;733;286;0,67;21,22;1,08;0,47;0,26;431;0,85;4;2;0
44904;870;844;46,49;845;300;0,59;21,45;0,84;1,01;0,28;423;0,75;4;1;1
109303;618;547;45,80;642;206;0,48;15,77;0,89;1,02;0,21;385;0,57;4;1;1
10429;953;908;47,59;773;249;0,63;18,57;0,81;0,49;0,36;456;0,78;4;1;1
9363;1235;1230;48,35;1008;238;0,80;25,63;0,73;0,46;0,51;478;1,07;4;1;1
4214;1353;1350;50,85;1311;235;0,84;32,61;0,55;1,79;0,29;731;1,25;4;1;1
18580;559;504;45,65;519;166;0,50;21,75;0,60;0,69;0,37;343;0,64;4;1;1
26377;493;437;45,39;452;189;0,47;28,24;0,49;1,37;0,40;342;0,65;4;1;1
