battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
34573;2376;2344;55,13;1557;458;1,18;32,63;1,48;0,76;0,92;785;1,75;6;1;0
15344;2540;2788;57,03;2045;758;1,10;27,40;1,98;0,24;0,35;956;1,52;6;1;0
42723;2507;2639;56,31;1801;641;1,11;25,17;1,86;0,42;0,70;786;1,49;6;1;0
18325;2001;2055;54,55;1172;461;1,19;27,97;1,37;0,52;0,72;615;1,65;6;1;0
22915;2808;2892;61,04;2209;525;1,41;35,64;1,31;0,86;0,53;962;2,19;6;1;0
9775;4517;5070;67,31;3872;822;1,76;40,32;1,92;0,11;0,35;1279;2,95;6;1;0
35196;1944;2023;53,29;1765;425;0,88;25,71;1,19;0,53;0,26;739;1,18;6;2;1
52001;2526;2730;58,72;2199;637;1,21;29,92;1,50;0,48;0,35;920;1,73;6;2;1
36886;2425;2655;58,15;1905;739;1,13;32,20;1,67;0,72;0,40;896;1,67;6;2;1
5773;3254;3449;61,80;3001;615;1,28;26,66;1,76;0,23;0,36;1095;1,75;6;2;1
47546;2467;2565;57,97;2059;645;1,19;30,57;1,56;1,20;0,79;820;1,71;6;2;1
49400;3144;3130;59,92;2407;556;1,44;36,82;1,45;1,53;1,02;932;2,28;6;2;1
51278;1751;1875;51,78;1433;487;0,93;29,49;1,11;0,34;0,42;686;1,32;6;2;1
983;2467;2669;55,24;2554;528;1,25;39,37;1,13;0,67;0,29;1025;2,06;6;1;0
