battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
34805;1875;1647;52,58;1604;254;1,05;28,40;1,25;0,73;0,68;702;1,46;104;1;1
74983;1162;1060;48,70;1074;231;0,75;22,29;1,16;1,08;0,39;618;0,97;104;2;0
7461;1097;1038;48,32;858;127;0,74;27,53;0,60;0,71;0,53;501;1,03;104;2;0
128940;2669;2755;56,95;2292;645;1,11;21,96;1,89;0,41;0,61;855;1,43;104;1;1
44671;1360;1353;51,64;1032;419;0,87;30,13;1,71;1,40;0,58;468;1,24;104;1;1
84152;1629;1526;50,76;1421;298;0,96;34,19;0,97;0,70;0,61;610;1,46;104;1;1
43523;1794;1684;52,83;1407;324;1,01;36,18;0,92;0,94;1,04;694;1,59;104;1;1
61996;1760;1598;53,07;1474;319;0,94;27,61;1,39;1,46;0,60;683;1,30;104;2;0
18631;1721;1588;52,76;1024;266;1,06;24,29;1,23;1,08;0,65;511;1,40;104;2;0
56505;868;878;47,84;739;276;0,68;26,24;0,73;0,63;0,40;440;0,92;104;2;0
8142;167;127;44,02;232;119;0,29;22,48;0,38;1,06;0,26;259;0,38;104;1;1
45231;726;689;46,38;704;304;0,50;21,01;1,00;0,76;0,20;517;0,63;104;2;0
20928;1831;1826;52,05;1334;431;1,01;30,55;1,29;0,66;0,81;535;1,46;104;2;0
70884;1183;1178;50,13;968;295;0,87;34,55;0,68;0,43;0,87;545;1,33;104;2;0
13661;885;873;46,22;779;363;0,53;15,39;1,45;0,41;0,27;496;0,62;104;2;0
21634;1038;1104;46,34;1147;368;0,70;29,04;0,67;0,99;0,27;557;0,99;104;2;0
46501;2625;2514;56,29;2010;533;1,37;34,69;1,21;0,88;0,95;909;2,10;104;1;1
21565;1189;1145;49,07;989;372;0,78;26,74;1,02;1,23;0,71;558;1,06;104;2;0
50026;1509;1520;50,33;1260;430;0,92;33,88;0,99;0,41;0,59;715;1,38;104;1;1
88174;1082;1107;48,82;945;405;0,74;29,20;0,93;0,76;0,45;477;1,04;104;1;1
17552;1520;1655;51,37;1279;389;0,92;25,47;0,90;0,47;0,27;685;1,24;104;2;0
63366;1402;1424;50,69;1337;316;0,91;30,94;0,53;0,97;0,59;621;1,32;104;1;1
1254;1263;1297;49,60;1178;451;0,69;22,97;1,37;1,04;0,40;690;0,90;104;1;1
63375;1222;1208;50,39;943;340;0,80;28,45;1,00;1,15;0,53;559;1,12;104;1;1
34839;1132;1146;46,84;1327;351;0,76;34,90;0,58;0,57;0,24;673;1,16;104;1;1
6146;1157;1170;47,71;1102;307;0,72;21,77;1,00;0,54;0,15;669;0,92;104;2;0
2410;380;309;46,56;397;155;0,37;33,73;0,30;1,46;0,40;326;0,56;104;2;0
2530;1073;1041;46,48;936;281;0,68;30,55;0,75;1,23;0,40;578;0,98;104;1;1
3906;1450;1489;48,21;1422;213;0,85;28,34;0,57;0,59;0,31;697;1,18;104;1;1
36;168;94;41,67;583;201;0,14;8,33;0,53;1,06;0,00;558;0,15;104;2;0
