battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
18299;706;639;46,59;623;193;0,56;23,61;0,48;1,09;0,47;465;0,73;5;1;1
21082;1362;1265;49,48;1036;346;0,82;21,31;1,52;1,40;0,46;587;1,04;5;1;1
33297;1293;1335;49,30;1089;382;0,80;29,56;0,94;0,91;0,69;613;1,14;5;1;1
38339;1415;1392;49,60;1116;260;0,87;26,72;1,06;0,96;0,46;581;1,19;5;2;0
17927;1133;1065;49,24;876;274;0,67;21,21;0,93;0,55;0,38;468;0,84;5;2;0
11633;785;720;47,44;566;191;0,57;27,13;0,87;1,34;0,44;390;0,78;5;1;1
13887;777;703;47,30;615;210;0,55;27,06;0,81;1,33;0,36;356;0,76;5;2;0
30119;1171;1243;49,84;916;372;0,76;28,43;0,81;0,84;0,49;580;1,07;5;1;1
18068;865;828;46,76;898;314;0,60;24,00;0,73;0,68;0,30;460;0,78;5;1;1
25914;1854;1951;52,18;1296;421;0,93;22,59;1,37;0,53;0,44;625;1,20;5;2;0
20258;966;913;47,67;944;321;0,58;19,20;0,98;0,85;0,53;527;0,72;5;1;1
137720;520;474;45,72;578;261;0,48;17,23;0,87;0,43;0,24;453;0,58;5;1;1
15962;1702;1740;51,31;1387;334;0,88;30,43;0,99;1,00;0,47;642;1,27;5;2;0
15835;651;611;47,04;541;293;0,46;9,87;1,39;0,47;0,13;406;0,51;5;2;0
4081;995;1094;47,71;1022;380;0,63;32,17;0,34;0,85;0,39;612;0,93;5;2;0
1222;488;429;45,83;553;209;0,42;20,29;0,59;1,32;0,20;445;0,53;5;1;1
7552;1176;1141;48,05;1029;358;0,65;17,90;1,28;0,39;0,27;614;0,79;5;1;1
1364;895;843;47,36;857;239;0,60;26,32;0,68;0,46;0,23;528;0,81;5;1;1
62732;640;635;45,03;703;457;0,42;11,76;1,75;0,56;0,12;496;0,47;5;2;0
40526;1356;1315;49,50;1077;302;0,85;23,76;1,08;0,64;0,42;505;1,11;5;2;0
192;188;143;43,23;492;242;0,16;22,92;0,08;0,21;0,00;510;0,21;5;2;0
34089;773;773;46,90;885;366;0,50;20,31;0,87;0,53;0,25;522;0,63;5;2;0
65600;1520;1545;50,95;1295;386;0,97;30,96;0,87;0,73;0,58;630;1,41;5;1;1
29608;1136;892;48,43;881;91;0,73;22,39;1,16;0,94;0,36;520;0,94;5;1;1
45573;1840;1676;52,97;1355;253;1,17;40,26;0,67;1,56;1,11;645;1,95;5;2;0
11641;1090;1038;48,04;1036;220;0,68;23,55;0,86;0,89;0,29;557;0,90;5;1;1
2977;1324;1433;50,39;1163;363;0,77;33,09;0,77;1,26;0,45;564;1,16;5;2;0
2447;1631;1602;47,00;1609;335;1,02;31,06;0,82;0,91;0,59;707;1,49;5;1;1
570;865;787;49,47;812;203;0,60;24,74;0,76;1,53;0,19;566;0,80;5;2;0
267;906;773;41,20;726;175;0,81;21,35;0,81;0,72;0,98;508;1,03;5;2;0
