battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
88052;2132;1894;58,49;1381;376;1,16;32,73;1,59;2,18;0,91;787;1,73;20;2;1
118943;1302;1211;51,21;901;245;0,79;23,47;1,50;0,79;0,46;616;1,04;20;1;0
18677;1126;1109;48,55;1000;269;0,71;26,87;0,77;0,83;0,34;559;0,97;20;2;1
26457;1062;882;47,50;953;154;0,72;22,58;1,13;1,13;0,50;545;0,92;20;1;0
33067;1374;1328;52,26;1221;355;0,81;23,84;1,10;1,56;0,30;700;1,06;20;1;0
37182;1493;1506;51,26;1172;336;0,87;37,77;0,83;0,94;0,81;562;1,39;20;2;1
32062;1650;1723;51,74;1541;384;0,98;31,42;0,81;0,85;0,43;745;1,43;20;2;1
34108;1434;1280;52,03;969;223;0,85;30,44;1,09;0,76;0,77;547;1,22;20;2;1
10189;1305;1298;50,37;898;244;0,78;24,92;0,85;1,14;0,61;454;1,03;20;1;0
81598;1433;1501;50,43;1366;366;0,91;28,69;0,79;1,10;0,28;717;1,28;20;1;0
64338;842;822;47,19;770;221;0,66;30,61;0,59;2,05;0,47;421;0,95;20;2;1
242186;847;826;46,49;949;283;0,57;22,02;0,83;0,90;0,15;575;0,73;20;1;0
39737;385;370;45,60;342;177;0,42;25,07;0,54;0,78;0,35;291;0,56;20;2;1
13086;1700;1775;52,38;1217;284;0,94;34,75;0,69;0,82;0,74;551;1,44;20;2;1
28230;810;809;47,04;716;257;0,64;30,23;0,49;0,48;0,64;428;0,92;20;2;1
29411;1405;1517;51,06;1153;417;0,81;28,40;0,98;1,07;0,35;632;1,13;20;1;0
55800;2203;2415;54,50;1711;549;1,06;26,84;1,45;0,37;0,36;683;1,45;20;2;1
5095;694;609;45,46;890;240;0,45;15,39;0,79;0,71;0,07;602;0,53;20;2;1
3553;587;590;46,02;456;228;0,49;22,71;0,80;0,75;0,34;399;0,63;20;2;1
11378;716;648;47,21;426;212;0,52;15,96;1,11;0,47;0,38;339;0,62;20;2;1
80727;774;744;47,08;676;303;0,53;18,56;0,92;0,48;0,14;542;0,65;20;1;0
54231;994;1039;48,94;951;409;0,70;31,27;0,77;0,55;0,49;498;1,02;20;2;1
12309;917;915;47,71;910;282;0,62;30,97;0,58;1,40;0,21;524;0,90;20;1;0
4807;1219;1225;49,86;1090;369;0,62;22,61;0,96;0,41;0,29;633;0,81;20;1;0
6796;1484;1536;50,97;1297;429;0,76;27,35;1,01;1,48;0,35;695;1,04;20;2;1
23870;183;163;43,94;285;229;0,21;11,46;1,19;0,79;0,17;362;0,24;20;1;0
25768;663;623;45,92;800;331;0,50;32,56;0,53;0,65;0,41;468;0,75;20;1;0
7601;2150;2368;52,94;1577;341;1,13;38,28;0,81;0,50;0,53;779;1,84;20;1;0
31789;1559;1694;52,43;1393;585;0,90;28,44;1,21;1,13;0,36;617;1,26;20;1;0
593;1171;1121;49,92;716;253;0,76;22,77;0,95;0,39;0,17;572;0,98;20;1;0
