battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
45723;1376;1366;50,07;1211;397;0,92;31,68;0,90;0,71;0,57;625;1,35;70;2;0
53379;1068;1092;48,52;1019;345;0,75;27,56;0,82;1,11;0,43;625;1,04;70;1;1
8812;676;605;44,70;538;140;0,56;32,16;0,44;1,59;0,64;353;0,82;70;1;1
13613;1356;1335;50,59;837;337;0,86;27,09;1,33;1,79;0,68;607;1,17;70;1;1
60121;1918;1903;52,16;1737;457;1,14;33,25;1,14;0,66;0,64;752;1,71;70;2;0
12296;846;765;48,48;604;210;0,57;17,75;1,04;0,88;0,33;358;0,69;70;1;1
36361;1167;1152;50,14;939;398;0,81;30,60;1,22;1,18;0,54;622;1,17;70;1;1
58671;1804;1837;54,53;1442;496;0,94;26,73;1,40;0,77;0,41;772;1,28;70;1;1
30106;2466;2681;57,11;1980;691;1,10;33,11;1,63;0,53;0,72;819;1,65;70;1;1
34906;350;268;43,56;452;192;0,29;11,73;0,81;0,53;0,10;323;0,33;70;2;0
15063;1332;1391;50,36;1173;465;0,78;28,58;1,27;0,94;0,34;707;1,09;70;2;0
40030;1429;1506;49,81;1518;516;0,89;30,11;0,88;0,86;0,32;661;1,27;70;1;1
20935;966;957;46,96;1067;288;0,68;23,84;0,64;0,88;0,25;502;0,89;70;2;0
42406;1298;1307;48,98;1084;341;0,72;17,91;1,18;0,24;0,22;592;0,87;70;2;0
2594;344;263;43,99;336;134;0,34;23,52;0,35;0,58;0,25;290;0,44;70;1;1
21705;2275;2417;57,57;2215;570;1,03;30,21;1,29;0,41;0,44;896;1,48;70;1;1
4608;1215;1287;47,48;971;316;0,81;26,02;0,82;0,89;0,59;528;1,09;70;1;1
14396;1909;1985;52,59;1574;443;0,83;25,15;1,34;0,23;0,41;749;1,11;70;1;1
87107;1263;1411;49,71;1091;549;0,75;27,16;1,16;0,39;0,28;668;1,03;70;2;0
3212;872;819;47,76;734;348;0,51;16,44;1,15;0,22;0,19;531;0,61;70;1;1
6721;643;601;44,89;784;249;0,47;25,89;0,58;0,45;0,26;451;0,63;70;2;0
29713;1422;1496;50,71;1192;407;0,81;31,24;0,87;0,95;0,57;559;1,18;70;2;0
51589;1126;1122;49,33;879;379;0,68;15,82;1,61;0,56;0,28;484;0,81;70;2;0
47670;1834;1933;52,68;1603;432;0,82;23,28;1,23;0,64;0,25;586;1,07;70;2;0
1168;350;285;44,35;528;198;0,39;19,69;0,59;1,23;0,17;455;0,49;70;2;0
52568;1843;1762;54,46;1452;434;1,02;29,94;1,25;0,81;0,68;711;1,45;70;1;1
7006;690;641;44,98;928;223;0,55;26,41;0,40;1,10;0,29;564;0,74;70;2;0
2632;1209;1179;48,29;1343;265;0,75;34,27;0,51;2,39;0,34;707;1,15;70;2;0
85;859;748;50,59;1431;327;0,58;30,59;0,59;0,53;0,00;716;0,83;70;2;0
857;603;541;44,11;1127;415;0,46;17,97;0,94;0,06;0,04;699;0,56;70;1;1
