battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
18147;1614;1354;51,25;1113;175;1,02;33,10;1,08;2,12;0,58;594;1,52;89;1;1
34530;997;963;47,47;860;229;0,68;24,01;0,76;1,66;0,22;543;0,89;89;1;1
79184;958;912;47,84;906;270;0,67;22,48;0,90;0,63;0,35;536;0,86;89;2;0
73639;1337;1249;50,27;968;275;0,92;27,91;0,93;1,10;0,63;491;1,28;89;1;1
72738;1129;1136;45,76;1117;301;0,75;20,99;0,92;1,37;0,33;586;0,95;89;2;0
88720;1503;1477;50,71;1153;360;1,00;37,36;0,92;0,58;0,90;636;1,60;89;1;1
8719;1013;916;49,72;743;149;0,71;29,61;0,61;0,90;0,55;433;1,01;89;1;1
30056;1180;1203;47,28;1271;462;0,63;26,21;1,08;0,65;0,33;689;0,85;89;2;0
129403;1709;1778;52,47;1238;364;0,98;31,14;0,93;0,55;0,65;534;1,43;89;2;0
92789;706;650;46,26;635;234;0,62;31,76;0,52;1,57;0,56;525;0,91;89;2;0
26086;763;687;46,02;679;261;0,47;14,18;1,00;0,48;0,22;420;0,54;89;1;1
48867;866;833;47,69;842;288;0,68;32,28;0,50;1,61;0,54;483;1,00;89;1;1
28542;1319;1297;50,73;1154;348;0,74;21,78;1,00;0,72;0,44;580;0,95;89;2;0
14487;768;759;46,03;751;298;0,50;24,13;0,77;1,19;0,12;565;0,66;89;1;1
25292;1905;1985;53,10;1412;350;0,97;23,53;1,20;0,41;0,33;684;1,26;89;1;1
8323;1103;1099;49,55;865;343;0,69;22,44;1,02;0,20;0,24;608;0,89;89;1;1
18410;727;625;46,32;732;227;0,43;15,07;0,87;0,27;0,17;474;0,50;89;2;0
4574;1015;970;48,23;1040;273;0,60;25,93;0,67;0,83;0,20;628;0,81;89;2;0
5926;1503;1533;51,52;1217;321;0,82;30,98;0,79;0,36;0,31;632;1,19;89;2;0
47858;1218;1214;49,13;1239;438;0,63;11,59;1,56;0,39;0,18;581;0,71;89;1;1
40798;1602;1705;50,72;1345;405;1,03;37,85;0,82;0,73;0,46;685;1,66;89;2;0
33588;1024;988;48,21;966;343;0,54;18,15;1,03;0,41;0,19;516;0,66;89;2;0
25529;1317;1319;49,92;1142;439;0,67;16,76;1,28;0,34;0,26;556;0,80;89;1;1
38400;1540;1496;50,98;1319;400;0,93;28,48;1,05;0,60;0,64;612;1,30;89;2;0
16496;788;735;47,23;745;303;0,52;25,98;0,82;0,53;0,33;586;0,70;89;1;1
2581;872;816;47,19;816;236;0,54;24,49;0,77;1,05;0,31;538;0,71;89;1;1
6091;2403;2733;55,95;2058;837;1,10;26,68;1,77;0,39;0,61;852;1,50;89;1;1
13151;1954;2080;53,30;1892;470;1,02;33,43;0,97;0,56;0,34;856;1,53;89;2;0
6677;792;732;45,44;820;284;0,50;16,71;0,99;1,13;0,12;564;0,60;89;2;0
137;472;457;39,42;839;244;0,47;26,28;0,29;0,13;0,02;577;0,64;89;2;0
