battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
67616;1180;1076;48,04;1071;212;0,88;34,86;0,58;1,14;0,72;450;1,35;9;2;1
15601;936;874;47,38;827;211;0,67;27,93;0,68;0,86;0,49;549;0,93;9;1;0
19606;1233;1104;55,54;821;240;0,76;27,87;1,12;2,22;0,43;455;1,06;9;1;0
105527;1587;1649;51,92;1448;496;0,95;28,38;1,30;0,72;0,46;707;1,33;9;2;1
27614;1258;1255;50,12;904;317;0,77;21,64;1,28;0,61;0,31;500;0,98;9;1;0
36784;1143;1163;49,58;960;452;0,69;31,26;1,09;0,58;0,37;573;1,00;9;2;1
15527;666;655;44,72;823;290;0,54;29,69;0,38;1,07;0,37;529;0,76;9;1;0
19058;1493;1522;50,63;1232;408;0,82;24,76;1,17;0,77;0,42;641;1,08;9;1;0
31278;1400;1352;49,80;756;243;0,83;22,02;1,48;0,70;0,42;453;1,06;9;2;1
19896;727;677;46,38;715;273;0,54;20,92;0,86;0,15;0,37;531;0,68;9;2;1
14116;2522;2737;58,05;1736;567;1,12;29,18;1,54;0,72;0,33;900;1,59;9;2;1
6715;2257;2325;54,19;1556;470;1,13;31,06;1,38;0,93;0,68;757;1,64;9;1;0
11425;2019;1903;52,72;2081;563;1,26;33,52;1,05;0,31;0,61;842;1,90;9;1;0
167;421;378;38,92;391;123;0,40;20,36;1,71;9,56;0,06;343;0,50;9;2;1
