battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
15002;893;819;45,55;842;205;0,62;25,15;0,75;1,26;0,46;523;0,83;75;1;0
38634;1925;1792;53,23;1428;332;1,09;32,31;1,18;2,33;0,70;660;1,61;75;1;0
40518;1111;1034;48,30;992;226;0,76;27,87;0,67;1,00;0,65;580;1,06;75;1;0
13608;295;221;44,47;310;124;0,38;30,80;0,24;0,48;0,39;265;0,55;75;2;1
27400;1026;1012;47,22;1014;280;0,68;25,82;0,80;0,83;0,24;574;0,91;75;1;0
15560;2071;2183;54,15;1859;415;1,01;35,13;1,05;0,77;0,49;697;1,55;75;2;1
35905;1308;1251;50,12;1075;330;0,82;20,80;1,23;0,94;0,45;620;1,03;75;1;0
15167;1524;1540;50,60;1568;423;1,01;31,16;0,84;1,03;0,44;707;1,47;75;1;0
72028;810;779;48,84;723;317;0,55;15,58;1,15;0,52;0,21;431;0,65;75;2;1
9916;409;334;44,80;348;144;0,39;19,88;0,57;1,10;0,27;279;0,48;75;2;1
10554;733;710;46,90;559;231;0,54;23,86;0,76;0,87;0,27;386;0,71;75;1;0
9464;1381;1463;49,88;1107;315;0,87;30,30;0,86;0,85;0,29;589;1,24;75;1;0
39982;1300;1329;49,16;1233;483;0,72;28,18;1,20;0,46;0,40;692;1,01;75;2;1
25264;1471;1581;50,23;1418;390;0,84;34,90;0,77;1,15;0,21;700;1,29;75;2;1
30491;771;710;46,62;838;318;0,49;19,54;0,92;0,49;0,24;564;0,61;75;1;0
19337;705;627;47,08;530;190;0,53;18,63;0,82;0,99;0,27;370;0,65;75;2;1
10798;1517;1521;51,35;1272;363;0,73;20,89;1,20;0,15;0,26;638;0,93;75;1;0
445;1795;1901;49,89;1783;485;0,87;23,15;1,48;0,44;0,13;790;1,13;75;1;0
11394;915;884;46,51;1046;432;0,53;18,71;1,19;0,63;0,27;609;0,65;75;1;0
11652;2279;2459;54,91;1959;530;1,07;30,96;1,27;0,65;0,45;822;1,55;75;2;1
29951;1628;1658;50,62;1388;441;0,89;26,08;1,26;0,53;0,44;640;1,21;75;2;1
23554;3264;3448;66,21;1859;754;1,50;36,86;1,88;0,68;0,73;1029;2,37;75;1;0
12931;897;805;48,41;630;244;0,55;21,79;0,95;0,70;0,24;405;0,71;75;2;1
3456;1592;1705;53,33;1286;480;0,89;27,75;1,26;0,37;0,19;775;1,23;75;1;0
3467;1195;1175;50,27;1225;376;0,67;20,42;1,32;0,72;0,23;714;0,84;75;2;1
4038;1016;967;47,57;1036;245;0,66;28,97;0,74;0,56;0,24;614;0,93;75;2;1
5544;950;1061;49,19;973;538;0,60;35,89;0,64;0,72;0,38;628;0,94;75;2;1
240;836;802;51,25;834;853;0,45;23,75;1,98;0,08;0,00;694;0,58;75;2;1
215;5104;4726;71,16;1869;693;1,95;46,98;2,71;1,99;0,82;1279;3,68;75;1;0
14;376;362;42,86;658;287;0,43;14,29;0,86;0,00;0,00;536;0,50;75;2;1
