battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
73383;3198;3154;63,34;2381;615;1,44;39,14;1,56;0,81;0,93;955;2,37;74;1;1
21697;1625;1692;52,05;1313;329;0,97;28,64;0,99;0,82;0,48;621;1,36;74;1;1
90407;2522;2664;56,87;2255;613;1,23;32,22;1,48;0,81;0,48;782;1,82;74;2;0
31576;1200;1105;50,91;896;237;0,75;23,52;1,13;1,17;0,36;443;0,98;74;2;0
4618;1105;1031;48,77;965;249;0,68;25,92;0,90;0,99;0,37;605;0,92;74;2;0
105669;771;702;46,66;726;231;0,60;31,09;0,48;0,84;0,50;492;0,87;74;1;1
44342;927;969;48,36;981;406;0,63;23,56;0,75;0,96;0,24;440;0,82;74;1;1
4640;700;642;47,48;587;167;0,58;24,31;0,51;0,76;0,29;380;0,77;74;2;0
49088;568;531;45,17;670;288;0,45;22,82;0,67;1,18;0,28;507;0,58;74;2;0
1416;2521;2791;56,92;2613;502;1,27;44,35;1,03;1,82;0,50;885;2,29;74;1;1
31770;848;797;47,63;736;242;0,61;28,98;0,65;1,27;0,41;413;0,86;74;2;0
61395;1283;1293;50,18;922;423;0,83;29,93;1,26;1,23;0,65;497;1,18;74;1;1
31509;1653;1743;52,48;1634;450;0,90;32,61;0,87;0,57;0,28;690;1,33;74;2;0
72741;1939;2045;52,67;1833;586;1,16;37,63;1,07;1,08;0,75;695;1,86;74;1;1
22743;270;230;43,97;356;201;0,33;20,43;0,46;0,37;0,20;282;0,42;74;2;0
13234;672;585;46,95;477;206;0,48;17,36;0,97;0,43;0,24;310;0,58;74;2;0
13859;552;520;46,04;555;317;0,39;16,99;1,03;0,77;0,21;359;0,47;74;2;0
32430;1621;1608;52,79;1210;359;0,87;23,07;1,28;0,88;0,46;616;1,13;74;1;1
68605;2087;2138;53,97;1553;429;0,99;25,12;1,46;0,75;0,60;674;1,32;74;1;1
4824;552;491;44,17;484;155;0,52;26,74;0,46;1,15;0,42;316;0,70;74;2;0
22241;1214;1157;49,58;1058;290;0,72;25,59;0,99;1,16;0,42;513;0,97;74;2;0
22948;1294;1212;51,86;986;325;0,76;24,15;1,28;1,50;0,50;501;1,01;74;1;1
17751;1034;1007;47,76;906;253;0,70;27,63;0,71;0,85;0,55;458;0,97;74;1;1
26121;727;735;46,01;758;395;0,50;17,87;1,01;0,64;0,23;485;0,61;74;2;0
18113;1226;1246;48,16;1165;369;0,71;25,88;1,03;0,85;0,31;581;0,96;74;1;1
3458;596;465;46,82;500;184;0,41;20,76;0,72;0,68;0,30;357;0,52;74;2;0
3535;924;849;46,28;967;234;0,55;22,18;0,73;1,10;0,17;647;0,71;74;1;1
876;1426;1405;47,37;1854;355;0,78;25,80;0,81;0,26;0,16;755;1,04;74;2;0
1630;4480;4437;64,60;3768;828;1,71;36,99;2,11;0,04;0,93;1255;2,71;74;1;1
256;1607;1512;53,13;2098;502;0,77;23,05;0,80;0,39;0,46;810;1,01;74;1;1
