battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
7408;958;869;48,96;807;290;0,59;25,88;0,95;1,30;0,61;495;0,80;76;2;1
20802;1122;1150;47,06;1036;323;0,71;25,00;0,78;0,58;0,37;607;0,95;76;2;1
50393;810;821;49,20;620;349;0,57;20,86;1,44;0,35;0,40;395;0,72;76;1;0
71524;998;1068;49,04;889;508;0,62;15,80;1,80;0,56;0,22;620;0,74;76;2;1
9930;840;809;45,81;754;265;0,57;21,41;0,85;0,71;0,22;504;0,73;76;2;1
25468;1310;1237;51,21;924;293;0,82;28,31;1,04;1,69;0,52;594;1,14;76;1;0
8913;985;928;49,27;694;237;0,63;21,31;0,90;0,60;0,55;434;0,80;76;1;0
34914;643;626;46,47;667;291;0,46;19,08;0,75;0,33;0,33;398;0,57;76;1;0
305;430;368;42,95;501;110;0,48;31,15;0,29;0,48;0,57;413;0,70;76;2;1
63535;1698;1766;51,71;1403;502;0,89;29,16;1,38;0,71;0,56;736;1,25;76;2;1
12590;1071;1146;47,99;1026;464;0,64;25,88;1,01;0,60;0,21;625;0,86;76;2;1
13602;519;450;45,54;546;187;0,51;27,20;0,50;0,44;0,35;358;0,71;76;2;1
20718;1951;1986;53,90;1550;448;0,88;22,69;1,53;0,25;0,36;792;1,14;76;2;1
2870;444;321;47,35;295;112;0,41;24,01;0,57;1,08;0,27;279;0,54;76;1;0
9697;1269;1323;48,01;1348;348;0,66;20,57;1,07;0,25;0,13;586;0,84;76;2;1
3234;1356;1336;49,94;1167;335;0,75;18,86;1,16;0,31;0,34;609;0,92;76;1;0
11340;894;875;45,87;1043;344;0,55;21,71;0,82;0,41;0,14;627;0,70;76;2;1
20744;863;800;47,21;696;210;0,60;26,42;0,76;0,27;0,45;396;0,81;76;2;1
4414;729;655;45,90;567;169;0,51;26,96;0,43;0,17;0,42;359;0,71;76;1;0
43225;1389;1450;49,34;1385;447;0,79;26,05;1,01;0,64;0,30;663;1,07;76;2;1
12341;1206;1083;49,62;782;142;0,84;33,16;0,61;1,09;0,84;398;1,25;76;1;0
66925;1483;1384;50,55;1212;334;0,80;25,21;1,19;0,38;0,61;532;1,07;76;1;0
22832;747;709;47,96;516;202;0,59;31,81;0,66;1,86;0,39;398;0,87;76;1;0
2694;797;746;46,73;655;274;0,51;19,78;1,12;1,24;0,32;538;0,63;76;1;0
6412;428;329;44,84;462;168;0,35;24,28;0,50;0,42;0,28;398;0,46;76;1;0
2778;1912;1953;51,62;1251;369;0,94;24,59;1,20;0,42;0,27;764;1,24;76;2;1
1733;785;683;47,03;580;209;0,52;23,08;0,74;1,40;0,14;504;0,67;76;2;1
367;298;280;42,23;408;117;0,38;24,25;0,26;0,96;0,24;381;0,50;76;1;0
2416;872;803;45,24;773;296;0,48;11,63;1,31;1,18;0,14;593;0,54;76;1;0
1153;470;486;43,54;457;236;0,47;23,94;0,79;1,02;0,10;460;0,62;76;1;0
