battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
12019;842;707;47,81;662;177;0,52;14,67;1,13;0,63;0,27;474;0,61;7;2;0
86046;2972;2865;59,54;2130;649;1,38;41,85;1,77;1,09;0,88;938;2,37;7;1;1
23557;1266;1198;50,15;982;300;0,78;26,56;1,11;1,01;0,79;583;1,06;7;2;0
20997;1014;1051;48,84;819;343;0,74;23,26;1,22;0,82;0,50;402;0,96;7;2;0
98163;441;377;44,14;502;177;0,41;19,80;0,67;0,36;0,26;342;0,52;7;2;0
17491;1443;1396;50,86;1094;377;0,85;26,77;1,30;1,00;0,56;543;1,16;7;1;1
59522;1788;1793;52,68;1383;421;1,01;31,25;1,12;0,54;0,61;595;1,47;7;2;0
34795;1128;1104;48,47;1042;354;0,76;22,46;1,03;0,35;0,44;544;0,97;7;2;0
38415;1256;1294;49,71;1030;305;0,85;32,53;0,60;0,42;0,65;466;1,26;7;1;1
5652;614;544;45,67;534;203;0,48;23,62;0,75;1,06;0,27;347;0,63;7;1;1
32822;1610;1707;51,07;1399;504;0,85;22,54;1,36;0,30;0,36;650;1,09;7;1;1
1519;511;472;44,83;624;196;0,50;28,83;0,49;0,61;0,33;433;0,70;7;2;0
44554;1034;1145;50,30;747;261;0,68;35,53;0,30;0,38;0,74;526;1,05;7;2;0
35269;2205;2269;55,16;1538;569;1,10;29,21;1,49;0,43;0,81;776;1,56;7;1;1
72357;1795;1820;52,71;1361;448;0,97;26,96;1,48;0,60;0,60;532;1,33;7;1;1
12580;1112;1113;47,95;1006;365;0,63;19,93;1,13;0,45;0,21;548;0,79;7;1;1
32531;814;863;45,77;956;502;0,47;16,24;1,28;0,75;0,20;592;0,56;7;1;1
3541;340;278;44,45;367;208;0,30;10,51;0,99;0,67;0,07;332;0,34;7;1;1
23181;1216;1520;50,77;1190;535;0,74;37,93;0,26;0,23;0,25;643;1,20;7;2;0
1285;111;85;42,02;175;109;0,21;11,91;0,67;0,52;0,17;224;0,24;7;1;1
42476;923;909;48,17;982;286;0,58;32,11;0,60;0,70;0,34;605;0,86;7;1;1
29363;1987;2053;53,85;1933;546;1,04;30,06;1,43;0,58;0,32;834;1,49;7;2;0
2665;566;544;46,04;426;187;0,47;17,79;0,73;0,83;0,32;363;0,57;7;2;0
33804;1641;1745;52,19;1478;514;0,84;27,58;1,15;0,62;0,34;723;1,16;7;2;0
20398;1304;1363;49,19;1391;496;0,75;19,44;1,26;0,55;0,28;650;0,93;7;2;0
6940;676;643;45,72;684;341;0,44;17,00;1,08;0,76;0,23;411;0,53;7;1;1
114;213;164;46,49;218;115;0,37;24,56;0,54;1,30;1,08;228;0,49;7;1;1
4583;2754;2851;57,78;1954;486;1,28;35,98;1,18;0,52;0,95;920;2,01;7;1;1
363;902;967;54,55;896;325;0,59;39,12;0,18;0,47;0,41;621;0,97;7;2;0
2912;2367;2690;60,47;2056;1132;1,10;28,23;1,97;0,48;0,35;978;1,53;7;2;0
