battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
65288;1350;1300;49,17;1364;367;0,79;22,90;1,30;1,23;0,40;686;1,02;810;1;1
56374;1569;1636;52,20;1345;412;0,91;26,84;1,12;1,76;0,39;736;1,25;810;1;1
33722;1424;1319;50,62;1131;306;0,86;29,19;0,84;0,88;0,73;458;1,22;810;2;0
37677;1240;1286;49,54;1086;346;0,77;27,67;0,82;0,38;0,45;523;1,06;810;1;1
92271;1206;1166;49,73;973;313;0,79;28,69;0,93;0,98;0,55;485;1,11;810;1;1
42326;884;847;48,00;875;303;0,63;21,22;0,94;0,82;0,27;504;0,80;810;1;1
15732;1157;1116;48,86;985;375;0,61;25,41;1,27;0,93;0,34;538;0,82;810;2;0
50954;1301;1334;50,37;1137;515;0,81;28,45;1,34;1,53;0,58;685;1,13;810;1;1
101184;1587;1564;50,85;1256;384;0,97;29,14;1,14;0,83;0,49;615;1,37;810;1;1
43297;1540;1639;50,97;1395;487;0,90;27,77;1,18;1,07;0,50;588;1,24;810;1;1
2259;1832;1920;54,18;1303;417;0,91;29,88;1,27;0,61;0,52;668;1,30;810;1;1
8354;890;834;49,03;674;226;0,62;23,63;0,79;1,20;0,44;392;0,81;810;1;1
30080;1041;1013;47,00;1144;283;0,62;17,18;0,80;0,29;0,12;587;0,75;810;1;1
10845;1242;1287;50,00;1026;486;0,74;24,42;1,29;0,83;0,53;526;0,98;810;1;1
39910;3299;3462;59,01;2553;633;1,48;33,71;1,56;0,23;0,56;889;2,24;810;2;0
29146;902;908;47,10;940;332;0,66;29,96;0,67;0,55;0,45;574;0,94;810;2;0
23838;817;839;45,05;891;366;0,56;20,30;0,76;0,40;0,36;546;0,70;810;2;0
14448;1538;1564;52,17;1404;393;0,83;26,75;1,04;0,63;0,28;658;1,13;810;2;0
5934;1112;1062;47,17;1252;375;0,52;16,77;1,05;0,15;0,15;566;0,63;810;2;0
24742;811;792;45,80;853;323;0,62;26,76;0,56;0,37;0,56;572;0,84;810;1;1
34895;1050;1076;47,49;1144;414;0,69;26,18;0,78;0,50;0,28;562;0,94;810;2;0
68980;1049;1067;48,00;981;350;0,66;22,16;0,95;0,72;0,35;453;0,85;810;2;0
45780;844;832;45,79;1023;422;0,52;22,25;0,92;0,71;0,16;582;0,67;810;2;0
54207;2079;1904;54,35;1507;353;1,08;29,30;1,33;0,92;0,86;740;1,53;810;2;0
12865;2876;3249;60,82;2544;968;1,17;30,17;2,09;0,49;0,53;1023;1,67;810;1;1
21681;1207;1162;49,71;1022;343;0,70;16,39;1,24;0,58;0,24;457;0,84;810;1;1
12297;2988;3331;58,86;2632;685;1,15;28,94;1,75;0,41;0,37;1077;1,62;810;2;0
3116;1014;965;47,24;1165;254;0,60;22,34;0,60;0,85;0,18;540;0,77;810;2;0
1833;1831;1971;52,76;1638;547;0,95;31,97;1,21;0,26;0,47;829;1,39;810;2;0
8;1795;2024;50,00;2129;785;0,75;37,50;1,25;2,00;0,00;858;1,20;810;2;0
