battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
12943;3301;3339;61,31;2168;797;1,48;38,82;1,95;0,29;0,90;1023;2,42;202;1;1
31820;1928;1834;52,20;1445;333;1,16;31,26;1,08;0,57;0,86;620;1,69;202;1;1
64234;2188;2278;54,85;1525;554;1,11;32,12;1,53;1,19;0,69;663;1,64;202;1;1
55549;2058;1797;55,09;1509;264;1,09;31,59;1,28;1,33;0,79;662;1,60;202;1;1
56772;1823;1864;52,47;1474;408;1,09;35,09;0,86;1,33;0,55;738;1,68;202;2;0
94838;1779;1720;51,75;1411;392;1,09;32,40;1,05;1,06;0,77;712;1,62;202;1;1
14480;742;682;47,58;663;288;0,51;17,24;1,01;0,56;0,20;396;0,62;202;2;0
12926;1107;1133;48,67;949;350;0,75;29,97;1,07;0,76;0,41;529;1,07;202;1;1
76941;829;800;46,01;715;268;0,61;22,70;0,91;0,80;0,35;449;0,79;202;1;1
1696;969;1012;49,53;723;385;0,67;26,12;1,13;1,25;0,36;504;0,91;202;2;0
15761;779;728;47,06;601;213;0,58;20,92;0,80;0,68;0,36;363;0,74;202;1;1
35269;2205;2269;55,16;1538;569;1,10;29,21;1,49;0,43;0,81;776;1,56;202;2;0
34253;941;905;48,30;671;289;0,73;21,95;1,09;1,32;0,27;421;0,93;202;2;0
17451;2028;2074;55,11;1510;585;0,99;22,18;1,95;0,35;0,39;692;1,27;202;2;0
19981;1504;1490;52,24;1119;290;0,93;37,74;0,65;0,65;0,75;516;1,50;202;1;1
2295;711;648;45,88;653;173;0,55;23,40;0,62;0,99;0,28;469;0,72;202;1;1
16611;1703;1798;51,57;1455;375;0,87;24,70;1,00;0,71;0,22;687;1,16;202;2;0
2417;1128;1109;50,77;1118;367;0,72;24,53;0,91;0,40;0,41;664;0,96;202;2;0
16732;743;730;47,38;661;348;0,49;22,68;0,96;0,85;0,25;420;0,63;202;1;1
11559;969;930;47,37;849;313;0,55;15,41;1,22;0,60;0,23;556;0,65;202;2;0
7484;1853;1994;52,49;1609;374;0,98;30,26;0,89;1,62;0,26;812;1,40;202;1;1
1563;466;348;46,77;507;210;0,31;17,85;0,75;0,62;0,09;507;0,38;202;1;1
32147;1325;1328;50,38;1095;337;0,81;25,73;1,00;1,10;0,39;582;1,09;202;2;0
25808;1228;1204;49,55;1043;292;0,71;26,26;0,84;0,83;0,42;578;0,96;202;2;0
39885;1257;1072;49,93;977;166;0,82;25,74;1,00;1,24;0,47;528;1,10;202;2;0
8862;490;443;46,17;402;142;0,50;27,71;0,53;1,03;0,30;306;0,70;202;1;1
59008;2394;2216;59,16;1772;386;1,30;35,75;1,23;0,77;0,92;790;2,02;202;2;0
14074;1513;1594;52,07;1107;351;0,87;30,18;0,93;1,15;0,31;603;1,25;202;2;0
34666;914;998;47,14;921;306;0,67;36,26;0,35;0,41;0,55;431;1,05;202;1;1
1704;995;947;48,47;1197;337;0,61;22,01;1,10;1,02;0,13;695;0,78;202;2;0
