battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
4195;1052;940;50,49;699;253;0,89;27,06;1,01;0,96;0,61;433;1,23;101;1;1
28400;1309;1248;50,13;966;267;0,82;25,01;1,09;0,76;0,59;497;1,10;101;2;0
20261;541;435;44,85;675;224;0,40;16,55;1,18;0,72;0,29;495;0,48;101;1;1
13877;750;670;48,16;575;149;0,70;29,47;0,63;1,39;0,50;350;0,99;101;2;0
72071;1146;1079;48,03;1079;245;0,78;28,42;0,82;1,09;0,37;533;1,09;101;1;1
63048;1102;1058;50,50;656;245;0,75;25,70;1,20;0,65;0,55;399;1,01;101;1;1
27804;880;874;48,23;735;265;0,65;32,57;0,50;1,14;0,58;412;0,96;101;2;0
95872;801;699;46,84;744;144;0,74;35,00;0,34;0,64;0,62;400;1,14;101;1;1
61842;1234;1203;50,20;863;269;0,78;27,23;1,00;1,03;0,48;574;1,08;101;1;1
60087;1879;1853;52,29;1597;439;0,94;22,61;1,51;0,48;0,53;646;1,21;101;1;1
20606;1330;1314;50,05;1109;267;0,79;27,14;0,85;1,12;0,46;630;1,08;101;2;0
10373;2095;2231;55,15;2073;687;0,94;24,78;1,51;0,29;0,28;855;1,26;101;1;1
28293;2293;2332;56,43;1351;534;1,22;36,87;1,45;0,60;0,98;827;1,93;101;1;1
74260;1157;1149;48,26;1116;331;0,76;31,17;0,77;1,18;0,49;513;1,10;101;2;0
37991;1291;1245;50,60;1077;348;0,86;27,24;0,99;1,67;0,55;664;1,18;101;2;0
28283;456;412;45,01;548;254;0,44;16,42;0,89;0,88;0,20;442;0,53;101;2;0
60897;2075;2298;55,07;1914;650;1,07;38,03;1,01;0,31;0,49;810;1,72;101;1;1
37299;2984;3127;58,49;2318;531;1,37;37,72;1,32;0,41;0,62;910;2,20;101;2;0
96072;1009;1042;47,78;995;387;0,64;26,52;0,76;0,79;0,28;583;0,88;101;1;1
35269;2205;2269;55,16;1538;569;1,10;29,21;1,49;0,43;0,81;776;1,56;101;2;0
16629;992;924;49,50;670;261;0,66;22,02;1,09;0,98;0,40;475;0,85;101;2;0
15620;810;810;47,29;804;210;0,66;29,44;0,44;0,90;0,43;397;0,94;101;1;1
6989;353;284;44,16;337;181;0,32;12,45;0,92;0,69;0,12;303;0,36;101;1;1
2632;495;401;45,86;355;131;0,44;21,09;0,51;0,61;0,23;257;0,56;101;2;0
20740;814;800;45,31;998;437;0,52;13,26;1,44;0,35;0,18;597;0,60;101;1;1
9024;905;963;46,91;865;331;0,64;29,86;0,64;0,45;0,27;529;0,91;101;2;0
8130;1617;1673;50,63;1425;344;0,89;30,89;0,76;0,49;0,58;744;1,28;101;1;1
1798;467;397;44,77;489;155;0,42;25,81;0,34;1,26;0,29;428;0,57;101;2;0
6585;1147;1190;49,28;897;250;0,69;27,53;0,58;0,57;0,30;562;0,95;101;2;0
72;462;442;38,89;726;522;0,33;13,89;1,40;0,00;0,00;609;0,39;101;2;0
