battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
42743;1014;966;50,27;839;332;0,62;21,29;1,25;0,14;0,37;499;0,79;206;2;0
5787;542;474;42,51;503;191;0,44;21,44;0,71;1,32;0,47;378;0,56;206;2;0
3535;524;503;45,43;586;188;0,52;23,71;0,40;0,51;0,30;381;0,68;206;1;1
145939;1328;1302;49,71;1115;417;0,86;23,20;1,33;0,69;0,54;633;1,12;206;2;0
36324;2663;2644;57,84;1911;492;1,32;43,05;1,17;0,63;1,17;672;2,31;206;1;1
15071;1846;1941;53,09;1492;454;1,00;31,05;1,18;1,80;0,63;748;1,45;206;2;0
29927;1327;1324;50,30;1009;412;0,77;19,62;1,49;0,41;0,56;567;0,96;206;1;1
16043;1984;2121;52,27;1686;463;1,04;35,43;1,11;0,99;0,68;728;1,60;206;2;0
34201;1485;1515;51,17;1328;431;0,77;21,17;1,17;0,40;0,36;672;0,98;206;1;1
37688;1682;1633;51,90;1311;388;1,02;30,55;1,02;0,54;0,62;707;1,47;206;1;1
30982;2139;2243;53,81;1553;369;1,14;28,85;1,19;0,49;0,59;625;1,60;206;1;1
3356;627;615;46,96;560;245;0,51;26,79;0,83;1,18;0,25;510;0,70;206;2;0
9659;1368;1380;51,27;1054;339;0,78;28,52;0,94;0,63;0,41;579;1,09;206;1;1
4531;914;880;47,61;836;310;0,52;15,47;1,12;1,26;0,16;584;0,61;206;2;0
58227;725;638;46,99;579;180;0,74;29,82;0,44;0,73;0,55;366;1,05;206;1;1
71710;2027;2089;54,39;1633;487;1,08;24,95;1,33;0,44;0,38;825;1,45;206;2;0
36256;1688;1710;52,31;1301;400;0,86;21,87;1,20;0,11;0,55;678;1,10;206;1;1
32829;1502;1557;50,72;1281;396;0,84;33,17;0,84;0,53;0,48;695;1,26;206;1;1
21419;465;398;44,85;511;236;0,36;16,99;0,80;0,80;0,16;475;0,43;206;1;1
27989;1195;1176;49,43;1292;444;0,56;18,36;1,14;0,98;0,11;676;0,69;206;2;0
82481;2200;2153;56,77;1809;469;1,21;32,09;1,20;0,78;0,60;831;1,78;206;2;0
27665;2490;2402;58,05;1937;387;1,26;37,54;1,11;1,67;0,84;807;2,02;206;2;0
12533;2896;3192;59,51;2458;813;1,29;36,79;1,69;0,60;0,57;977;2,04;206;2;0
34666;914;998;47,14;921;306;0,67;36,26;0,35;0,41;0,55;431;1,05;206;1;1
5574;797;717;47,18;601;245;0,49;19,64;1,04;1,32;0,20;483;0,61;206;1;1
1124;931;838;48,31;877;220;0,58;16,81;0,84;1,68;0,21;600;0,69;206;2;0
1363;2882;3047;58,91;2109;661;1,33;33,31;1,67;0,30;0,61;1034;2,00;206;2;0
1145;1899;1796;51,44;1071;176;1,22;35,20;0,57;1,56;0,86;682;1,88;206;1;1
263;0;26;33,46;330;148;0,18;15,97;0,27;0,36;0,08;345;0,21;206;2;0
87;2404;2699;55,17;2947;591;1,00;40,23;1,02;0,60;0,11;938;1,67;206;1;1
