battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
33600;1587;1363;51,86;1342;162;1,02;41,12;0,53;1,49;0,83;606;1,73;8;2;1
125470;1468;1438;51,30;1077;328;0,98;34,74;0,84;0,96;0,64;509;1,50;8;1;0
54045;2184;2223;55,28;1711;415;1,09;31,02;1,14;0,55;0,54;662;1,58;8;1;0
27599;1683;1713;52,91;1301;328;1,00;32,79;0,78;1,37;0,76;581;1,49;8;2;1
103979;1600;1585;50,49;1585;468;0,95;31,27;1,07;1,09;0,39;722;1,38;8;1;0
48213;1052;1034;47,24;1061;256;0,71;29,68;0,63;1,05;0,37;559;1,01;8;1;0
38546;1549;1564;51,26;1373;363;0,87;24,61;1,17;1,41;0,41;679;1,15;8;1;0
15989;659;583;45,17;641;217;0,44;20,53;0,67;0,45;0,22;345;0,56;8;1;0
43867;2005;2066;55,78;1536;439;1,00;26,79;1,32;0,54;0,46;656;1,36;8;1;0
10629;631;572;46,07;539;253;0,46;18,85;0,98;0,80;0,18;366;0,57;8;2;1
35134;2536;2847;57,68;2218;743;1,21;33,04;1,50;0,73;0,45;884;1,80;8;2;1
28409;846;833;48,11;647;302;0,59;20,29;1,14;1,00;0,27;435;0,74;8;2;1
26483;1664;1681;49,78;1598;384;0,96;37,01;0,68;0,98;0,83;644;1,53;8;2;1
35905;2142;2157;57,35;1725;543;1,17;35,60;1,20;0,94;0,62;816;1,81;8;2;1
7306;905;899;45,89;855;251;0,60;23,61;0,73;0,86;0,21;486;0,78;8;2;1
38806;990;946;47,80;1026;324;0,60;21,99;0,95;1,15;0,20;624;0,77;8;1;0
25138;908;968;48,41;798;280;0,67;29,66;0,41;0,35;0,52;456;0,95;8;2;1
42813;1589;1572;51,22;1238;453;0,87;26,26;1,40;0,38;0,57;501;1,19;8;2;1
80613;846;779;48,63;560;211;0,58;17,84;1,22;0,78;0,31;477;0,70;8;1;0
47628;2044;2233;53,09;2062;605;1,11;34,51;1,07;0,38;0,32;841;1,69;8;2;1
46179;1977;2140;53,87;1529;610;1,03;32,58;1,48;0,56;0,40;604;1,53;8;2;1
10670;1581;1667;49,36;1526;465;0,80;25,44;1,13;0,43;0,40;732;1,08;8;2;1
12219;448;365;45,31;454;188;0,41;22,54;0,56;1,14;0,36;351;0,53;8;1;0
24751;1046;1244;49,78;1060;572;0,62;39,15;0,40;0,57;0,47;650;1,02;8;1;0
32932;1955;1899;53,80;1611;505;1,14;31,70;1,08;2,24;0,76;779;1,68;8;1;0
11197;1712;1795;51,38;1671;491;0,91;29,61;1,20;0,26;0,46;757;1,30;8;1;0
14358;683;580;47,06;761;255;0,49;16,08;1,85;1,23;0,14;558;0,58;8;1;0
137;1252;1045;52,55;1397;324;0,63;13,87;1,23;0,45;0,03;808;0,73;8;1;0
9;32;27;22,22;473;182;0,00;11,11;0,44;0,00;0,00;476;0,00;8;2;1
9;387;554;22,22;852;535;0,33;22,22;0,44;0,00;0,00;496;0,43;8;2;1
