battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
23796;985;925;49,22;766;289;0,66;26,38;1,13;1,17;0,64;403;0,90;21;1;0
44895;1267;1076;48,66;1127;212;0,84;26,35;1,30;1,32;0,51;632;1,15;21;2;1
22254;1130;1137;48,80;982;371;0,69;19,45;1,32;0,69;0,37;621;0,86;21;1;0
32137;1279;1315;49,01;1087;328;0,76;29,15;0,86;0,38;0,39;586;1,08;21;1;0
21397;1251;1164;50,43;866;242;0,80;30,77;0,84;1,01;0,78;461;1,16;21;2;1
3061;202;145;45,28;236;112;0,28;22,77;0,35;0,89;0,28;244;0,37;21;1;0
48171;1321;1388;49,20;1289;391;0,85;30,89;0,79;0,91;0,31;689;1,23;21;2;1
55783;1416;1400;50,52;1171;439;0,80;23,80;1,59;0,69;0,61;586;1,06;21;1;0
60153;1274;1358;50,24;1041;317;0,78;31,17;0,70;0,90;0,63;438;1,14;21;1;0
82850;2008;1967;53,33;1556;486;1,10;34,81;1,29;0,62;0,91;659;1,69;21;2;1
36543;1365;1309;50,28;1120;301;1,03;36,34;0,64;1,24;0,57;529;1,63;21;1;0
53859;1851;1895;53,05;1666;512;0,96;28,00;1,30;0,52;0,61;690;1,34;21;2;1
26291;2565;2836;55,81;1833;636;1,20;30,96;1,65;0,44;0,70;821;1,73;21;2;1
30851;1236;1274;49,72;1016;394;0,74;24,59;1,14;0,70;0,30;609;0,97;21;1;0
6998;1177;1078;50,84;782;234;0,65;21,73;1,04;1,04;0,39;501;0,83;21;2;1
81326;1191;1181;49,95;954;354;0,73;19,57;1,17;0,43;0,34;591;0,91;21;1;0
15593;685;616;46,26;763;285;0,50;28,47;0,60;0,56;0,35;449;0,70;21;1;0
38609;1764;1815;52,31;1246;394;1,03;26,43;1,16;0,59;0,48;708;1,40;21;1;0
11124;1515;1599;50,39;1453;328;0,91;28,05;0,84;0,21;0,29;682;1,27;21;2;1
49811;1132;1310;49,72;1177;745;0,73;21,98;1,80;0,78;0,38;587;0,94;21;2;1
6857;1378;1396;48,49;1105;181;0,91;42,00;0,48;0,72;0,52;560;1,57;21;1;0
35571;1143;1183;48,76;1176;423;0,73;26,68;0,95;0,41;0,22;678;0,99;21;2;1
6314;1442;1465;49,26;1355;331;0,78;23,99;1,00;0,66;0,20;709;1,02;21;2;1
66615;1439;1283;51,94;1121;344;0,89;27,79;1,42;1,46;0,60;553;1,23;21;1;0
18525;1273;1249;49,92;1094;232;0,97;33,10;0,49;1,49;0,92;521;1,45;21;1;0
6015;733;690;45,94;740;261;0,47;21,46;0,79;0,28;0,24;468;0,59;21;1;0
2503;435;403;43,67;531;231;0,38;17,26;0,74;0,39;0,09;441;0,46;21;2;1
1032;1134;1080;50,00;931;217;0,63;20,54;0,79;1,22;0,28;562;0,80;21;2;1
216;1234;1101;48,15;857;208;0,91;27,31;0,74;2,31;0,67;602;1,25;21;2;1
97;1160;1180;44,33;1502;335;0,80;13,40;0,88;0,19;0,00;734;0,93;21;2;1
